TI3;"BalWhale""""";"SPelaInvFeed""""";"ScadMack""""";"Sard""""";"SMBathyInvFeed""""";"MBathyPelaInvFeed""""";"SBathyPelaPred""""";"MesoPela""""";"Cepha""""";"CarnZoopl""""";"ToothWhaleDolph""""";"LDeepShaRay""""";"LCoastShaRay""""";"BonShad""""";"MullOHerb""""";"MDemInvFeed""""";"SDemPred""""";"SDemInvFeed""""";"Benth""""";"Turtle""""";"LDemPred""""";"ProdPrim""""";"Bird""""";"LPelaPred""""";"CatFish""""";"Crus""""";"SPelaPred""""";"MDeepShaRay""""";"MCoastShaRay""""";"LTuna""""";"GAfriThre""""";"MDemPred""""";"LessAfriThre""""";"LBathyPred""""";"LBathyPelaPred""""";"Jack""""";"SpaFish""""";"HerbZoopl""""";"STuna""""";"Croak""""";"RoyThre""""";"Group""""";"LDemInvFeed""""";;SUM;
"GAfriThre""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"MDemPred""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"LessAfriThre""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"LBathyPred""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"LBathyPelaPred""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Jack""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"SpaFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"HerbZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"STuna""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Croak""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"RoyThre""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Group""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"LDemInvFeed""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"BalWhale""""";"SPelaInvFeed""""";"ScadMack""""";"Sard""""";"SMBathyInvFeed""""";"MBathyPelaInvFeed""""";"SBathyPelaPred""""";"MesoPela""""";"Cepha""""";"CarnZoopl""""";"ToothWhaleDolph""""";"LDeepShaRay""""";"LCoastShaRay""""";"BonShad""""";"MullOHerb""""";"MDemInvFeed""""";"SDemPred""""";"SDemInvFeed""""";"Benth""""";"Turtle""""";"LDemPred""""";"ProdPrim""""";"Bird""""";"LPelaPred""""";"CatFish""""";"Crus""""";"SPelaPred""""";"MDeepShaRay""""";"MCoastShaRay""""";"LTuna""""";"GAfriThre""""";"MDemPred""""";"LessAfriThre""""";"LBathyPred""""";"LBathyPelaPred""""";"Jack""""";"SpaFish""""";"HerbZoopl""""";"STuna""""";"Croak""""";"RoyThre""""";"Group""""";"LDemInvFeed""""";;SUM;
"BalWhale""""";1162,56;542081,14;1538233,42;653647,68;22529,85;54107,65;11379,74;7011707,9;50881,74;14360810,84;3908,18;788,79;141,44;1693302,47;38184,68;6070,99;7710,27;31846,23;6659484,73;48329,07;4839,42;276235078,7;1792,3;5614,96;4019,15;954954,91;409171,6;777,75;4113;1736,02;1119,5;11333,47;2872,08;2220,25;24683,01;2849,42;10769,18;35830303,81;1829,44;2451,23;24208,64;537,92;8736,82;;346282321,9;
"SPelaInvFeed""""";1626243,43;416289561,7;878216647,3;397534401,1;15077232,36;32168799,18;2115228,13;3709097455;8472155,77;7833371605;1015648,42;245570,72;51957,02;1312128845;42592602,52;5579190,25;3450398,4;30254291,26;3613855325;83117411,57;1789811,11;1,43696E+11;1475407,88;2228380,64;1273559,81;567563234,4;203851044,1;146055,59;1045589,02;640783,35;153372,68;3097975,4;541598,28;743487,27;12676925,78;443036,27;7497598,48;60639239379;828411,43;281128,15;2914851,56;59024,43;4635575,68;;2,23535E+11;
"ScadMack""""";2905552,01;552951222,4;531130253,2;306791352,3;11704253,35;15900055,69;3338448,51;1390067304;8117904,07;4039943953;903083,52;246702,53;45751,54;1683776456;79478108,22;7797805,4;3528132,08;46002781,57;2163438088;194478689,1;2077508,23;50126626211;1588488,29;887616,35;1170090,81;291267885,1;72301341,95;198775,09;1292949,31;459386,34;98160,51;3010527,78;430508,18;581059,27;5799441,49;249273,63;8904799,33;1,4163E+11;367591,01;172688,05;1798155,78;35057,81;1846362,56;;2,03194E+11;
"Sard""""";1670432,97;338640415,7;415070653,1;219312333,5;8206230,68;13370851,46;1886657,71;1347195778;4519367,43;3370353582;552327,26;147772,73;27903,22;1042099912;45599435,89;4663159,46;2094608,32;27305894,16;1692151637;107660072,3;1218960,21;50491209528;966599,5;803782,68;690381,18;240166359;71771036,65;114411,05;756148,46;328249,91;53711,67;1750028,03;244214,31;397676,7;5078269,64;174133,26;5558662,75;78413620656;322189,89;88876,05;992732,53;17508,91;1719234,78;;1,37881E+11;
"SMBathyInvFeed""""";25033,17;5584160,13;6884854,91;3567926,38;172167,44;251524,56;81709,35;23818629,04;590370,02;57984580,14;33656,14;8606,76;1872,57;15964880,05;674693,17;90946,58;124223,92;441218,59;31480287,83;1567450,15;61265,17;888637292,3;33847,46;31659,53;58395,89;4731570,92;1512611,17;5599,34;36308,85;9512,75;13582,22;153316,87;36964,43;15060,72;100661,91;16799,17;109146,69;1145929534;8123,65;28734,38;257726,83;6374,88;36026,38;;2191178906;
"MBathyPelaInvFeed""""";36071,77;7148622,04;5611784,36;3488048,21;150914,73;153016,81;77299,35;11902949,15;525010,9;41284844,76;20212,12;6665,89;1427,76;20685536,85;1014078,39;105169,32;104302,95;583069,92;25623589,63;2523963,35;52631,13;408862676,8;27830,24;21587,15;49164,23;2905666,79;807526,19;4845,87;31191,03;7149,57;11954,04;132583,78;31931,54;12603,1;64990,45;10096;124654,08;1839890869;4635,78;25120,8;219900,26;5591,42;19734,54;;2374371512;
"SBathyPelaPred""""";12644,15;783417,83;1963793,24;820285,96;81709,35;128832,25;13637,41;9884224,38;71911,73;18167396,54;12262,51;2758,61;614,45;2028795,25;41019,37;25615,4;41101,16;75046,29;8237375,11;34978,86;18086,71;357861984,7;16596,31;7042,07;14494,06;2453721,56;520487,91;1091,04;9395,05;2746,71;1041,76;33206,22;5330,84;3652,88;37526,05;3526,05;23053,9;27667541,26;2939,84;2188,94;21838,54;469,91;15068,91;;431150451,1;
"MesoPela""""";11686179,83;2060609697;1226529974;878605942,3;35727943,57;29757372,88;14826336,57;1047774911;42428900,21;7575229771;4003659,6;1081104,74;200788,61;6163489384;320696225;30408577,93;15443700,31;178944869,2;5038852988;817309205,5;9038794,05;21589259434;6412560,62;1447204,79;5425616,16;591395735,2;43985339,91;883124,15;5635366,18;1418363,56;615820,15;14176257,67;2307718,8;1979526,46;9093904,75;1093478,89;32641251,89;5,95233E+11;624763,18;1212260,61;11565852,89;258270,19;2104588,21;;6,43059E+11;
"Cepha""""";152645,21;8472155,77;12893141,76;5305344,37;1593999,06;2362549,04;194161,67;76372020,38;1752367,44;112775050,1;552886,25;97772,11;22906,07;15661012,62;332812,77;737189,3;1360013,15;1698852,85;55138606,85;356796;602161,01;2185648207;569406,5;118435,7;477125,8;50121087,65;3697069,18;26485,03;265320,72;59741,24;26965,23;1011470,13;159353,98;62601,05;316002,87;149405,93;426635,44;336507067,6;58632,52;51996,41;576041,76;10509,89;217956,98;;2878991963;
"CarnZoopl""""";43082432,51;7833371605;6416381572;3956502031;156558366,4;185781801,4;49051970,65;13635413588;112775050,1;46144448625;13856353,19;3681838,23;681330,17;23713698557;1163434654;113423757,5;52551432,16;665783946,4;26044430160;2894791851;30889758,14;4,65981E+11;23806543,69;9169151,02;17105938,05;3479408272;680422654,7;2919728,78;19080478,73;6014751,78;1212544,97;43649709,63;5960120,5;7716524,58;63494865,09;3440546,18;125309257,2;2,10818E+12;4095008,58;2106052,4;22454903,72;419850,28;19200517,72;;2,71193E+12;
"ToothWhaleDolph""""";6079,39;526632,52;743715,84;336199,2;47118,6;47161,62;17167,51;3736748,96;286681,76;7184775,73;4978,2;2898,16;737,63;830295,03;19818,84;14681,46;51489,11;33847,51;4643237,48;24059,54;21293,33;132357343;11195,03;10299,74;25868,65;905581,47;316560,99;1281,32;10384,88;1732,42;6817,35;68818,78;17666,93;4163,56;19563,37;4896,86;18947,39;18863881,64;1729,94;14467,57;125405,04;3220,63;7480,61;;171376924,6;
"LDeepShaRay""""";1139,36;118237,75;188654,88;83523,72;11188,79;14442,76;3586,2;936957,44;47075,46;1772736,93;2691,15;715,85;173,3;226615,04;5647,71;4305,48;11352,59;10723,26;1029555,61;8007,77;4890,58;32824392,66;3197,45;2016,52;5194,67;289049,5;67685,56;295,2;2375,1;473,62;1109,74;13087,75;3115,05;856,52;4345,78;1171,03;4225,21;6269534,62;454,47;2333,54;20516,17;518,05;1914,62;;44000084,44;
"LCoastShaRay""""";267,17;32713,68;45751,54;20624,12;3183,37;4045,32;1044,57;227560,42;14422,34;428985,66;895,69;226,63;55,12;59037,48;1571,13;1333,77;3559,61;3214,65;266047,56;2487,63;1536,16;7755055,92;1010,65;597,38;1625,04;82919,3;17583,81;89,47;729,61;138,67;342,76;4062,32;966,45;251,52;1107,56;372,43;1237,48;1951138,89;131,86;719,08;6325,92;159,6;528,25;;10945657,57;
"BonShad""""";2257736,63;583168375,4;1188548087;543704302;19157856,06;41371073,7;2434554,3;4930791507;6960450,05;10539421581;711681,45;209183,11;41673,51;1850727902;62254994,41;7177563,67;3016311,63;41832427,85;4865152049;124920675,7;1684150,1;1,91478E+11;1428504,44;2783762,42;1041696,77;721063480,2;269622821,6;152511,26;1047998,97;790140,73;108579,84;2618057,65;400150,96;906425,79;16804446,2;340819,28;10070150,57;91012460504;1045720,12;169447,46;1914136,15;33876,21;6020586,91;;3,08344E+11;
"MullOHerb""""";42427,42;15775037,97;46751828,37;19825841,69;674693,17;1690130,64;41019,37;213797483,3;123263,99;430901723,7;14156,31;4344,39;924,19;51879162,01;1187430,95;169522,31;60836,49;977878,64;191466647,1;1528195,07;32412,4;8397047167;32295,89;117408,5;21201,38;29115809,79;11767779,95;2829,35;20792,88;28586,7;2283,93;51241,87;7677,09;31178,26;702281,25;11238,08;287286,98;1114856327;43602,64;2693,67;39480,07;483,31;257164,87;;10531391770;
"MDemInvFeed""""";12816,53;3926096,84;8715194,27;3852175,2;172798,51;333036,18;48669,25;38517532,04;518762,84;79816718,23;19924,84;6292,63;1490,68;11364475,81;322092,4;59237,96;101592,56;263023,07;38720301,5;555151,08;45736,96;1493308401;25100,22;36937,6;50246,01;5941749,92;2331793,42;3431,71;24494,49;8115,91;12689,28;131719,54;33341,83;13046,9;139498,58;11407,21;84771,58;407600217,3;9693,39;26540,21;232345,69;5915,06;51944,87;;2097456521;
"SDemPred""""";12850,45;1916888;3113057,72;1366048,9;186335,88;260757,36;61651,74;15443700,31;755562,86;29195240,09;55166,9;13099,14;3140,83;3770389,54;91254,74;80204,65;201851,08;197330,24;16895125,8;129663,81;88300,88;538906678,3;60128,2;33699,61;90274,96;5315877,26;1105428,03;5196,43;42507,39;8394,49;17820,67;222267,66;51782,27;14386,86;69041,82;21732,24;71539,2;103221772,2;8035,69;37414,02;331699,52;8299,13;33604,59;;723515201,5;
"SDemInvFeed""""";84923,27;26892703,35;64945103,39;28493106,95;1058924,62;2332279,68;180111,09;286311790,7;1510091,42;591807952,4;58024,3;19796,79;4538,33;83664855,69;2346908,74;332239,66;315728,38;1768819,01;273991933,6;3996041,72;149180,75;11181645910;91420,91;198679,28;149611,11;40619958,03;16312922,88;12115,36;84740,02;46700,73;36126,71;393582,65;95385;62896,68;981892,47;37358,54;511894,78;2918777886;62777,98;73690,43;655946,29;16336,07;357769,66;;15531490655;
"Benth""""";22198282,45;4015394806;3817831920;2207154309;94440863,49;128117948,2;24712125,33;10077705976;61265118,72;28938255733;9949794,6;2375897,57;469495,7;12162880123;574399941,3;61137318,16;33790251,61;342489917;15502628324;1405582175;18645999,97;3,57391E+11;15314230,67;6613418,61;11048960,24;2398126801;515118042;1559166,78;10855301,86;3611893,22;644230,77;26766188,49;3626249,71;4441478,49;42308468,39;2585593,52;66454915,88;1,02412E+12;2923248,87;1078317,05;12319122,99;208459,57;14213400,51;;1,46415E+12;
"Turtle""""";16109,69;9235267,95;34319768,67;14042618,13;470235,05;1261981,68;10493,66;163461841,1;39644;321643539;5155,62;1847,95;438,99;31230168,93;458458,52;87655,43;25932,76;499505,21;140558217,5;12599,61;12471,73;6447722741;15989,52;88656,33;9139,3;21628796,32;9018806,64;921,9;8098,27;20019,44;1016,94;20644,29;2981,03;21268,62;528952,81;7094,16;175353,23;10652459,9;32749;625,43;16191,27;66,97;195480,66;;7207562004;
"LDemPred""""";10754,28;1325786,01;2444127,33;1059965,4;122530,34;175437,1;36173,42;12051725,4;446045,19;22881302,33;30419,04;7523,96;1807,25;2806916,83;64824,81;48144,17;117734,5;124317,29;12430666,65;83144,88;51094,76;431312845,1;34963,41;21093,98;52627,55;3481744,88;808951,59;3005,97;24644,76;5186,56;10490,8;130370,69;30328,9;8858,19;51272,6;12063,17;45739,14;65468463,63;5180,72;21990,41;194138,38;4880,9;23002;;558072284,3;
"ProdPrim""""";399006224,8;69186973996;38332125926;28538509733;1155228480;885869133;465220580,1;18710691510;1052349137;2,24361E+11;122903247,1;32824392,66;5930336,88;2,07434E+11;10916161317;1021737327;467052454,5;6056724868;1,54869E+11;27940131876;280353349,3;63847190570;208604333,1;27139307,45;151907714,7;17869618054;368251672,1;27309291,14;174932567,6;43638047,59;11164958,27;393287636,6;54062987,8;59156284,5;245896023,6;27163682,37;1082556832;2,03457E+13;16381098,96;20316431,03;208329263,9;4112504,33;48219215,9;;2,12228E+13;
"Bird""""";2588,88;710381,57;1214726,34;546338,85;44001,7;60298,86;21575,21;5557552,54;274158,68;11462409,92;10395,39;3197,45;772,85;1547546,48;41984,66;17173,83;52111,1;49519,66;6636166,62;69287,92;22726,22;208604333,1;11708,32;11762,76;26324,06;1160451,1;423032,9;1588,84;11584,23;2272,51;6801,67;68800,11;17776,21;4705,43;24676,59;5571,69;21594,32;52276353,9;2195,61;14334,68;124366,93;3202,86;9918,18;;291178270,8;
"LPelaPred""""";11229,91;1485587,09;939829,08;629047,31;56987,16;64761,45;12675,72;1736645,75;78957,13;6112767,35;13242,52;2792,11;632,52;4175643,63;211335,3;34993,52;40439,53;149009,46;3968051,16;531937,95;18984,59;37577502,62;16286,9;3474,22;14607,77;1361232,27;81565,01;1072,85;9124,63;2040,94;1349,42;33451,02;5680,96;2541,51;11029,34;3761,95;30010,92;388914591,4;1554,99;2627,54;25663,41;555,8;5354,33;;448380630;
"CatFish""""";4465,72;471688,82;688288,71;300165,73;58395,89;81940,39;14494,06;3617077,44;176713,26;6335532,61;18477,61;3995,9;955,9;868080,64;21201,38;26445,27;60183,3;62337,96;3682986,75;30464,34;26313,77;116852088,3;20249,28;8115,43;25073;1711420,5;243341,13;1367,04;12153,06;2390,27;3984,09;59278,55;12742;3641,7;16326,96;6328,05;19869,72;25032580,18;2302,88;8289,91;74910,65;1825,52;9216,66;;160677700,3;
"Crus""""";3501501,33;693688397,6;565402365,2;344586515,2;15614184,04;15981167,32;8097281,14;1301070617;61259107,13;4252610110;2134584,9;733741,05;160961;1982924570;96082172,31;10319881,43;11694929,98;55852442,29;2637939481;237916759,5;5744879,05;45361338138;2945760,49;2495592,49;5647687,66;302593770,8;91364118,6;513530,39;3343971,58;744673,56;1423535,52;15240114,31;3753793,77;1366126,96;6990174,55;1137824,12;12440484,4;1,73484E+11;504591,45;2996700,24;26125191,77;667822,32;2174452,22;;2,31633E+11;
"SPelaPred""""";591025,64;98150502,69;55289261,49;40566238,11;1966394,52;1749640,08;676634,28;38120627,92;1780070,34;327610907,8;293949,49;67685,56;13446,45;292091390;15298113,93;1595437,6;958037,63;8836166,56;223217818,2;39081495,44;525818,53;368251672,1;423032,9;58908,06;316343,47;35991925,51;1003157,58;43149,62;300428,26;73049,23;19546,7;764066,51;106580,12;94151,46;394059,76;70016,34;1601392,67;28475853348;35202,67;35038,79;376848,75;6970,07;110918,86;;30034410469;
"MDeepShaRay""""";1209,83;75732,53;163697,13;69641,51;7839,07;11307,02;1527,45;824249,21;13732,98;1513933,44;1281,32;317,91;73,68;177929,8;3961,1;2528,63;4850;7067,29;727611,16;4302,19;2104,18;29410005,84;1711,06;834,44;1913,86;217861,38;46468,83;127,48;1063,24;275,96;273,49;4630,47;918,54;402,52;3334,42;460,6;2356,52;3349658,51;285,84;570,86;5217,92;124,95;1342,05;;36664736,2;
"MCoastShaRay""""";6855;580882,79;1140837,63;493140,3;54463,28;77977,58;14092,58;5635366,18;147400,4;10600265,96;11126,65;2740,5;643,77;1309998,72;31189,32;19337,76;42507,39;52962,51;5427650,93;40491,34;18483,57;201845270,3;13366,42;7603,86;18229,59;1519987,08;346648;1139,18;9194,88;2120,88;3314,17;44968,75;9964,84;3442,69;23513,08;4100,62;18616,51;31307760,99;2120,39;6942,91;61556,21;1538,79;9805,8;;260969620,1;
"LTuna""""";2507,58;308525,31;351295,44;185532,56;12366,58;15490,73;3570,72;1229248,42;28764,3;2895991,6;1608,67;473,62;106,05;855985,79;37162,7;5552,99;7275,23;25296,23;1565153,73;86750,91;3371,26;43638047,59;2272,51;1474,01;3107,35;293356,25;73049,23;256,25;1838,1;480,28;617,22;8070,31;1768,62;754,89;5500,76;725,82;6235,74;63373780,85;434,1;1282,99;11450,36;283,14;1908,91;;115048725,7;
"GAfriThre""""";1243,89;56804,7;57741,48;23352,9;13582,22;19923,41;1041,76;410546,77;9987,12;449090,73;4869,53;853,65;201,62;90483,2;2283,93;6678,57;11880,45;15052,8;214743,59;3389,8;5245,4;8588429,44;5232,05;749,68;3984,09;431374,4;15035,92;195,35;2209,45;474,79;96,89;8075,27;1108,13;430,88;1723,39;1288,52;3429,01;3156926,76;471,06;149,6;2514,41;22,36;1648,92;;13624567,88;
"MDemPred""""";16370,57;1491617,78;2302168,3;989146,28;199311,94;287264,85;43168,09;12286089,98;487004,14;21016526,86;63903,15;13087,75;3106,48;2836229,12;66614,43;90123,9;192631,97;213190,6;11598681,68;89458,59;84740,95;393287636,6;68800,11;24159,07;77062,12;6003681,4;764066,51;4299,73;38972,91;8070,31;10497,84;178180,4;36199,9;11185,82;53426,68;20757,33;63872,23;74773894,56;7815,67;21715,05;200459,8;4749,46;30904,54;;530060845,4;
"LessAfriThre""""";2872,08;180532,76;227916,1;95562,12;33267,98;47897,3;4797,75;1384631,28;53117,99;1986706,83;11357,31;2156,57;511,65;300113,22;6909,38;15793,5;31069,36;35769,37;1087874,91;8943,09;13648;37428222,32;12306,61;2840,48;11467,8;1023761,94;73786,24;590,49;5978,91;1224,43;997,32;25061,47;4426,14;1441,25;6079,44;3253,9;9399,6;8182462,54;1194,49;2000,81;19734,27;426,16;4474,81;;52352579,96;
"LBathyPred""""";2960,33;330438,78;410159,48;207483,5;18072,86;25206,19;4383,46;1583621,17;27822,69;3429566,48;3568,76;790,63;177,55;906425,79;37413,91;8240,15;11509,49;31448,34;1776591,39;85074,47;5314,91;54605801,07;4343,48;1694,34;4370,04;496773,44;86909,04;345,02;2754,15;696,82;517,05;10325,37;1921,66;944,7;6717,31;1171,41;7548,57;62473685,19;630,18;1069,76;10136;231,97;2783,9;;126627640,8;
"LBathyPelaPred""""";27425,56;4695157,7;3411436,17;2207943,32;100661,91;108317,42;37526,05;6062603,16;117038,1;23516616,7;13973,83;3342,91;651,5;14003705,17;702281,25;73420,31;46027,88;409121,86;14102822,8;1763176,04;25636,3;189150787,4;18981,99;6127,41;16326,96;2118234,71;303122,9;2381,73;15675,38;4231,35;1723,39;41097,44;6754,93;5597,76;33205,94;4542,22;77598,36;1284940084;2594,14;3454,51;34582,75;730,3;10156,56;;1548226878;
"Jack""""";3482,63;180496,26;161294,7;83281,12;18479,09;18509,34;3878,66;801884,52;60869,08;1401704;3847,53;990,87;240,98;312417,67;12361,89;6604,17;15936,98;17122,66;948050,96;26011,91;6634,74;22984654,31;4714,5;2298,97;6960,85;379274,71;59244,6;361,9;3007,12;614,15;1417,37;17563,89;3976,98;1073,79;4996,44;1263,69;6197,76;19415433,83;559,65;2899,37;24975,2;642,88;2013,69;;47008245,44;
"SpaFish""""";8376,03;1943821,83;3666682,08;1691766,92;76402,68;145429,76;16137,73;15232584,22;110609,19;32487585,19;9473,69;2275,12;509,55;5874254,5;201100,88;31231,63;33384,96;149302,64;15506147,04;409157,53;16008,7;582915217,4;11627,71;11670,91;13908,8;2638890,63;862288,36;1178,26;8687,71;3357,7;2400,31;34392,74;7310,8;4403,33;54318,85;3944,03;37960,14;299225403,2;3890,63;4894,45;45128,9;1073,01;20448,11;;963524637,9;
"HerbZoopl""""";87585187,08;49409750605;1,83286E+11;75004332801;2521044975;6746266519;60868590,76;8,73008E+11;274190944;1,71778E+12;29643242,58;10609981,66;2525003,27;1,66856E+11;2452683920;471958146,4;151391932,6;2675546395;7,51022E+11;78118039,24;72015309,99;3,44312E+13;88467675,82;475340056,2;55071676,4;1,15656E+11;48189905665;5263749,09;45918049,46;107247936,8;6945238,87;126540436,9;20001575,1;114535089,5;2826868185;38830867,67;940422695,9;65203350861;175111332,6;6551853,68;113886040,9;1077649,17;1044835409;;3,84984E+13;
"STuna""""";3049,07;460228,57;324345,01;210123,84;12185,47;11589,45;4409,77;624763,18;32573,62;2275004,77;1853,51;524,38;116,34;1307150,14;65403,96;7652,68;8035,69;39236,24;1461624,43;163745;3885,54;18901268,03;2533,39;1295,83;3454,32;229359,75;40618,47;306,25;2120,39;500,89;706,59;9018,08;1990,82;787,73;3891,22;763,17;8337,06;119394090,4;341,74;1455,52;12908,81;320,55;1220,65;;145634790,3;
"Croak""""";2178,87;83297,23;81264,96;30913,41;22987,5;33494,4;1751,15;646538,99;15406,34;624015,53;8267,18;1436,03;338,39;112964,98;2154,94;11174,83;19954,14;24563,48;287551,21;1667,81;8796,17;12502419,09;8821,34;1167,79;6631,93;726472,78;21562,33;326,2;3702,89;789,53;119,68;13363,11;1778,5;713,17;2763,61;2108,63;5593,65;2382492,25;776,28;163,28;3381,49;18,86;2724,49;;17708608,42;
"RoyThre""""";24208,64;971617,19;951964,83;388460,55;231954,15;329850,39;19654,69;6939511,74;192013,92;7484967,91;80617,53;14203,5;3349,01;1435602,11;35532,07;110058,48;199019,71;245979,86;3695736,9;48573,8;87362,27;144227951,9;86100,18;12831,71;67419,59;7125052,3;260895,29;3354,38;36933,72;7927,17;2262,97;138779,86;19734,27;7602;31124,48;20434,26;58022,88;46589744,01;7745,29;3804,17;50650,16;683,77;27290,91;;222276584,5;
"Group""""";59,77;2186,09;2062,22;761,26;637,49;931,9;46,99;17218,01;389,26;15550,01;230,04;39,85;9,39;2823,02;48,33;311,32;553,28;680,67;6948,65;22,32;244,04;316346,49;246,37;30,88;182,55;20237,04;536,16;8,92;102,59;21,78;2,24;365,34;47,35;19,33;73,03;58,44;153,29;48984,05;21,37;2,36;75,97;0,04;75,07;;439344,58;
"LDemInvFeed""""";2912,27;515063,96;325828,69;224248,01;10807,92;9867,27;4520,67;420917,64;24217,44;2133390,86;1602,99;441,83;93,22;1505146,73;77149,46;8201,82;6720,92;44721,21;1421340,05;195480,66;3450,3;11127511,36;2288,81;892,39;2765;197677,47;25596,66;287,58;1961,16;440,52;494,67;7131,82;1491,6;695,98;3046,97;549,19;8763,48;142477555,8;244,13;1021,68;9096,97;225,2;914,39;;160806776,7;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WO3;"BalWhale""""";"SPelaInvFeed""""";"ScadMack""""";"Sard""""";"SMBathyInvFeed""""";"MBathyPelaInvFeed""""";"SBathyPelaPred""""";"MesoPela""""";"Cepha""""";"CarnZoopl""""";"ToothWhaleDolph""""";"LDeepShaRay""""";"LCoastShaRay""""";"BonShad""""";"MullOHerb""""";"MDemInvFeed""""";"SDemPred""""";"SDemInvFeed""""";"Benth""""";"Turtle""""";"LDemPred""""";"ProdPrim""""";"Bird""""";"LPelaPred""""";"CatFish""""";"Crus""""";"SPelaPred""""";"MDeepShaRay""""";"MCoastShaRay""""";"LTuna""""";"GAfriThre""""";"MDemPred""""";"LessAfriThre""""";"LBathyPred""""";"LBathyPelaPred""""";"Jack""""";"SpaFish""""";"HerbZoopl""""";"STuna""""";"Croak""""";"RoyThre""""";"Group""""";"LDemInvFeed""""";;SUM;
"BalWhale""""";0;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,02;0,01;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,05;0,03;0,06;0,06;0,01;0,06;0,02;0,01;0,06;0,02;0,02;0,06;0,02;0,06;0,06;0,02;0,01;0,05;0;0,02;;1,91;0,0186
"Benth""""";0,06;0,24;0,23;0,23;0,1;0,09;0,06;0,35;0,12;0,38;0,06;0,02;0,01;0,24;0,13;0,12;0,08;0,14;0;0,13;0,06;0,38;0,06;0,06;0,03;0,3;0,15;0,01;0,06;0,02;0,01;0,07;0,02;0,02;0,08;0,02;0,07;0,38;0,02;0,01;0,06;0;0,02;;4,74;0,0463
"Bird""""";0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,02;0,01;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0;0,05;0,03;0,06;0,06;0,01;0,06;0,02;0,01;0,06;0,02;0,02;0,06;0,02;0,06;0,06;0,02;0,01;0,05;0;0,02;;1,91;0,0186
"BonShad""""";0,06;0,24;0,23;0,23;0,1;0,09;0,06;0,23;0,12;0,24;0,06;0,02;0,01;0;0,13;0,12;0,08;0,14;0,24;0,13;0,06;0,24;0,06;0,06;0,03;0,23;0,15;0,01;0,06;0,02;0,01;0,07;0,02;0,02;0,08;0,02;0,07;0,24;0,02;0,01;0,06;0;0,02;;4,14;0,0404
