Species                        Kbu       Ktd      Kdir    Kindir         K
ToothWhaleDolph            0.13575   1.34607   1.19720   0.28462   1.48181
LDeepShaRay                0.00000   5.47568   1.64986   3.82582   5.47568
LCoastShaRay               0.00000  16.52258   4.87347  11.64911  16.52258
Turtle                     0.05000   0.12205   0.16692   0.00513   0.17205
LDemPred                   0.00000   5.26892   3.47679   1.79214   5.26892
MDeepShaRay                0.05882   3.55916   2.30290   1.31508   3.61798
MCoastShaRay               0.18750   3.47585   2.27694   1.38640   3.66334
Jack                       0.15805   2.86515   1.09753   1.92567   3.02320
LTuna                      0.13967   1.70385   1.21082   0.63270   1.84352
LPelaPred                  0.21267   8.68536   3.14036   5.75767   8.89803
STuna                      0.08084   3.18352   1.54344   1.72092   3.26436
Bird                       0.00000   5.26756   1.61054   3.65702   5.26756
SPelaPred                  0.87909   0.44707   0.95154   0.37462   1.32615
GAfriThre                  0.10882   1.67057   1.42529   0.35410   1.77939
Cepha                      2.36658   0.75477   2.36281   0.75854   3.12135
SPelaInvFeed               3.99498   0.25152   2.70530   1.54119   4.24649
BalWhale                   0.00000   1.31421   1.06788   0.24633   1.31421
ScadMack                   1.55052   0.28913   1.33335   0.50631   1.83966
Croak                      0.00000   0.98369   0.74948   0.23421   0.98369
MDemPred                   0.21243   1.13896   1.06320   0.28819   1.35139
MDemInvFeed                1.02906   0.46964   1.30384   0.19486   1.49870
RoyThre                    0.58088   0.28061   0.75642   0.10507   0.86149
SDemInvFeed                2.11921   0.43824   1.98931   0.56813   2.55744
LBathyPred                 0.14027   0.95735   0.90363   0.19399   1.09762
SBathyPelaPred             0.55679   0.31044   0.76627   0.10096   0.86723
BonShad                    1.74831   0.16850   1.26813   0.64868   1.91681
CatFish                    0.16827   1.06929   0.98741   0.25015   1.23756
LessAfriThre               0.50110   0.29791   0.70148   0.09752   0.79901
Sard                       3.41230   0.21122   2.40200   1.22153   3.62353
LBathyPelaPred             0.17279   1.04331   1.00723   0.20887   1.21610
SpaFish                    0.22995   0.25152   0.43551   0.04595   0.48147
MullOHerb                  0.51822   0.21363   0.67361   0.05824   0.73185
SDemPred                   1.29812   0.22080   1.23011   0.28880   1.51892
SMBathyInvFeed             0.52815   0.17459   0.65496   0.04779   0.70275
MBathyPelaInvFeed          0.33916   0.13670   0.43637   0.03949   0.47586
MesoPela                   1.55513   0.17459   1.25890   0.47082   1.72972
Crus                       9.25877   0.13670   5.46802   3.92745   9.39547
Group                      0.00000   0.03789   0.03333   0.00456   0.03789
LDemInvFeed                0.00000   0.12947   0.11667   0.01280   0.12947
Benth                     11.51427   0.12821   4.77489   6.86759  11.64247
CarnZoopl                 11.14903   0.12821   4.47632   6.80091  11.27723
HerbZoopl                 23.24030   0.07692   4.89878  18.41843  23.31722
ProdPrim                  42.00000   0.00000   4.25119  37.74881  42.00000
