TI3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"ZooplEater""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"Epiph""""";"FreeWat""""";"AttWat""""";"SedBaci""""";"CarnMac""""";"BenthFeed""""";"Pisci""""";"CatFish""""";"Leer""""";"DuskyKob""""";"Bird""""";"Grunter""""";"SkipJack""""";;SUM;;
"MicroZoopl""""";0,1;0,13;0,09;0,08;0,01;0,05;0,02;0;0;0;0;0;0;0;0;0;0,45;0,03;0;0;0,01;0,01;0;0;0;0;0;0,01;;1,04;;
"Mysid""""";0,13;0,17;0,13;0,08;0,04;0,16;0,08;0,01;0,01;0,01;0,02;0,01;0,01;0;0,01;0,01;0,11;0,14;0,01;0,01;0,05;0,06;0,02;0,02;0,02;0,02;0,01;0,06;;1,41;;
"Phyto""""";0,08;0,16;0,11;0,1;0,06;0,14;0,07;0;0;0,01;0,01;0,01;0,01;0;0;0;0,11;0,06;0;0,01;0,03;0,02;0,01;0,01;0,01;0,02;0,02;0,04;;1,08;;
"Pisci""""";0,03;0,02;0,03;0,07;0,08;0,03;0,07;0,03;0,04;0,03;0,03;0,09;0,09;0,03;0,08;0,05;0,01;0,04;0,04;0,07;0,06;0,05;0,05;0,05;0,07;0,04;0,04;0,04;;1,36;;
"SedBaci""""";0;0;0,01;0,01;0,02;0,01;0,01;0,07;0,12;0,12;0,05;0,09;0,09;0,16;0,09;0,06;0;0;0,07;0,08;0,05;0,03;0,04;0,03;0,04;0,04;0,03;0;;1,31;;
"SkipJack""""";0,01;0;0,01;0,01;0;0;0,04;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0,01;0;0,01;0;0,03;;0,16;;
"Sol""""";0;0;0;0;0,01;0;0;0,07;0,02;0,02;0,03;0,02;0,02;0,04;0,02;0,02;0;0;0,06;0,02;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0;;0,47;;
"SuspFeed""""";0,01;0;0,01;0,01;0,03;0,01;0,02;0,08;0,04;0,05;0,04;0,05;0,04;0,05;0,03;0,02;0;0,01;0,08;0,07;0,05;0,07;0,04;0,03;0,06;0,1;0,02;0,02;;1,04;;
"UpoAfri""""";0,08;0,03;0,04;0,04;0,06;0,03;0,04;0,02;0,01;0,02;0,02;0,03;0,05;0,02;0,02;0,01;0,01;0,12;0,02;0,03;0,05;0,07;0,11;0,04;0,07;0,1;0,16;0,03;;1,32;;
"ZooplEater""""";0,11;0,05;0,11;0,1;0,05;0,06;0,09;0,01;0,01;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,04;0,15;0,02;0,03;0,06;0,08;0,03;0,09;0,07;0,1;0,04;0,41;;1,88;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"ZooplEater""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"Epiph""""";"FreeWat""""";"AttWat""""";"SedBaci""""";"CarnMac""""";"BenthFeed""""";"Pisci""""";"CatFish""""";"Leer""""";"DuskyKob""""";"Bird""""";"Grunter""""";"SkipJack""""";;SUM;;
"AttWat""""";1,12E+13;1,03E+15;9,51E+14;1,63E+14;4,97E+14;20850527544;6,07E+13;0;4,21E+11;5,78E+13;1,75E+12;4,23E+12;3,24E+13;3375408577;8,27E+11;0;2,60E+12;1340639410;12300033041;1,27E+14;2,28E+12;4,05E+12;1,68E+13;7,95E+12;1,37E+13;3,57E+11;1478876536;1,29E+11;;2,98955E+15;thresold:;4937644454335400,00
"BenthFeed""""";2,27E+14;2,79E+16;2,58E+16;4,41E+15;1,72E+16;5,59E+11;1,65E+15;5,76E+17;6,56E+16;1,29E+18;5,38E+16;7,36E+17;1,14E+16;6,05E+17;6,49E+17;2442258551;2,84E+13;8,53E+12;3,43E+15;1,01E+17;3,71E+15;2,50E+14;1,88E+15;4,19E+14;8,99E+14;1,60E+15;1,77E+14;1,18E+13;;4,1782E+18;;4937644454335400,00
"BenthMicroAl""""";0;0;2,13E+14;3,32E+13;2,66E+16;64461648558;4,83E+15;1,05E+16;7,93E+18;1,57E+20;6,52E+18;8,97E+19;1,26E+18;7,35E+19;7,88E+19;2978888881;0;0;8,79E+16;2,59E+16;2,69E+17;7,82E+14;1,43E+17;1,35E+15;3,29E+15;55489815008;2,64E+14;0;;4,15021E+20;;
"Bird""""";5,28E+15;7,74E+15;6,97E+15;1,44E+15;3,16E+15;7,64E+11;1,18E+15;39635582148;1,41E+16;2,78E+17;1,16E+16;1,59E+17;2,45E+15;1,30E+17;1,40E+17;0;0;4,46E+11;1,66E+14;7,85E+14;5,34E+14;2,60E+13;3,69E+14;4,82E+13;8,37E+13;3222730996;87104515940;447092105,8;;7,62995E+17;;
"CalliaKra""""";5,60E+14;1213580666;7,71E+13;3,56E+13;1,58E+13;44931780,82;2,34E+11;1,08E+18;1,01E+15;1,19E+14;2,18E+11;2,50E+14;1322139614;56748852952;7,42E+13;1,14E+11;0;4,86E+13;5,20E+15;8,75E+16;4,54E+15;1,12E+14;1,71E+14;3,01E+15;4,65E+15;2,94E+15;1,03E+15;1,01E+13;;1,19541E+18;;
"CarnMac""""";3,30E+15;4,41E+12;2,40E+13;1,52E+13;2,37E+15;23023805745;3,30E+14;3,33E+16;8,24E+17;1,64E+19;6,76E+17;9,54E+18;1,31E+17;7,62E+18;8,17E+18;81661397,11;0;2,87E+14;1,92E+16;4,58E+15;6,03E+16;7,26E+13;3,14E+16;1,33E+14;4,01E+14;1,41E+15;5,81E+15;5,56E+11;;4,34784E+19;;
"CatFish""""";2,43E+14;3,36E+15;3,10E+15;5,28E+14;2,31E+15;67302949909;2,04E+14;1,02E+17;1,22E+14;2,38E+15;7,37E+13;1,91E+15;1,42E+14;6,77E+14;7,44E+14;120567209,7;0;2,09E+13;5,57E+14;1,74E+16;6,27E+14;3,61E+13;2,60E+14;5,26E+13;1,21E+14;3,69E+14;4,24E+14;4,35E+11;;1,37742E+17;;
"Copyp""""";1,46E+18;4,63E+16;3,95E+16;1,15E+17;2,87E+15;8,82E+13;1,09E+17;2,13E+14;5,13E+11;1,42E+14;57930195145;1,35E+14;8,99E+13;6,50E+11;1,63E+14;0;6,09E+17;1,66E+15;6,13E+12;1,86E+13;1,20E+16;1,39E+14;4,33E+15;4,19E+13;9,10E+14;9,75E+15;3,23E+16;9,52E+14;;2,44887E+18;;
"Det""""";8,56E+14;1,06E+12;1,02E+14;3,84E+13;4,02E+15;14709397019;1,86E+13;1,12E+20;1,03E+17;3,53E+15;5,11E+13;4,04E+15;9,95E+13;1,01E+13;7,47E+15;1,17E+13;0;7,22E+13;5,36E+17;9,09E+18;4,31E+17;1,16E+16;2,38E+15;3,10E+17;4,77E+17;2,78E+17;4,73E+15;8,77E+12;;1,2321E+20;;
"DuskyKob""""";3,42E+15;1,51E+15;1,30E+15;3,69E+14;3,22E+14;3,84E+11;5,86E+14;4,71E+15;4,85E+16;9,54E+17;3,99E+16;5,39E+17;7,76E+15;4,50E+17;4,83E+17;43766186,84;0;3,41E+13;1,37E+14;4,46E+14;5,99E+14;2,65E+12;2,41E+14;8,78E+12;1,26E+13;1,67E+14;6,94E+14;68567948591;;2,53607E+18;;
"Epiph""""";0;0;0;145534,1;19185346,04;0;194455589,6;425555554,4;1,19E+11;2,34E+12;97748858846;1,31E+12;18943635802;1,10E+12;1,18E+12;0,19;0;0;60832394,01;9073488,57;162817236,7;890388,61;24113441,94;11095636,92;4376618,68;0;21417184,67;0;;6,16989E+12;;
"FishLarv""""";2,44E+13;5,36E+13;5,04E+13;1,07E+13;6,59E+12;2483036230;4,08E+12;36835227747;113681813,1;11767517615;114665648,6;18721274968;29954520,55;864833,81;280682146,6;0;1,10E+13;20850527544;1058765623;10232802553;1,49E+11;12945408579;53842359927;8288833938;1,54E+11;6,11E+11;3,85E+11;1,91E+11;;1,62384E+14;;
