TI3;"PFLpisc""""";"PFLplank""""";"PFSpela""""";"DFSha""""";"DFPisc""""";"DFLcarn""""";"DFScarn""""";"DFSplank""""";"DFLherb""""";"Chepha""""";"Zoopl""""";"DFSherb""""";"DFOmn""""";"InvCarn""""";"InvFiltFeed""""";"InvDesp""""";"InvSurfDesp""""";"InvHerb""""";"MeioFau""""";"BenthMacroph""""";"Coral""""";"Phyto""""";"BenthMicroph""""";;SUM
"Coral""""";0;0;0;0;0,04;0,02;0,04;0,02;0;0,02;0,09;0;0,09;0,04;0,09;0;0,04;0,02;0,04;0,02;0;0,02;0;;0,61
"DFLcarn""""";0,13;0,04;0;0,09;0,24;0;0,15;0,07;0,04;0,17;0,09;0;0,04;0,07;0,09;0;0,07;0;0,11;0,02;0,02;0;0,04;;1,48
"DFLherb""""";0,04;0,04;0;0,04;0,07;0,04;0,02;0,02;0;0,04;0;0,02;0,02;0;0;0;0;0,02;0;0,02;0;0;0;;0,41
"DFOmn""""";0;0;0;0;0,09;0,04;0,11;0,04;0,02;0,04;0,07;0,02;0;0,09;0,09;0,02;0,07;0,04;0,09;0,07;0,09;0,02;0,04;;1,04
"DFPisc""""";0,2;0,04;0;0,13;0;0,24;0,17;0,09;0,07;0,17;0,15;0,02;0,09;0,11;0,11;0;0,11;0,04;0,15;0,09;0,04;0;0,04;;2,07
"DFScarn""""";0,09;0,02;0;0,02;0,17;0,15;0;0,09;0,02;0,13;0,09;0;0,11;0,09;0,13;0,04;0,09;0;0,17;0,02;0,04;0;0,07;;1,54
"DFSha""""";0,13;0,04;0;0;0,13;0,09;0,02;0,07;0,04;0,09;0,04;0;0;0,02;0,04;0;0,04;0;0;0,02;0;0;0;;0,78
"DFSherb""""";0;0;0;0;0,02;0;0;0;0,02;0;0;0;0,02;0;0;0;0;0,02;0;0,02;0;0;0;;0,11
"DFSplank""""";0,09;0,02;0;0,07;0,09;0,07;0,09;0;0,02;0,09;0,07;0;0,04;0,07;0,11;0,02;0,09;0;0,04;0;0,02;0;0,02;;1
"InvCarn""""";0,04;0;0;0,02;0,11;0,07;0,09;0,07;0;0,07;0,09;0;0,09;0;0,11;0,02;0,09;0,02;0,11;0,02;0,04;0,02;0,04;;1,11
"InvDesp""""";0;0;0;0;0;0;0,04;0,02;0;0;0;0;0,02;0,02;0,04;0;0,04;0;0,04;0;0;0;0,02;;0,26
"InvFiltFeed""""";0,07;0;0;0,04;0,11;0,09;0,13;0,11;0;0,09;0,13;0;0,09;0,11;0;0,04;0,13;0;0,11;0;0,09;0,02;0,02;;1,37
"InvHerb""""";0;0;0;0;0,04;0;0;0;0,02;0;0,02;0,02;0,04;0,02;0;0;0,02;0;0,02;0,04;0,02;0;0;;0,28
"InvSurfDesp""""";0,07;0;0;0,04;0,11;0,07;0,09;0,09;0;0,04;0,07;0;0,07;0,09;0,13;0,04;0;0,02;0,11;0,02;0,04;0;0,02;;1,11
"MeioFau""""";0,04;0;0;0;0,15;0,11;0,17;0,04;0;0,07;0,09;0;0,09;0,11;0,11;0,04;0,11;0,02;0;0,02;0,04;0;0,07;;1,28
"PFLpisc""""";0;0,04;0;0,13;0,2;0,13;0,09;0,09;0,04;0,15;0,11;0;0;0,04;0,07;0;0,07;0;0,04;0,02;0;0;0;;1,22
"PFLplank""""";0,04;0;0;0,04;0,04;0,04;0,02;0,02;0,04;0,04;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,3
"PFSpela""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0,02;0;0,02;0,02;0,02;0;0;0;0;0;0,02;0;0;;0,11
"Zoopl""""";0,11;0;0;0,04;0,15;0,09;0,09;0,07;0;0,11;0;0;0,07;0,09;0,13;0;0,07;0,02;0,09;0,04;0,09;0,02;0;;1,26
