100,34,25,5,5,5,2,11,7,20,25,23,2,3,8,1,10
34,100,44,11,9,7,4,23,17,17,2,23,4,1,5,0,1
25,44,100,20,24,23,15,50,9,38,12,45,1,5,9,1,3
5,11,20,100,25,17,10,33,10,7,0,20,0,1,1,0,0
5,9,24,25,100,64,65,38,8,19,0,29,0,12,9,0,0
5,7,23,17,64,100,90,29,3,35,5,29,1,26,20,0,1
2,4,15,10,65,90,100,22,2,31,0,25,0,24,17,0,0
11,23,50,33,38,29,22,100,13,21,0,36,0,4,6,0,0
7,17,9,10,8,3,2,13,100,2,0,11,0,0,1,0,0
20,17,38,7,19,35,31,21,2,100,22,10,1,51,49,4,11
25,2,12,0,0,5,0,0,0,22,100,7,2,12,13,12,64
23,23,45,20,29,29,25,36,11,10,7,100,2,5,4,0,2
2,4,1,0,0,1,0,0,0,1,2,2,100,0,0,0,1
3,1,5,1,12,26,24,4,0,51,12,5,0,100,74,12,10
8,5,9,1,9,20,17,6,1,49,13,4,0,74,100,10,9
1,0,1,0,0,0,0,0,0,4,12,0,0,12,10,100,25
10,1,3,0,0,1,0,0,0,11,64,2,1,10,9,25,100
