100,1,15,37,60,39,51,18,1,20,33,42,1,2,14,38,13,1,22,21,10,12,35,20,19,1
1,100,18,9,1,4,1,4,10,3,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
15,18,100,57,11,21,24,22,3,20,4,18,2,0,0,7,0,0,1,2,0,1,3,1,2,0
37,9,57,100,30,39,42,24,4,24,5,35,5,0,1,23,0,0,3,4,2,3,8,3,4,0
60,1,11,30,100,39,63,17,1,24,28,49,1,1,13,40,10,1,19,20,10,15,44,24,24,1
39,4,21,39,39,100,51,60,6,47,20,41,7,0,3,33,4,0,6,10,4,4,13,6,6,0
51,1,24,42,63,51,100,29,1,37,18,60,2,0,6,44,5,0,11,14,7,11,31,13,13,0
18,4,22,24,17,60,29,100,8,57,12,20,13,0,1,15,2,0,2,5,2,2,5,2,2,0
1,10,3,4,1,6,1,8,100,8,1,3,43,0,0,1,0,0,0,0,0,0,0,0,0,0
20,3,20,24,24,47,37,57,8,100,17,30,10,0,2,23,2,0,3,6,2,3,7,3,3,0
33,1,4,5,28,20,18,12,1,17,100,14,2,0,14,10,19,0,17,38,15,18,28,21,18,0
42,2,18,35,49,41,60,20,3,30,14,100,3,0,4,56,4,0,11,8,5,9,23,11,8,0
1,6,2,5,1,7,2,13,43,10,2,3,100,0,0,2,0,0,0,0,0,0,0,0,0,0
2,0,0,0,1,0,0,0,0,0,0,0,0,100,33,9,44,65,43,14,29,35,4,17,10,28
14,0,0,1,13,3,6,1,0,2,14,4,0,33,100,9,52,31,56,49,59,65,38,68,64,21
38,0,7,23,40,33,44,15,1,23,10,56,2,9,9,100,7,4,15,16,9,11,20,10,9,3
13,0,0,0,10,4,5,2,0,2,19,4,0,44,52,7,100,56,74,38,36,44,32,52,30,35
1,0,0,0,1,0,0,0,0,0,0,0,0,65,31,4,56,100,51,10,29,33,3,18,9,61
22,0,1,3,19,6,11,2,0,3,17,11,0,43,56,15,74,51,100,37,44,54,36,58,36,42
21,0,2,4,20,10,14,5,0,6,38,8,0,14,49,16,38,10,37,100,46,55,38,55,52,6
10,0,0,2,10,4,7,2,0,2,15,5,0,29,59,9,36,29,44,46,100,75,24,55,71,20
12,0,1,3,15,4,11,2,0,3,18,9,0,35,65,11,44,33,54,55,75,100,30,63,65,25
35,0,3,8,44,13,31,5,0,7,28,23,0,4,38,20,32,3,36,38,24,30,100,57,45,4
20,0,1,3,24,6,13,2,0,3,21,11,0,17,68,10,52,18,58,55,55,63,57,100,71,17
19,0,2,4,24,6,13,2,0,3,18,8,0,10,64,9,30,9,36,52,71,65,45,71,100,8
1,0,0,0,1,0,0,0,0,0,0,0,0,28,21,3,35,61,42,6,20,25,4,17,8,100
