100,36,34,41,6,44,31,5,10,21,37,12,2,9,7,37,3,4,6,13,0,2,3,14,17,1,1,0,2,0,2,1,1,0,1,0,0,0,0,0,0,0
36,100,9,20,2,27,11,2,3,32,24,4,0,2,2,13,1,1,1,6,0,0,1,10,10,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
34,9,100,46,20,44,44,17,29,7,31,41,7,28,29,29,16,16,18,15,1,9,16,16,16,4,6,1,9,5,10,5,5,0,4,1,1,4,0,0,0,0
41,20,46,100,10,51,50,9,16,9,28,20,3,18,12,33,6,9,6,5,0,4,5,6,9,1,1,0,3,0,4,2,1,0,0,0,0,0,0,0,0,0
6,2,20,10,100,8,11,52,52,1,6,26,18,27,37,6,31,31,23,2,3,18,27,1,3,20,15,11,24,7,11,6,6,1,5,3,2,5,1,0,0,0
44,27,44,51,8,100,41,6,11,21,44,20,3,12,12,33,7,7,11,11,0,4,7,18,20,2,3,0,5,3,4,2,2,0,2,0,0,2,0,0,0,0
31,11,44,50,11,41,100,11,15,16,20,35,6,23,20,52,9,13,14,8,0,7,8,12,15,5,3,0,8,3,4,3,2,0,2,1,0,1,0,0,0,0
5,2,17,9,52,6,11,100,43,1,6,32,35,34,52,6,53,55,38,7,6,25,40,3,6,41,27,7,45,9,13,10,8,3,9,4,3,6,0,0,0,0
10,3,29,16,52,11,15,43,100,2,12,39,14,39,35,9,30,35,38,16,3,21,34,6,13,13,12,10,19,13,17,12,10,4,18,3,3,8,0,0,0,0
21,32,7,9,1,21,16,1,2,100,12,4,0,2,2,19,1,1,2,6,0,1,1,17,11,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
37,24,31,28,6,44,20,6,12,12,100,18,1,10,7,25,3,4,7,5,0,1,3,7,12,1,1,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0
12,4,41,20,26,20,35,32,39,4,18,100,12,47,40,22,23,23,39,19,1,13,23,17,20,14,9,2,17,7,9,5,5,1,6,1,1,4,0,0,0,0
2,0,7,3,18,3,6,35,14,0,1,12,100,21,36,4,47,30,25,5,6,36,33,2,4,60,69,13,49,10,12,11,11,5,7,10,6,11,1,0,0,0
9,2,28,18,27,12,23,34,39,2,10,47,21,100,58,19,39,35,52,14,1,23,38,11,22,26,13,3,28,6,10,6,4,1,9,2,1,4,0,0,0,0
7,2,29,12,37,12,20,52,35,2,7,40,36,58,100,14,65,53,65,12,2,27,54,9,18,46,27,5,51,11,14,8,7,2,11,3,3,7,1,0,0,0
37,13,29,33,6,33,52,6,9,19,25,22,4,19,14,100,7,7,15,13,0,4,6,16,17,4,2,0,6,1,2,1,1,0,1,0,0,0,0,0,0,0
3,1,16,6,31,7,9,53,30,1,3,23,47,39,65,7,100,56,48,10,4,40,59,4,8,55,40,7,63,16,23,15,10,3,14,9,7,12,3,1,1,0
4,1,16,9,31,7,13,55,35,1,4,23,30,35,53,7,56,100,48,9,6,41,75,4,10,34,39,16,42,41,45,31,27,11,52,9,15,32,2,0,0,0
6,1,18,6,23,11,14,38,38,2,7,39,25,52,65,15,48,48,100,24,2,24,55,10,25,31,22,7,34,19,18,11,10,4,29,3,4,13,0,0,0,0
13,6,15,5,2,11,8,7,16,6,5,19,5,14,12,13,10,9,24,100,0,5,10,47,63,4,3,2,3,6,5,3,3,1,12,1,1,4,0,0,0,0
0,0,1,0,3,0,0,6,3,0,0,1,6,1,2,0,4,6,2,0,100,8,5,0,0,3,9,15,3,8,10,14,14,24,5,21,25,11,20,5,2,3
2,0,9,4,18,4,7,25,21,1,1,13,36,23,27,4,40,41,24,5,8,100,46,2,6,48,54,27,39,47,53,39,36,17,32,18,22,45,3,0,1,0
3,1,16,5,27,7,8,40,34,1,3,23,33,38,54,6,59,75,55,10,5,46,100,4,10,41,42,17,51,44,42,28,26,11,55,8,14,32,1,0,1,0
14,10,16,6,1,18,12,3,6,17,7,17,2,11,9,16,4,4,10,47,0,2,4,100,48,3,2,1,2,3,2,1,1,0,6,0,1,2,0,0,0,0
17,10,16,9,3,20,15,6,13,11,12,20,4,22,18,17,8,10,25,63,0,6,10,48,100,5,4,2,4,6,6,3,3,1,12,1,1,4,0,0,0,0
1,1,4,1,20,2,5,41,13,1,1,14,60,26,46,4,55,34,31,4,3,48,41,3,5,100,55,9,68,13,10,7,7,3,11,8,3,8,1,0,0,0
1,0,6,1,15,3,3,27,12,0,1,9,69,13,27,2,40,39,22,3,9,54,42,2,4,55,100,21,46,27,26,23,21,10,21,20,15,25,4,1,1,0
0,0,1,0,11,0,0,7,10,0,0,2,13,3,5,0,7,16,7,2,15,27,17,1,2,9,21,100,8,35,37,61,69,67,22,31,71,55,4,3,1,0
2,1,9,3,24,5,8,45,19,1,2,17,49,28,51,6,63,42,34,3,3,39,51,2,4,68,46,8,100,23,11,8,8,5,11,7,4,9,2,0,1,0
