100,2,54,60,38,67,61,65,0,60,38,65,61,27,74,70,63,54,34,7,23,18,8,22,43,31,65,73,18,59,56,10,23,0,2,57,1,1,0,0,0,0,0,0
2,100,8,1,1,3,6,5,14,2,1,2,1,19,1,4,1,1,1,0,0,0,0,0,1,1,2,2,17,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0
54,8,100,33,17,49,58,61,0,38,20,45,29,52,42,50,29,29,14,1,4,4,1,5,15,9,51,43,34,40,33,1,10,0,0,30,0,0,0,0,0,0,0,0
60,1,33,100,67,68,38,51,0,69,50,63,64,15,53,39,62,64,50,12,32,29,14,30,41,34,54,51,10,48,57,20,30,0,3,45,1,2,0,1,0,0,0,0
38,1,17,67,100,43,22,28,0,56,58,43,51,7,40,25,48,49,58,26,40,48,33,37,32,29,35,37,5,30,48,41,44,0,8,29,4,4,1,2,1,0,0,0
67,3,49,68,43,100,56,53,0,68,44,69,62,24,55,50,62,74,51,9,31,26,11,33,50,42,55,56,16,63,58,18,24,0,3,49,1,1,0,1,0,0,0,0
61,6,58,38,22,56,100,47,1,44,32,55,52,38,57,69,46,52,38,6,21,18,9,28,54,44,49,54,31,76,46,12,15,0,2,65,1,1,0,0,0,0,0,0
65,5,61,51,28,53,47,100,0,44,22,51,36,34,43,44,41,32,16,3,9,7,3,8,23,13,51,45,25,44,36,4,11,0,0,27,0,0,0,0,0,0,0,0
0,14,0,0,0,0,1,0,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2,38,69,56,68,44,44,0,100,68,78,75,19,67,45,65,75,63,16,42,40,23,43,43,39,65,60,11,53,68,31,36,0,5,54,3,2,1,1,0,0,0,0
38,1,20,50,58,44,32,22,0,68,100,54,62,12,52,31,49,57,72,33,52,68,44,51,39,38,43,44,8,38,55,62,49,1,11,40,5,5,2,3,1,0,0,0
65,2,45,63,43,69,55,51,0,78,54,100,76,24,72,56,69,75,53,11,32,29,17,34,48,42,65,68,15,63,70,21,30,0,3,61,2,2,1,1,0,0,0,0
61,1,29,64,51,62,52,36,0,75,62,76,100,15,75,57,75,76,65,17,45,41,24,48,58,55,63,71,12,59,73,30,36,1,6,66,3,3,1,1,0,0,0,0
27,19,52,15,7,24,38,34,1,19,12,24,15,100,21,32,16,14,8,1,4,3,1,5,13,8,26,23,62,36,19,2,5,0,0,15,0,0,0,0,0,0,0,0
74,1,42,53,40,55,57,43,0,67,52,72,75,21,100,64,70,64,52,13,38,33,20,36,48,44,63,81,14,57,67,22,33,1,4,60,3,2,1,1,0,0,0,0
70,4,50,39,25,50,69,44,0,45,31,56,57,32,64,100,57,49,36,7,24,20,10,26,46,39,53,65,29,62,46,11,19,0,2,59,1,1,0,0,0,0,0,0
63,1,29,62,48,62,46,41,0,65,49,69,75,16,70,57,100,66,54,18,44,41,25,38,51,43,52,75,12,57,63,26,39,1,6,50,3,2,1,1,0,0,0,0
54,1,29,64,49,74,52,32,0,75,57,75,76,14,64,49,66,100,74,16,44,42,23,53,61,65,56,62,11,63,76,33,33,0,5,72,3,3,1,1,0,0,0,0
34,1,14,50,58,51,38,16,0,63,72,53,65,8,52,36,54,74,100,28,55,65,38,66,56,60,38,49,7,50,62,56,41,1,10,53,5,5,2,2,1,0,0,0
7,0,1,12,26,9,6,3,0,16,33,11,17,1,13,7,18,16,28,100,41,51,75,20,10,10,6,12,1,8,14,48,63,6,44,8,32,21,8,12,3,3,0,0
23,0,4,32,40,31,21,9,0,42,52,32,45,4,38,24,44,44,55,41,100,79,54,47,33,32,19,39,4,29,35,49,65,2,20,25,11,8,3,4,1,1,0,0
18,0,4,29,48,26,18,7,0,40,68,29,41,3,33,20,41,42,65,51,79,100,64,49,29,28,17,33,3,25,34,64,68,2,22,24,12,9,4,5,1,1,0,0
8,0,1,14,33,11,9,3,0,23,44,17,24,1,20,10,25,23,38,75,54,64,100,29,14,15,10,18,2,12,20,67,69,4,41,11,25,18,7,10,3,3,0,0
22,0,5,30,37,33,28,8,0,43,51,34,48,5,36,26,38,53,66,20,47,49,29,100,60,60,28,35,5,35,51,57,30,1,9,45,7,6,2,3,1,1,0,0
43,1,15,41,32,50,54,23,0,43,39,48,58,13,48,46,51,61,56,10,33,29,14,60,100,81,37,51,14,65,56,26,19,0,4,62,3,3,1,1,0,0,0,0
31,1,9,34,29,42,44,13,0,39,38,42,55,8,44,39,43,65,60,10,32,28,15,60,81,100,38,47,10,55,58,27,17,0,4,64,3,3,1,1,0,0,0,0
65,2,51,54,35,55,49,51,0,65,43,65,63,26,63,53,52,56,38,6,19,17,10,28,37,38,100,62,16,50,57,13,20,0,2,58,2,1,1,1,0,0,0,0
73,2,43,51,37,56,54,45,0,60,44,68,71,23,81,65,75,62,49,12,39,33,18,35,51,47,62,100,16,60,62,19,31,0,4,55,3,2,1,1,0,0,0,0
18,17,34,10,5,16,31,25,2,11,8,15,12,62,14,29,12,11,7,1,4,3,2,5,14,10,16,16,100,30,11,2,3,0,0,14,0,0,0,0,0,0,0,0
59,4,40,48,30,63,76,44,0,53,38,63,59,36,57,62,57,63,50,8,29,25,12,35,65,55,50,60,30,100,60,17,20,0,2,64,1,1,0,1,0,0,0,0
56,1,33,57,48,58,46,36,0,68,55,70,73,19,67,46,63,76,62,14,35,34,20,51,56,58,57,62,11,60,100,31,35,1,5,63,4,3,1,2,0,0,0,0
10,0,1,20,41,18,12,4,0,31,62,21,30,2,22,11,26,33,56,48,49,64,67,57,26,27,13,19,2,17,31,100,57,2,23,19,14,13,5,7,1,1,0,0
23,0,10,30,44,24,15,11,0,36,49,30,36,5,33,19,39,33,41,63,65,68,69,30,19,17,20,31,3,20,35,57,100,3,27,20,17,10,4,6,1,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,6,2,2,4,1,0,0,0,0,0,0,1,2,3,100,26,0,39,21,35,40,46,45,53,9
2,0,0,3,8,3,2,0,0,5,11,3,6,0,4,2,6,5,10,44,20,22,41,9,4,4,2,4,0,2,5,23,27,26,100,3,59,45,26,34,13,17,6,2
57,1,30,45,29,49,65,27,0,54,40,61,66,15,60,59,50,72,53,8,25,24,11,45,62,64,58,55,14,64,63,19,20,0,3,100,2,2,1,1,0,0,0,0
1,0,0,1,4,1,1,0,0,3,5,2,3,0,3,1,3,3,5,32,11,12,25,7,3,3,2,3,0,1,4,14,17,39,59,2,100,56,45,55,21,30,14,2
1,0,0,2,4,1,1,0,0,2,5,2,3,0,2,1,2,3,5,21,8,9,18,6,3,3,1,2,0,1,3,13,10,21,45,2,56,100,47,51,24,24,14,7
0,0,0,0,1,0,0,0,0,1,2,1,1,0,1,0,1,1,2,8,3,4,7,2,1,1,1,1,0,0,1,5,4,35,26,1,45,47,100,74,51,44,31,13
0,0,0,1,2,1,0,0,0,1,3,1,1,0,1,0,1,1,2,12,4,5,10,3,1,1,1,1,0,1,2,7,6,40,34,1,55,51,74,100,50,40,24,9
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,1,3,1,0,0,0,0,0,0,0,1,1,46,13,0,21,24,51,50,100,55,48,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,1,0,0,0,0,0,0,0,1,1,45,17,0,30,24,44,40,55,100,54,40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,6,0,14,14,31,24,48,54,100,33
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,2,7,13,9,26,40,33,100
