100,4,1,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,100,7,8,2,8,0,1,75,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,100,13,24,66,1,13,3,0,23,1,0,20,3,5,1,0,1,1,3,0,0,0,0,0,0,1,0,51,39,7,11,44,0,6,0,0,0,1,0,0,0,0,0,1,0,1
3,8,13,100,17,16,0,4,5,1,16,0,0,9,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,7,4,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1
0,2,24,17,100,22,15,38,2,19,46,5,0,20,23,27,15,8,11,12,18,3,1,0,7,1,2,9,1,33,42,22,45,44,1,27,1,0,1,12,0,0,0,2,1,5,7,7
1,8,66,16,22,100,3,24,9,4,19,1,0,22,9,13,3,2,2,3,3,1,0,0,1,0,0,2,0,37,29,5,10,28,0,11,0,0,0,5,0,0,0,0,0,1,1,2
0,0,1,0,15,3,100,13,0,5,3,31,13,6,24,34,84,60,75,77,61,31,14,4,41,19,24,64,7,3,7,20,12,5,4,39,22,1,7,14,8,3,1,29,1,33,48,28
0,1,13,4,38,24,13,100,2,16,28,6,1,36,24,47,12,7,9,12,14,3,1,0,7,3,3,8,1,23,26,15,32,27,1,40,1,0,1,18,0,0,0,2,0,5,6,6
1,75,3,5,2,9,0,2,100,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,19,4,5,16,1,100,1,1,0,1,2,4,5,3,4,5,4,2,1,0,1,1,1,3,0,1,1,6,44,1,3,3,0,0,0,10,0,0,0,1,1,2,2,3
1,2,23,16,46,19,3,28,2,1,100,4,0,31,17,13,3,1,2,3,6,2,1,0,2,1,1,2,0,55,33,9,14,29,1,11,0,0,0,10,0,0,0,1,1,5,2,6
0,0,1,0,5,1,31,6,0,1,4,100,17,3,6,13,23,18,21,30,52,33,21,4,24,15,20,17,10,3,5,28,14,6,3,18,22,1,11,8,11,3,1,34,1,42,43,42
0,0,0,0,0,0,13,1,0,0,0,17,100,0,2,2,4,9,10,11,8,24,34,20,15,19,14,12,23,0,1,3,1,1,0,4,54,9,14,3,47,21,16,23,0,8,9,7
0,2,20,9,20,22,6,36,2,1,31,3,0,100,18,23,5,3,4,5,7,2,1,0,4,1,1,3,0,25,19,7,10,12,1,17,1,0,0,9,0,0,0,1,0,4,3,5
0,0,3,5,23,9,24,24,0,2,17,6,2,18,100,41,23,13,18,21,20,9,2,1,26,6,8,15,1,16,34,10,9,6,2,44,3,0,1,57,1,0,0,4,1,11,12,21
0,0,5,3,27,13,34,47,0,4,13,13,2,23,41,100,32,19,25,27,38,11,4,1,17,5,6,21,2,13,19,28,25,15,3,71,5,0,2,27,1,0,0,6,2,11,15,15
