100,33,49,18,1,3,6,2,0,0,0,0,0,0,0
33,100,13,4,0,1,1,1,0,0,0,0,0,0,0
49,13,100,49,3,11,17,8,1,0,0,0,0,0,0
18,4,49,100,6,18,40,9,1,0,0,0,0,0,1
1,0,3,6,100,38,13,17,55,25,15,0,0,1,3
3,1,11,18,38,100,39,55,15,5,3,0,0,1,10
6,1,17,40,13,39,100,51,5,2,1,0,0,1,17
2,1,8,9,17,55,51,100,8,4,2,1,0,2,37
0,0,1,1,55,15,5,8,100,51,23,5,6,20,3
0,0,0,0,25,5,2,4,51,100,68,9,11,26,1
0,0,0,0,15,3,1,2,23,68,100,25,26,28,0
0,0,0,0,0,0,0,1,5,9,25,100,68,43,1
0,0,0,0,0,0,0,0,6,11,26,68,100,70,0
0,0,0,0,1,1,1,2,20,26,28,43,70,100,3
0,0,0,1,3,10,17,37,3,1,0,1,0,3,100
