100,17,13,40,29,30,30,28,25,24,18,17,1,2,1,1,3,27,19,21,25,25,17,31,40,12,18,16,23,12,13,33,20,44,32,15,1,2,1,0,0,0,0
17,100,3,37,37,24,30,32,48,26,38,31,4,3,2,2,4,18,24,21,41,15,32,27,28,6,31,26,28,23,15,26,18,25,31,19,2,10,1,0,0,0,0
13,3,100,10,8,10,10,12,10,9,5,4,0,2,1,2,5,7,4,8,9,9,7,8,21,17,8,14,7,5,19,15,5,14,11,3,0,1,0,1,0,0,0
40,37,10,100,59,51,49,65,50,49,44,44,2,3,1,2,3,48,36,43,55,42,37,56,56,9,42,24,31,31,20,50,26,46,53,18,1,5,1,0,0,0,0
29,37,8,59,100,65,64,67,50,58,53,47,1,2,1,1,2,51,31,47,46,41,25,47,32,6,32,18,22,28,11,59,12,56,27,12,1,3,0,0,0,0,0
30,24,10,51,65,100,63,60,34,54,40,44,1,1,1,1,2,58,29,48,35,33,20,41,21,4,27,12,16,21,11,61,8,50,18,7,1,3,0,0,0,0,0
30,30,10,49,64,63,100,59,43,62,39,49,1,1,1,0,2,50,27,43,38,29,18,31,21,3,23,12,15,23,9,78,8,62,19,10,1,3,0,0,0,0,0
28,32,12,65,67,60,59,100,52,56,54,56,2,2,1,1,3,57,40,52,52,37,33,51,36,7,40,17,22,38,14,61,15,52,31,18,1,5,0,0,0,0,0
25,48,10,50,50,34,43,52,100,53,65,60,3,3,2,2,3,29,32,35,58,23,32,41,41,7,32,28,29,40,18,38,20,39,39,28,2,11,1,0,0,0,0
24,26,9,49,58,54,62,56,53,100,55,67,1,2,1,1,3,49,33,46,44,28,25,38,28,5,26,16,18,38,12,54,11,54,23,16,1,7,1,0,0,0,0
18,38,5,44,53,40,39,54,65,55,100,64,3,4,2,2,6,36,52,51,62,22,37,54,49,7,45,32,32,54,23,39,26,43,30,30,2,12,1,0,0,0,0
17,31,4,44,47,44,49,56,60,67,64,100,3,3,2,1,3,38,46,40,50,17,29,39,30,4,34,19,23,49,14,40,15,42,25,23,1,11,1,0,0,0,0
1,4,0,2,1,1,1,2,3,1,3,3,100,41,39,37,36,1,4,1,5,1,9,2,3,6,5,10,10,5,11,1,10,1,2,13,60,18,43,21,10,0,0
2,3,2,3,2,1,1,2,3,2,4,3,41,100,38,54,52,1,4,2,7,1,12,3,5,23,5,20,14,5,24,2,15,3,3,15,35,30,36,17,8,1,0
1,2,1,1,1,1,1,1,2,1,2,2,39,38,100,56,40,0,2,1,3,1,4,1,2,12,2,9,4,2,12,1,6,1,2,6,71,11,25,53,25,1,0
1,2,2,2,1,1,0,1,2,1,2,1,37,54,56,100,61,0,1,1,4,1,5,1,3,21,2,16,7,2,21,1,10,1,2,8,32,13,28,30,14,1,0
3,4,5,3,2,2,2,3,3,3,6,3,36,52,40,61,100,2,8,3,9,1,15,4,7,39,9,14,19,9,18,2,16,4,4,18,27,14,28,18,8,1,0
27,18,7,48,51,58,50,57,29,49,36,38,1,1,0,0,2,100,41,66,32,28,20,53,25,3,29,11,14,28,10,60,8,45,13,9,0,3,0,0,0,0,0
19,24,4,36,31,29,27,40,32,33,52,46,4,4,2,1,8,41,100,50,60,14,52,57,45,6,76,35,44,79,20,32,32,28,21,38,2,11,1,0,0,0,0
21,21,8,43,47,48,43,52,35,46,51,40,1,2,1,1,3,66,50,100,44,25,28,69,43,3,46,16,21,43,16,48,16,41,18,16,1,5,0,0,0,0,0
25,41,9,55,46,35,38,52,58,44,62,50,5,7,3,4,9,32,60,44,100,22,64,56,56,14,58,48,60,61,36,37,50,36,42,41,3,13,2,0,0,0,0
