100,21,12,10,8,41,1,7,4,4,1,6,6,48,25,21,4,0
21,100,61,33,37,50,4,37,19,22,7,40,42,19,46,4,0,0
12,61,100,42,51,36,9,33,33,30,14,50,63,9,39,4,0,0
10,33,42,100,62,29,6,34,19,23,7,44,29,19,58,1,0,0
8,37,51,62,100,33,11,54,39,44,15,69,51,9,37,1,0,0
41,50,36,29,33,100,3,28,12,16,3,24,20,39,52,8,1,0
1,4,9,6,11,3,100,15,29,23,54,16,14,0,2,0,0,0
7,37,33,34,54,28,15,100,51,70,17,55,36,8,27,2,0,0
4,19,33,19,39,12,29,51,100,66,40,43,46,2,10,1,0,0
4,22,30,23,44,16,23,70,66,100,26,45,38,3,13,1,0,0
1,7,14,7,15,3,54,17,40,26,100,23,22,0,2,0,0,0
6,40,50,44,69,24,16,55,43,45,23,100,63,6,22,0,0,0
6,42,63,29,51,20,14,36,46,38,22,63,100,4,20,1,0,0
48,19,9,19,9,39,0,8,2,3,0,6,4,100,37,33,7,0
25,46,39,58,37,52,2,27,10,13,2,22,20,37,100,13,1,0
21,4,4,1,1,8,0,2,1,1,0,0,1,33,13,100,13,1
4,0,0,0,0,1,0,0,0,0,0,0,0,7,1,13,100,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100
