100,12,13,46,19,0,1,5,43,6,14,1,0,0
12,100,50,41,58,33,59,64,19,30,13,50,1,0
13,50,100,40,53,17,73,37,29,19,16,39,0,0
46,41,40,100,52,8,35,18,35,15,28,16,0,0
19,58,53,52,100,22,48,40,22,33,36,30,1,1
0,33,17,8,22,100,20,54,0,64,0,38,2,0
1,59,73,35,48,20,100,44,7,18,11,37,0,0
5,64,37,18,40,54,44,100,6,43,1,55,1,0
43,19,29,35,22,0,7,6,100,4,13,7,0,0
6,30,19,15,33,64,18,43,4,100,11,38,4,1
14,13,16,28,36,0,11,1,13,11,100,22,1,1
1,50,39,16,30,38,37,55,7,38,22,100,0,0
0,1,0,0,1,2,0,1,0,4,1,0,100,2
0,0,0,0,1,0,0,0,0,1,1,0,2,100
