100,1,0,1,2,1,2,1,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100,10,22,28,20,41,15,2,5,12,7,43,6,7,1,4,6,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,100,41,22,45,13,43,28,9,38,45,4,35,42,14,37,30,35,11,3,6,17,1,11,3,17,2,12,9,1,1,0,6,0,0,0,0,0,0,1,0,0,0,0
1,22,41,100,33,62,29,72,21,20,54,42,10,41,45,10,27,28,22,7,2,5,15,1,7,2,9,1,7,5,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
2,28,22,33,100,40,36,44,6,11,33,21,13,16,30,3,16,22,7,2,1,1,6,0,2,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,45,62,40,100,26,61,23,12,38,45,7,51,50,10,26,42,24,7,2,2,18,1,4,1,6,1,7,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,41,13,29,36,26,100,30,4,14,30,18,30,15,20,3,10,14,8,2,1,2,3,0,3,1,7,1,2,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
1,15,43,72,44,61,30,100,22,17,49,49,4,46,48,10,33,39,27,7,3,5,15,1,8,2,16,1,9,6,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0
0,2,28,21,6,23,4,22,100,14,18,35,1,37,24,39,27,21,32,26,10,23,29,9,18,11,9,10,12,15,3,3,2,4,1,0,0,1,1,1,1,0,0,0,0
0,5,9,20,11,12,14,17,14,100,25,15,2,9,17,13,11,8,9,11,4,18,2,2,11,3,6,4,1,7,1,0,0,2,1,0,2,1,1,1,1,0,0,0,0
1,12,38,54,33,38,30,49,18,25,100,48,5,32,61,12,40,25,19,11,3,7,17,1,10,3,12,2,15,8,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0
0,7,45,42,21,45,18,49,35,15,48,100,2,60,53,23,53,55,44,16,5,11,23,2,17,4,29,4,18,15,1,1,1,10,0,0,2,1,0,0,1,0,0,0,0
9,43,4,10,13,7,30,4,1,2,5,2,100,2,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,35,41,16,51,15,46,37,9,32,60,2,100,44,21,39,44,33,12,4,8,25,2,16,4,16,3,20,11,1,1,0,5,0,0,0,0,0,0,1,0,0,0,0
0,7,42,45,30,50,20,48,24,17,61,53,3,44,100,15,46,35,28,13,4,10,28,2,14,3,20,4,18,12,1,1,0,8,0,0,2,1,1,0,2,0,0,0,0
0,1,14,10,3,10,3,10,39,13,12,23,0,21,15,100,33,16,31,43,26,55,22,21,39,33,18,25,12,39,11,10,7,10,3,1,3,10,6,5,10,0,0,0,1
0,4,37,27,16,26,10,33,27,11,40,53,1,39,46,33,100,48,47,22,9,25,27,4,42,10,42,7,28,33,2,2,1,19,0,0,2,2,1,1,4,0,0,0,0
0,6,30,28,22,42,14,39,21,8,25,55,1,44,35,16,48,100,48,7,5,13,18,2,24,5,43,3,19,18,1,1,1,17,0,0,0,1,0,0,2,0,0,0,0
