100,27,34,18,68,34,46,22,6,32,20,31,6,14,21,2,1,32,3,10,2,15,1,2,1,2,0,0,0,0
27,100,73,3,17,6,8,36,21,17,31,26,17,1,5,4,0,5,1,0,0,14,0,0,0,0,0,0,0,0
34,73,100,5,26,9,11,35,14,24,29,32,13,3,7,4,0,8,1,1,0,15,0,0,0,0,0,0,0,0
18,3,5,100,28,50,42,5,0,16,4,9,1,36,43,0,10,24,24,46,12,5,14,11,10,17,0,0,0,0
68,17,26,28,100,49,45,19,2,34,12,29,4,19,29,1,1,34,5,14,3,10,2,2,1,2,0,0,0,0
34,6,9,50,49,100,75,9,1,20,9,13,3,33,38,0,7,38,12,60,9,11,9,6,7,14,1,0,0,1
46,8,11,42,45,75,100,14,1,24,12,18,4,30,43,1,5,47,11,56,8,12,6,5,4,11,1,0,0,0
22,36,35,5,19,9,14,100,18,45,66,69,33,6,11,6,0,20,2,1,1,35,0,1,0,0,0,0,0,0
6,21,14,0,2,1,1,18,100,5,27,9,24,0,1,26,0,1,0,0,0,5,0,0,0,0,0,0,0,0
32,17,24,16,34,20,24,45,5,100,36,58,16,20,29,3,1,52,5,6,3,28,1,2,1,1,0,0,0,0
20,31,29,4,12,9,12,66,27,36,100,55,38,6,10,9,0,20,2,1,1,43,0,1,0,0,0,0,0,0
31,26,32,9,29,13,18,69,9,58,55,100,24,9,18,5,1,26,3,2,2,44,1,1,0,1,0,0,0,0
6,17,13,1,4,3,4,33,24,16,38,24,100,2,3,35,0,7,1,1,1,29,0,0,0,0,0,0,0,0
14,1,3,36,19,33,30,6,0,20,6,9,2,100,78,0,5,41,39,18,22,8,14,18,7,13,1,0,0,1
21,5,7,43,29,38,43,11,1,29,10,18,3,78,100,1,5,46,37,21,17,14,12,15,6,11,1,0,0,1
2,4,4,0,1,0,1,6,26,3,9,5,35,0,1,100,0,1,0,0,0,7,0,0,0,0,0,0,0,0
1,0,0,10,1,7,5,0,0,1,0,1,0,5,5,0,100,3,6,8,4,1,21,9,14,11,3,4,0,6
32,5,8,24,34,38,47,20,1,52,20,26,7,41,46,1,3,100,11,17,8,23,4,5,2,5,1,0,0,0
3,1,1,24,5,12,11,2,0,5,2,3,1,39,37,0,6,11,100,9,75,2,43,53,30,42,1,1,0,1
10,0,1,46,14,60,56,1,0,6,1,2,1,18,21,0,8,17,9,100,8,1,10,5,8,17,1,1,0,1
2,0,0,12,3,9,8,1,0,3,1,2,1,22,17,0,4,8,75,8,100,3,40,49,30,42,1,1,0,1
15,14,15,5,10,11,12,35,5,28,43,44,29,8,14,7,1,23,2,1,3,100,1,1,1,1,0,0,0,0
1,0,0,14,2,9,6,0,0,1,0,1,0,14,12,0,21,4,43,10,40,1,100,61,60,46,8,4,1,17
2,0,0,11,2,6,5,1,0,2,1,1,0,18,15,0,9,5,53,5,49,1,61,100,68,60,26,6,3,36
1,0,0,10,1,7,4,0,0,1,0,0,0,7,6,0,14,2,30,8,30,1,60,68,100,49,28,11,4,44
2,0,0,17,2,14,11,0,0,1,0,1,0,13,11,0,11,5,42,17,42,1,46,60,49,100,48,7,5,47
0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,3,1,1,1,1,0,8,26,28,48,100,5,7,73
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,4,6,11,7,5,100,3,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,7,3,100,11
0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,6,0,1,1,1,0,17,36,44,47,73,9,11,100
