100,32,43,40,9,2,2,5,1,2,0,0,1,0,0,6,19,28
32,100,52,44,21,5,4,10,4,4,1,1,2,0,1,18,29,50
43,52,100,73,22,7,4,11,4,3,0,1,2,0,1,19,4,9
40,44,73,100,34,10,5,11,5,3,1,1,3,0,1,28,3,13
9,21,22,34,100,57,33,55,37,16,4,10,17,3,4,72,2,10
2,5,7,10,57,100,57,82,61,32,11,22,37,10,10,59,0,0
2,4,4,5,33,57,100,45,66,57,23,42,63,21,22,28,0,0
5,10,11,11,55,82,45,100,54,31,7,16,26,8,8,55,0,0
1,4,4,5,37,61,66,54,100,39,16,30,51,16,14,39,0,0
2,4,3,3,16,32,57,31,39,100,28,53,62,22,35,13,0,0
0,1,0,1,4,11,23,7,16,28,100,49,40,59,64,4,0,0
0,1,1,1,10,22,42,16,30,53,49,100,68,54,47,9,0,0
1,2,2,3,17,37,63,26,51,62,40,68,100,42,34,15,0,0
0,0,0,0,3,10,21,8,16,22,59,54,42,100,47,3,0,0
0,1,1,1,4,10,22,8,14,35,64,47,34,47,100,3,0,0
6,18,19,28,72,59,28,55,39,13,4,9,15,3,3,100,1,8
19,29,4,3,2,0,0,0,0,0,0,0,0,0,0,1,100,41
28,50,9,13,10,0,0,0,0,0,0,0,0,0,0,8,41,100
