100,71,38,18,34,14,7,4,26,8,21,22,57,4,13,11,9,1,2,2,2,2,0,2,3,1,1,0,1,2,0,0,0,0,0
71,100,37,20,33,12,7,4,26,7,21,21,55,5,13,11,10,1,2,2,2,3,0,2,3,1,1,0,0,2,0,0,0,0,0
38,37,100,40,53,26,16,14,49,15,35,38,40,10,25,24,28,3,5,6,6,6,0,7,8,4,2,4,1,4,0,0,0,0,0
18,20,40,100,55,25,40,29,66,31,54,50,28,26,57,74,46,11,15,18,19,20,2,25,26,15,8,15,4,14,0,0,0,0,0
34,33,53,55,100,35,33,26,57,28,51,65,47,18,51,45,36,6,8,13,10,12,1,18,19,11,6,8,2,8,0,0,0,0,0
14,12,26,25,35,100,19,47,31,51,40,52,21,16,33,21,20,16,5,11,7,9,1,19,19,12,5,28,4,6,0,0,0,0,0
7,7,16,40,33,19,100,40,28,40,44,32,12,72,55,51,75,45,28,48,37,53,6,60,66,45,27,55,30,30,1,0,0,1,0
4,4,14,29,26,47,40,100,26,83,58,35,11,34,47,31,42,32,13,26,19,24,3,36,38,25,13,61,13,15,0,0,0,0,0
26,26,49,66,57,31,28,26,100,29,60,53,40,17,49,48,34,8,10,12,11,14,1,16,18,11,5,11,2,10,0,0,0,0,0
8,7,15,31,28,51,40,83,29,100,64,41,15,36,51,33,41,34,13,26,18,25,3,38,41,29,14,61,13,15,0,0,0,0,0
21,21,35,54,51,40,44,58,60,64,100,53,32,34,65,51,46,26,15,25,19,25,3,36,37,26,12,43,9,16,0,0,0,0,0
22,21,38,50,65,52,32,35,53,41,53,100,50,23,48,44,35,17,9,16,12,15,2,29,28,20,10,24,6,10,0,0,0,0,0
57,55,40,28,47,21,12,11,40,15,32,50,100,10,23,18,16,9,3,7,4,7,1,11,12,8,4,5,4,5,0,0,0,0,0
4,5,10,26,18,16,72,34,17,36,34,23,10,100,42,36,59,57,33,63,45,68,11,66,71,53,42,51,51,44,2,0,1,1,0
13,13,25,57,51,33,55,47,49,51,65,48,23,42,100,68,51,22,15,28,22,29,3,39,47,20,14,39,8,16,0,0,0,0,0
11,11,24,74,45,21,51,31,48,33,51,44,18,36,68,100,43,17,17,26,25,29,3,35,40,20,14,27,6,16,0,0,0,0,0
9,10,28,46,36,20,75,42,34,41,46,35,16,59,51,43,100,35,22,37,29,44,4,46,62,34,18,58,20,24,0,0,0,0,0
1,1,3,11,6,16,45,32,8,34,26,17,9,57,22,17,35,100,36,73,57,55,13,75,50,79,52,59,48,47,1,0,0,1,0
2,2,5,15,8,5,28,13,10,13,15,9,3,33,15,17,22,36,100,50,56,41,37,35,24,47,71,22,45,72,3,0,0,3,0
2,2,6,18,13,11,48,26,12,26,25,16,7,63,28,26,37,73,50,100,68,64,17,71,57,81,59,46,50,60,2,0,1,1,0
2,2,6,19,10,7,37,19,11,18,19,12,4,45,22,25,29,57,56,68,100,57,19,56,41,70,67,33,47,64,1,0,0,1,0
2,3,6,20,12,9,53,24,14,25,25,15,7,68,29,29,44,55,41,64,57,100,15,54,60,56,52,43,58,54,4,1,1,2,0
0,0,0,2,1,1,6,3,1,3,3,2,1,11,3,3,4,13,37,17,19,15,100,11,9,15,29,6,25,28,13,1,1,14,0
2,2,7,25,18,19,60,36,16,38,36,29,11,66,39,35,46,75,35,71,56,54,11,100,60,70,44,62,39,40,1,0,0,1,0
3,3,8,26,19,19,66,38,18,41,37,28,12,71,47,40,62,50,24,57,41,60,9,60,100,46,32,59,33,29,1,0,0,1,0
1,1,4,15,11,12,45,25,11,29,26,20,8,53,20,20,34,79,47,81,70,56,15,70,46,100,61,49,47,57,1,0,0,1,0
1,1,2,8,6,5,27,13,5,14,12,10,4,42,14,14,18,52,71,59,67,52,29,44,32,61,100,27,59,82,4,1,1,3,0
0,0,4,15,8,28,55,61,11,61,43,24,5,51,39,27,58,59,22,46,33,43,6,62,59,49,27,100,27,26,1,0,0,1,0
1,0,1,4,2,4,30,13,2,13,9,6,4,51,8,6,20,48,45,50,47,58,25,39,33,47,59,27,100,67,7,2,2,5,0
2,2,4,14,8,6,30,15,10,15,16,10,5,44,16,16,24,47,72,60,64,54,28,40,29,57,82,26,67,100,5,1,1,3,0
0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,3,2,1,4,13,1,1,1,4,1,7,5,100,50,61,68,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,1,50,100,77,59,19
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,2,1,61,77,100,71,28
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,1,1,2,14,1,1,1,3,1,5,3,68,59,71,100,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,28,0,100
