100,47,18,41,18,0,5,38,40,5,3,0,0,1,1,0,7,0,0
47,100,41,51,52,0,11,63,47,21,14,0,0,4,2,0,16,0,0
18,41,100,20,48,3,4,31,28,34,22,0,1,3,1,0,11,0,0
41,51,20,100,26,0,13,25,23,11,7,0,0,2,1,0,7,0,0
18,52,48,26,100,0,7,51,35,39,26,0,0,5,2,0,18,0,0
0,0,3,0,0,100,3,0,0,6,4,5,54,5,8,6,1,0,0
5,11,4,13,7,3,100,4,4,25,23,0,3,23,14,0,16,0,0
38,63,31,25,51,0,4,100,65,15,10,0,0,4,1,0,18,0,0
40,47,28,23,35,0,4,65,100,14,9,0,0,5,2,0,25,0,0
5,21,34,11,39,6,25,15,14,100,69,0,5,35,18,0,26,0,0
3,14,22,7,26,4,23,10,9,69,100,0,9,62,41,0,18,0,0
0,0,0,0,0,5,0,0,0,0,0,100,6,0,0,8,0,8,0
0,0,1,0,0,54,3,0,0,5,9,6,100,8,21,5,2,0,0
1,4,3,2,5,5,23,4,5,35,62,0,8,100,55,9,25,0,0
1,2,1,1,2,8,14,1,2,18,41,0,21,55,100,13,11,0,0
0,0,0,0,0,6,0,0,0,0,0,8,5,9,13,100,1,2,0
7,16,11,7,18,1,16,18,25,26,18,0,2,25,11,1,100,0,0
0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,100,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100
