100,19,27,28,19,6,32,17,17,22,15,20,29,46,7,7,6,0,0
19,100,73,61,60,33,33,62,43,20,7,22,9,21,4,4,0,0,0
27,73,100,63,55,21,51,76,72,36,11,33,16,34,8,7,1,0,0
28,61,63,100,62,30,42,49,44,16,7,17,11,20,3,4,0,0,0
19,60,55,62,100,41,28,53,48,15,3,8,3,11,1,2,0,0,0
6,33,21,30,41,100,11,28,20,5,1,3,1,4,0,0,0,0,0
32,33,51,42,28,11,100,40,47,58,28,58,41,56,19,17,1,0,0
17,62,76,49,53,28,40,100,78,27,6,16,8,23,3,3,0,0,0
17,43,72,44,48,20,47,78,100,33,7,19,10,28,5,4,0,0,0
22,20,36,16,15,5,58,27,33,100,47,60,59,63,38,32,4,4,1
15,7,11,7,3,1,28,6,7,47,100,35,49,44,65,51,7,6,2
20,22,33,17,8,3,58,16,19,60,35,100,51,59,29,23,4,7,2
29,9,16,11,3,1,41,8,10,59,49,51,100,70,47,42,12,35,6
46,21,34,20,11,4,56,23,28,63,44,59,70,100,36,32,8,15,3
7,4,8,3,1,0,19,3,5,38,65,29,47,36,100,74,10,58,6
7,4,7,4,2,0,17,3,4,32,51,23,42,32,74,100,11,62,9
6,0,1,0,0,0,1,0,0,4,7,4,12,8,10,11,100,14,6
0,0,0,0,0,0,0,0,0,4,6,7,35,15,58,62,14,100,11
0,0,0,0,0,0,0,0,0,1,2,2,6,3,6,9,6,11,100
