100,58,43,0,55,10,50,16,49,58,12,22,12,26,26,40,13,34,1,0,0
58,100,50,0,73,7,37,6,35,12,8,18,5,17,10,16,3,4,0,0,0
43,50,100,0,60,12,61,19,52,19,13,30,13,54,31,50,8,4,0,0,0
0,0,0,100,0,8,0,4,1,0,6,0,4,0,2,1,6,1,36,10,0
55,73,60,0,100,10,57,11,44,24,11,38,10,34,20,32,9,6,0,0,0
10,7,12,8,10,100,9,72,28,8,79,3,51,25,39,26,51,13,24,0,0
50,37,61,0,57,9,100,15,43,41,10,45,12,45,26,42,11,16,1,0,0
16,6,19,4,11,72,15,100,40,14,68,6,61,38,54,36,70,18,14,0,0
49,35,52,1,44,28,43,40,100,41,26,21,26,64,62,84,24,40,2,0,0
58,12,19,0,24,8,41,14,41,100,8,44,8,27,25,46,13,39,1,0,0
12,8,13,6,11,79,10,68,26,8,100,4,71,24,37,24,49,11,19,0,0
22,18,30,0,38,3,45,6,21,44,4,100,4,22,11,22,5,8,0,0,0
12,5,13,4,10,51,12,61,26,8,71,4,100,24,41,25,50,13,14,0,0
26,17,54,0,34,25,45,38,64,27,24,22,24,100,50,66,10,13,1,0,0
26,10,31,2,20,39,26,54,62,25,37,11,41,50,100,65,43,35,8,0,0
40,16,50,1,32,26,42,36,84,46,24,22,25,66,65,100,23,43,3,0,0
13,3,8,6,9,51,11,70,24,13,49,5,50,10,43,23,100,33,23,0,0
34,4,4,1,6,13,16,18,40,39,11,8,13,13,35,43,33,100,7,0,0
1,0,0,36,0,24,1,14,2,1,19,0,14,1,8,3,23,7,100,3,0
0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,100
