100,48,0,4,1,0,0,0,0,0,0,0,0,0,0,0
48,100,47,7,51,2,0,0,0,0,0,0,0,0,1,0
0,47,100,9,66,4,0,0,1,1,0,0,0,0,3,0
4,7,9,100,14,34,0,0,8,7,0,0,1,0,14,0
1,51,66,14,100,6,0,0,1,2,0,0,0,0,2,0
0,2,4,34,6,100,1,1,31,20,2,0,3,13,54,0
0,0,0,0,0,1,100,39,7,1,7,1,18,15,1,49
0,0,0,0,0,1,39,100,11,5,35,0,25,35,6,14
0,0,1,8,1,31,7,11,100,31,12,0,23,33,54,2
0,0,1,7,2,20,1,5,31,100,14,0,16,11,19,0
0,0,0,0,0,2,7,35,12,14,100,0,14,23,20,3
0,0,0,0,0,0,1,0,0,0,0,100,0,0,0,4
0,0,0,1,0,3,18,25,23,16,14,0,100,27,7,5
0,0,0,0,0,13,15,35,33,11,23,0,27,100,16,5
0,1,3,14,2,54,1,6,54,19,20,0,7,16,100,0
0,0,0,0,0,0,49,14,2,0,3,4,5,5,0,100
