100,33,78,48,33,40,50,36,23,1,4,0,3,0,0
33,100,34,32,15,19,29,11,9,0,1,0,1,0,0
78,34,100,46,31,37,49,35,22,1,4,0,4,0,0
48,32,46,100,75,80,70,33,50,3,18,1,12,0,0
33,15,31,75,100,78,58,31,51,5,28,1,18,0,0
40,19,37,80,78,100,61,32,51,4,21,1,14,0,0
50,29,49,70,58,61,100,57,64,2,14,1,25,0,0
36,11,35,33,31,32,57,100,58,2,13,1,50,0,0
23,9,22,50,51,51,64,58,100,5,22,2,47,0,1
1,0,1,3,5,4,2,2,5,100,25,72,4,5,7
4,1,4,18,28,21,14,13,22,25,100,19,23,0,1
0,0,0,1,1,1,1,1,2,72,19,100,3,14,20
3,1,4,12,18,14,25,50,47,4,23,3,100,0,1
0,0,0,0,0,0,0,0,0,5,0,14,0,100,80
0,0,0,0,0,0,0,0,1,7,1,20,1,80,100
