100,22,14,8,6,8,3,8,0,0,0,0,7,0,0
22,100,48,42,33,40,20,33,6,5,2,0,19,0,5
14,48,100,54,68,78,36,61,9,11,3,0,21,0,6
8,42,54,100,63,48,60,58,24,21,8,0,13,0,5
6,33,68,63,100,75,52,80,17,18,6,0,16,0,7
8,40,78,48,75,100,40,65,10,12,4,0,26,0,10
3,20,36,60,52,40,100,54,36,36,13,0,10,0,6
8,33,61,58,80,65,54,100,24,21,9,0,16,0,6
0,6,9,24,17,10,36,24,100,26,44,1,2,0,4
0,5,11,21,18,12,36,21,26,100,18,1,2,0,4
0,2,3,8,6,4,13,9,44,18,100,2,1,0,2
0,0,0,0,0,0,0,0,1,1,2,100,0,1,0
7,19,21,13,16,26,10,16,2,2,1,0,100,0,5
0,0,0,0,0,0,0,0,0,0,0,1,0,100,0
0,5,6,5,7,10,6,6,4,4,2,0,5,0,100
