"TI3";""Phyto"";""Zoopl"";""RedCrab"";""Infau"";""Sard"";""PrimBenthProd"";""Shri"";""ParFish"";""TrigFish"";""Ofish"";""Mojar"";""Robin"";""CatFish"";""Haem"";""Crab"";""BlueWhale"";""BryWhale"";""Polych"";""Snap"";""Group"";""Lion"";;SUM
""RedCrab"";"44063843703,64";"2599503894,47";"17818651,39";"1081939689,95";"1041894699,27";"887900910,08";"4526757,56";"18642811,56";"4977621,62";"64948021,49";"4331662,93";"604930,69";"959361,40";"2176830,03";"3496629,52";"2693405255,92";"566734999,25";"108041408,59";"7191287,25";"6821854,35";"606329,84";;"53180367310,80"
""Infau"";"7713566177545,63";"787462510815,60";"4327758759,82";"241891850044,66";"213640385693,96";"158668962171,85";"855898455,20";"3596845010,11";"928063769,20";"11911483697,71";"776784059,78";"106086427,88";"169788610,37";"389052199,11";"625567714,01";"470485277332,93";"98997532105,75";"20225331174,99";"1376232428,32";"1234709631,17";"118518877,92";;"9731354816525,97"
""Sard"";"1441270418025,62";"282425078343,25";"1302368374,08";"66762620529,36";"52854531870,06";"29291968881,18";"158407645,11";"724663880,22";"169917917,73";"2188586006,15";"143407976,88";"19813719,87";"31533318,61";"71940911,80";"115330859,01";"87977494236,92";"18511854100,25";"3657328879,83";"244335903,13";"244305341,32";"20619997,73";;"1988186526718,12"
""PrimBenthProd"";"38374198921,03";"362391065185,62";"1331851365,12";"59500860814,44";"35150362657,42";"1237580775,93";"96884900,98";"1193416002,07";"42964625,97";"327951497,18";"6730101,44";"624797,88";"2452095,93";"3641577,37";"13858555,12";"2181214723,67";"458962022,91";"279515589,53";"50246151,51";"40432969,26";"7453191,12";;"502692268521,53"
""Shri"";"2165397888,91";"2368683305,86";"9053515,12";"427949227,60";"253452232,17";"129179867,97";"3323901,40";"26327103,46";"2199519,92";"20012500,46";"690565,03";"36228,59";"128758,46";"324982,32";"762776,95";"108404598,13";"22810039,34";"38501934,96";"4212459,36";"698900,39";"516401,32";;"5582666707,72"
""ParFish"";"11829040431,04";"4568178737,23";"18642811,56";"899211252,53";"579731104,17";"795610668,05";"13163551,73";"70049001,07";"10871090,99";"105856747,03";"4105352,91";"195510,75";"623016,73";"1877916,43";"3697369,24";"572898461,71";"120546883,38";"236354418,13";"23469340,88";"3350178,93";"2725961,47";;"19860199805,95"
""TrigFish"";"1165332950,15";"2311688493,03";"8710837,83";"406027899,02";"237885084,82";"50125396,97";"1924579,93";"19024409,23";"1022852,87";"8514093,81";"257741,58";"18491,03";"68283,14";"129422,97";"394366,78";"64423397,29";"13555700,14";"12462135,79";"1738337,28";"401322,74";"236147,59";;"4303941943,99"
""Ofish"";"22388429748,51";"65129463031,03";"243555080,57";"11167015966,60";"6565758018,45";"819878742,96";"37523438,36";"396962801,37";"18244486,73";"144833587,63";"4063011,78";"351436,41";"1289408,43";"2124539,61";"7495931,12";"1282416330,45";"269840647,44";"175728165,79";"30495999,85";"10077895,46";"4426605,03";;"108699974873,60"
""Mojar"";"204683637,64";"1468277802,58";"5414578,67";"242745018,68";"143407976,88";"5608417,87";"431603,15";"5131691,13";"184101,13";"1354337,26";"28973,72";"3220,56";"12679,40";"16529,48";"71844,62";"12073662,20";"2540489,19";"994405,46";"239881,65";"166073,63";"37532,08";;"2093424456,97"
""Robin"";"11262267,21";"289715955,48";"1058628,70";"46412812,20";"27739207,82";"728930,87";"31700,02";"342143,82";"18491,03";"164003,66";"4508,78";"224,47";"766,71";"2090,01";"4398,65";"475343,03";"100019,68";"266135,79";"25650,48";"31774,16";"3193,28";;"378388245,85"
