TI3;"ProdPrim""""";"Szoopl""""";"Lzoopl""""";"Crab""""";"Shri""""";"DetFeed""""";"Sdem""""";"Mdem""""";"MdemCom""""";"LdemCom""""";"SbathyPela""""";"MpelaCom""""";"Sard""""";"MesoPelaPrey""""";"Mpela""""";"Lpela""""";"Tuna""""";"PelaSha""""";"Cepha""""";"BalWhale""""";"Lobs""""";"SDeepWatBott""""";"Ldem""""";"VIgDemCom""""";"MbathyPela""""";"SDemShaRay""""";"Turtle""""";"Bird""""";"ToothWhaleDolph""""";"Worm""""";"LbathyPela""""";"Obenth""""";"PredEchino""""";"LDeepWatCom""""";"VIgDem""""";"LDemShaRay""""";;SUM;;;
"Mpela""""";0,01;0,03;0,02;0,03;0,03;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,05;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;;0,48;0,0133;;
"MpelaCom""""";0,05;0,05;0,04;0,02;0,04;0,02;0,02;0,04;0,02;0,02;0,03;0,04;0,04;0,04;0,03;0,07;0,04;0,06;0,04;0,09;0,02;0,04;0,02;0,04;0,02;0,02;0,03;0,02;0,06;0,04;0,07;0,02;0,01;0,02;0,02;0,04;;1,30;0,0361;;
"Obenth""""";0,03;0,03;0,03;0,05;0,03;0,11;0,05;0,05;0,05;0,05;0,05;0,03;0,05;0,05;0,02;0,03;0,04;0,06;0,05;0,02;0,08;0,05;0,05;0,05;0,06;0,05;0,02;0,08;0,03;0,04;0,07;0,04;0,1;0,08;0,1;0,05;;1,82;0,0506;;
"PelaSha""""";0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,02;0,01;0,03;0,02;0,02;0,01;0,03;0,01;0,03;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,06;0,01;0,01;;0,67;0,0186;;
"PredEchino""""";0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,02;0,02;0,03;0;0;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0;0,01;0;0,01;0;0,02;0,02;0,01;0,01;0,01;;0,32;0,0089;;
"ProdPrim""""";0,03;0,04;0,03;0,03;0,03;0,1;0,03;0,03;0,03;0,04;0,03;0,03;0,03;0,01;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,01;0,01;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,01;0,02;0,02;;0,85;0,0236;;
"Sard""""";0,05;0,04;0,04;0,03;0,04;0,02;0,03;0,03;0,04;0,05;0,03;0,05;0,03;0,03;0,03;0,06;0,04;0,06;0,04;0,03;0,02;0,05;0,05;0,05;0,06;0,04;0,03;0,07;0,06;0,02;0,03;0,04;0,02;0,03;0,02;0,05;;1,39;0,0386;;
"SbathyPela""""";0,04;0,04;0,04;0,02;0,02;0,03;0,02;0,02;0,03;0,02;0,03;0,02;0,02;0,04;0,02;0,02;0,04;0,02;0,03;0,02;0,02;0,04;0,04;0,02;0,06;0,04;0,02;0,02;0,06;0,04;0,07;0,03;0,02;0,02;0,02;0,04;;1,11;0,0308;;
"SDeepWatBott""""";0,02;0,02;0,03;0,04;0,03;0,02;0,04;0,04;0,03;0,04;0,04;0,04;0,03;0,02;0,02;0,02;0,03;0,05;0,02;0,02;0,07;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,04;0,02;0,03;0,03;0,02;0,02;0,02;;1,02;0,0283;;
"Sdem""""";0,05;0,04;0,04;0,05;0,04;0,03;0,04;0,05;0,03;0,05;0,02;0,02;0,03;0,03;0,03;0,06;0,04;0,03;0,04;0,02;0,08;0,05;0,05;0,05;0,02;0,04;0,03;0,07;0,02;0,04;0,03;0,04;0,03;0,07;0,09;0,02;;1,45;0,0403;;
"SDemShaRay""""";0,02;0,02;0,04;0,04;0,04;0,02;0,04;0,04;0,04;0,04;0,05;0,02;0,04;0,04;0,02;0,02;0,04;0,05;0,04;0,02;0,02;0,03;0,05;0,05;0,06;0,03;0,02;0,03;0,03;0,04;0,02;0,04;0,03;0,03;0,03;0,05;;1,26;0,0350;;
"Shri""""";0,05;0,05;0,03;0,05;0,03;0,03;0,04;0,04;0,04;0,05;0,03;0,04;0,04;0,03;0,07;0,03;0,04;0,03;0,04;0,03;0,02;0,05;0,05;0,04;0,06;0,04;0,02;0,02;0,06;0,05;0,02;0,02;0,03;0,02;0,02;0,05;;1,35;0,0375;;
"Szoopl""""";0,05;0,04;0,04;0,04;0,04;0,02;0,04;0,04;0,02;0,04;0,04;0,05;0,04;0,04;0,08;0,07;0,04;0,05;0,03;0,09;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,02;;1,23;0,0342;;
"ToothWhaleDolph""""";0,01;0,01;0,03;0,01;0,03;0,01;0,01;0,01;0,03;0,01;0,04;0,03;0,03;0,04;0,01;0,01;0,01;0,01;0,03;0,02;0,01;0,01;0,04;0,01;0,05;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;;0,67;0,0186;;
"Tuna""""";0,03;0,05;0,04;0,05;0,05;0,03;0,04;0,04;0,04;0,03;0,05;0,05;0,04;0,05;0,08;0,07;0,04;0,03;0,04;0,03;0,03;0,05;0,03;0,05;0,06;0,05;0,03;0,03;0,03;0,05;0,08;0,04;0,02;0,03;0,03;0,05;;1,52;0,0422;;
"Turtle""""";0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;;0,08;0,0022;;
"VIgDem""""";0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0;0,01;0,01;0;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0;0,01;0,01;0,02;0,01;0,01;0,02;0,01;;0,32;0,0089;;
"VIgDemCom""""";0,02;0,02;0,03;0,04;0,04;0,02;0,04;0,04;0,03;0,02;0,02;0,04;0,04;0,02;0,02;0,06;0,04;0,06;0,03;0,02;0,02;0,02;0,05;0,03;0,02;0,04;0,02;0,02;0,02;0,02;0,02;0,04;0,02;0,07;0,02;0,05;;1,15;0,0319;;
"Worm""""";0,03;0,02;0,02;0,04;0,04;0,1;0,04;0,03;0,03;0,04;0,05;0,04;0,02;0,04;0,02;0,02;0,04;0,02;0,04;0,02;0,02;0,04;0,04;0,02;0,05;0,04;0,01;0,02;0,03;0,03;0,07;0,03;0,02;0,02;0,02;0,02;;1,20;0,0333;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36,00;1,0000;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"ProdPrim""""";"Szoopl""""";"Lzoopl""""";"Crab""""";"Shri""""";"DetFeed""""";"Sdem""""";"Mdem""""";"MdemCom""""";"LdemCom""""";"SbathyPela""""";"MpelaCom""""";"Sard""""";"MesoPelaPrey""""";"Mpela""""";"Lpela""""";"Tuna""""";"PelaSha""""";"Cepha""""";"BalWhale""""";"Lobs""""";"SDeepWatBott""""";"Ldem""""";"VIgDemCom""""";"MbathyPela""""";"SDemShaRay""""";"Turtle""""";"Bird""""";"ToothWhaleDolph""""";"Worm""""";"LbathyPela""""";"Obenth""""";"PredEchino""""";"LDeepWatCom""""";"VIgDem""""";"LDemShaRay""""";;SUM;;;
"BalWhale""""";1357597192;33922313817;5818174125;8547272,13;641590430,4;32462821,29;8024960,5;9089612,62;1703553,63;419008,77;19563620,99;22791075,83;308492887,4;12052863,43;6311706,66;1397315,37;109179,63;10091,21;810070,89;256591,25;240393,05;980405,64;169559,53;59382,26;167358,77;26464,34;53488,56;222779,78;78500,94;688646,55;56990,97;9135315,03;55105,47;2197,69;269,97;2769,53;;42183657823,62;0,0000;;230890472,63
"Bird""""";1751147365;5468127203;959658471,3;6662778,99;116741259,5;5275364,57;6424234,51;2845485,89;410211,3;96491,56;7168250,12;7377808,41;92957103,16;15932774;6868326,12;1050104,45;46969,27;6301,16;797643,38;311891,69;1075110,88;809311,43;97366,49;25160,44;102550,54;22420,52;64096,06;135172,9;37692,1;461792,4;148430,75;3910572,23;1622527,65;3800,64;813,48;2477,65;;8458425333,82;0,0000;;230890472,63
"Cepha""""";26096729992;3,13155E+11;53872358708;130432807,6;6042733767;300295605,5;122573324,7;98722373,65;17142068,07;4214533,38;214610029,9;238582867,6;3218689335;230986212,4;105713321,8;18899960,03;1200082,12;134806,62;13928348,22;4536396,98;13001149,92;16350155,23;2580150,7;674660,07;2102280,63;450867,16;861328,07;3190573,54;1213317,99;13915449,07;1939588,65;110959770,7;16929141,95;82416,6;15096,1;48983,96;;404071474553,50;0,0002;;
"Crab""""";1,58194E+11;2,05483E+12;3,52491E+11;703539402,6;39427145269;1967422135;673199522,9;589041264,9;107071657,8;26601259,95;1382647541;1435360225;20949605896;1394380208;752230267,3;67551195,93;4872724,16;593982,36;83849662,01;30770179,66;45533100,65;71932700,32;14686767,05;2905887,93;9018258,87;2234284,38;7369719,53;17132860,26;5416452,02;87383053,96;3184462,29;545836433,7;28511032,28;359575,99;54985,26;171185,4;;2635955360486,93;0,0013;;
"DetFeed""""";1,94504E+11;619529296,7;2359348963;437204919;1693754878;3021,73;325015854,1;31343743,23;1430149,19;920989,3;401282994,6;341694081,4;4868917135;1586680178;549773089,1;50108448,69;676736,63;374468,71;42899372,21;25970257,03;10631376,45;5334620,56;1828564,82;172145,57;1334154,37;219028,8;3768059,2;3014494,04;1070020,56;3512497,05;25857,28;7436642,41;145657,86;2725,87;418,95;3574,55;;207879259449,68;0,0001;;
"LbathyPela""""";242528095,9;50895583,31;16518128,08;1238402;3450373,77;45250,24;1341850,37;561543,96;94293,92;33526,11;1134616,73;1717261,49;8774986,89;2559791,66;2315613,36;393554,38;30304,62;2599,87;484897,16;79787,36;486635,93;718656,59;66361,73;20122,81;48410,8;18296,38;21205,81;148430,75;32531,26;1159908,95;47330,2;5870469,36;470358,15;6384,1;1060,5;1883,66;;343318508,10;0,0000;;
"LDeepWatCom""""";16313495,57;2235985,71;657743,94;159811,55;193408,9;5451,74;189723,96;79344,6;8723,65;1752,96;69808,95;61286,63;605962,73;185018,1;96021,85;9813,65;750,15;97,74;23547,6;3516,31;61175,23;40576,79;5273,08;651,92;2695,65;1082,01;879,6;4343,59;875,44;33400,47;7296,12;152981,45;103450,1;280,06;58,56;115,62;;21316401,99;0,0000;;
"Ldem""""";4088171916;7132010857;1277911867;12238972,54;170294366,3;6857118,08;9720544,54;3500405,53;499385,39;135696,7;11565274,79;12552408,23;155304337,5;33137445,8;10086574,06;2157728,94;79388,9;13809,76;1382223,59;508678,6;873395,25;1254608,76;105297,66;45173,43;113489,46;29319,19;37546,95;208642,47;81143,92;1532057,65;142203,71;9023447,03;1150044,6;9887,02;1722,9;4133,44;;12942741112,38;0,0000;;
"LdemCom""""";9784814625;3849504331;773191350,2;23645564,4;156344468,5;3683957,2;18317017,41;3210219,89;329938,86;106652,95;22384342,61;19858691,83;277575008,5;80423932,84;28398142,38;2862767,68;57295,07;20734,31;2408304,79;1340828,06;1055357,86;750509,07;144743,15;23364,49;109982,24;22886,29;198953,46;220552,13;78352,51;614636,87;76631,12;3084226,92;841109,97;3505,92;669,48;1741,28;;15055705396,44;0,0000;;
"LDemShaRay""""";36999221,88;12773556,71;2684520,45;142654,5;551856,63;13404,58;146579,54;49666,46;5917,79;1632,45;119013,3;113076,85;1242855,89;349906,99;193928,63;20205,94;1051,15;137,72;26241,41;8308,6;36022,15;29633,94;4133,44;677,7;2445,45;823,19;2031,09;5309,25;1604,13;32661,09;4036,42;151244,33;47893,42;216,79;40,9;82,39;;55762593,13;0,0000;;
"Lobs""""";2575813474;19365381055;3399167910;17707316,92;388739959,9;18604908,79;17563454,18;10531091,54;1706702,05;461719,07;16647184,23;25433130,79;220293670,4;23397608,38;10811324,29;3155967,47;288298,2;27750,96;3250287,48;336550,27;4992010,61;6515573,05;407584,45;189394,51;438455,12;138819,15;30041,77;1075110,88;159362,64;8388042,37;486635,93;52770835,7;6476726;53528,32;9199,89;16810,33;;26181467494,73;0,0000;;
"Lpela""""";6504435656;1,17752E+11;20150163325;33775597,97;2226671897;112744009,6;39778551,97;35028669,59;6456416,52;1610306,82;83631308,81;86082111,94;1202640399;70515401,3;68147765,08;2977575,5;392675,28;30490,36;6074987,15;2515167,67;4057672,46;4483275,4;1294637,36;221864,92;756839,46;173962,31;890760,51;1350134,29;560438,15;4289958,99;505998,49;26307246,35;2997561,38;11040,36;2090,99;12123,56;;148433424966,88;0,0001;;
"Lzoopl""""";1,99388E+14;1,47879E+13;4,82891E+12;4,50405E+11;1,99735E+12;13566256539;3,36216E+11;36023485182;2180163711;1111462566;4,19141E+11;3,57935E+11;5,11281E+12;1,62803E+12;5,67127E+11;51494861832;713381630,7;384721415,6;44252294653;26763600976;11168694561;5640636033;1959464863;187212454,2;1416514351;232944735,6;3926523491;3153163548;1127631736;3547335210;54273849,39;7845386586;407731340,6;1891013,83;293976,95;4116264,69;;230090969415360,00;0,1159;;
"MbathyPela""""";1841983046;3825099195;677463385,3;5511158,2;86558763,48;3668924,51;5130010,59;1927298,19;287050,46;75612,79;6782203,1;6600835,41;83405179,32;16489896,29;8177591,63;925026;41290,08;5857,24;825895,96;368189,29;689000,9;635196,64;83225,6;21954,29;77560,7;17400,29;83895,26;161150,85;48634,98;596003,96;76074,11;3765001,91;730426,4;3706,52;659,17;1793,33;;6578318093,70;0,0000;;
"Mdem""""";3,08514E+11;1,88977E+11;36023485182;752663838,5;6195384134;180226523,6;581727300,8;116711243;14296572,95;4614691,09;736881438,2;681113616,6;9261049315;2529392331;904454171,7;89517711,18;2282896,91;690512,98;81093378,36;41812218,07;34602157,93;34950733,35;5367288,48;1100447,98;4029805,3;982339,69;6161464,93;9349453,64;2687250,14;44083336,96;1845073,02;230858559,4;21689226,66;228115,73;38547,13;76155,24;;556086955702,06;0,0003;;
"MdemCom""""";60716604392;9068686560;2274953437;142762210,4;696186589,8;8580895,14;108440007,7;14918163,08;1239902,14;494908,28;130828237,5;115684890,6;1595135706;497293207,6;173965341,1;17217110,72;335414,09;127240,32;14693201,2;8177057,44;5851549,9;4560641,66;799016,62;135366,03;626291,91;135157,94;1186865,6;1406438,75;447404,5;4756730,86;323293,43;23267490,79;3589335,42;26170,96;4571,25;9468,47;;75633450266,57;0,0000;;
