TI3;"BalWhale""""";"Jwhit""""";"NorPout""""";"Sprat""""";"Mack""""";"Sande""""";"FiltFeedPelaFish""""";"SquidCuttFish""""";"CarnZoopl""""";"GelZoopl""""";"ToothWhale""""";"Jcod""""";"Awhit""""";"Ahadd""""";"Jsaithe""""";"Ashaite""""";"Hake""""";"Lgado""""";"Sgado""""";"Aherr""""";"HorMack""""";"Seal""""";"Acod""""";"MonkFish""""";"Plai""""";"Dab""""";"LRDab""""";"Flou""""";"Sole""""";"LemSole""""";"Witch""""";"TurBrill""""";"Meg""""";"Dragon""""";"SdemFish""""";"Bird""""";"Jherr""""";"HerbOmnZoopl""""";"Spur""""";"Ssha""""";"EpiFauMacroBenth""""";"InFauMacroBenth""""";"Jray""""";"Lcrab""""";"Shri""""";"SMobEpiFai""""";"SInFau""""";"MeioFau""""";"StarRay""""";"ThornRay""""";"SkateRay""""";"Jhadd""""";"Gurna""""";"Hal""""";"Neph""""";"SessEpiBenth""""";"BlueWhit""""";"LdemFish""""";"PlMicroFlo""""";"Phyto""""";"FishLarv""""";"CatFish""""";"BenthMicroFlo""""";;SUM;
"EpiFauMacroBenth""""";0,02;0,03;0,02;0,02;0,03;0,03;0,04;0,02;0,02;0,02;0,01;0,03;0,03;0,03;0,02;0,01;0,01;0,02;0,03;0,01;0,02;0,02;0,03;0,02;0,04;0,04;0,03;0,04;0,05;0,06;0,07;0,05;0,02;0,04;0,03;0,01;0,01;0,02;0,02;0,2;0,04;0,04;0,05;0,04;0,02;0,03;0,04;0,03;0,04;0,05;0,05;0,04;0,04;0,02;0,02;0,03;0,03;0,02;0,04;0,05;0,01;0,14;0,06;;2,17;
"InFauMacroBenth""""";0,01;0,03;0,03;0,01;0,01;0,03;0,01;0,02;0,02;0,01;0,01;0,03;0,03;0,03;0,04;0,01;0,01;0,01;0,03;0,01;0,03;0,02;0,03;0,02;0,04;0,04;0,03;0,04;0,05;0,06;0,07;0,05;0,01;0,04;0,03;0,01;0,01;0,01;0,01;0,2;0,04;0,04;0,05;0,04;0,02;0,03;0,03;0,05;0,02;0,02;0,02;0,04;0,02;0,02;0,04;0,03;0,01;0,07;0,04;0,01;0,01;0,14;0,06;;2,05;
"Jray""""";0,01;0,01;0,02;0;0,01;0,01;0,01;0,01;0,02;0;0;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,04;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0,01;;0,59;
"Lcrab""""";0,01;0,03;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,03;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,02;0,03;0,01;0,04;0,04;0,03;0,04;0,02;0,02;0,02;0,02;0,05;0,04;0,03;0,01;0,01;0,01;0,01;0,02;0,03;0,03;0,05;0,03;0,03;0,03;0,03;0,02;0,04;0,05;0,05;0,02;0,04;0,05;0,04;0,05;0,01;0,02;0,04;0,01;0,01;0,13;0,06;;1,7;
"Shri""""";0,02;0,03;0,02;0,02;0,02;0,02;0,05;0,03;0,03;0,02;0,02;0,03;0,03;0,03;0,04;0,04;0,01;0,04;0,03;0,02;0,02;0,02;0,03;0,02;0,04;0,04;0,03;0,04;0,02;0,02;0,02;0,04;0,05;0,04;0,03;0,01;0,02;0,03;0,01;0,01;0,02;0,02;0,05;0,03;0,03;0,03;0,03;0,05;0,04;0,05;0,05;0,04;0,04;0,02;0,02;0,02;0,04;0,08;0,04;0,01;0,01;0,02;0,06;;1,89;
"SMobEpiFai""""";0,02;0,03;0,03;0,02;0,03;0,03;0,04;0,03;0,03;0,02;0,02;0,03;0,03;0,04;0,04;0,04;0,01;0,04;0,03;0,04;0,02;0,02;0,02;0,02;0,04;0,04;0,03;0,04;0,02;0,02;0,02;0,02;0,02;0,04;0,03;0,02;0,05;0,02;0,02;0,02;0,03;0,03;0,05;0,04;0,03;0,03;0,03;0,05;0,05;0,05;0,05;0,04;0,04;0,02;0,04;0,02;0,02;0,02;0,04;0,01;0,01;0,02;0,06;;1,9;
"SInFau""""";0,01;0,03;0,02;0,01;0,03;0,03;0,04;0,03;0,01;0,01;0,01;0,03;0,03;0,03;0,04;0,01;0,01;0,03;0,03;0,01;0,01;0,02;0,02;0,02;0,04;0,03;0,03;0,02;0,05;0,06;0,07;0,02;0,02;0,04;0,03;0,01;0,01;0,01;0,01;0,02;0,03;0,03;0,05;0,03;0,03;0,02;0,03;0,05;0,04;0,05;0,05;0,04;0,02;0,02;0,04;0,03;0,01;0,02;0,04;0,01;0,01;0,02;0,06;;1,75;
"MeioFau""""";0;0,01;0;0;0;0,01;0,01;0,01;0;0;0;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0;0;0,01;0,01;0,01;0,03;0,02;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,03;0,02;0;0;0;0,01;0,01;0,01;0,02;0,04;0,01;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0;0,01;0,01;0;0;0,01;0,05;;0,63;
"StarRay""""";0;0,01;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0;0,01;0,02;0,01;0,01;0,01;0,01;0;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,02;0,02;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0,01;;0,67;
"ThornRay""""";0;0,01;0;0,02;0;0,01;0,01;0,01;0;0;0;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0;0;0,01;0,01;0;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0;0;0;0,01;0,01;0,02;0,01;0,01;0,02;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0;0,01;0,01;;0,48;
"SkateRay""""";0;0,01;0,02;0;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,03;0,02;0,01;0,03;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0;0;0,01;0,01;;0,59;
"Jhadd""""";0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,02;0,02;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,02;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,05;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,73;
"Gurna""""";0,01;0,03;0,02;0,02;0,01;0,02;0,01;0,02;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,02;0,01;0,01;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,85;
"Hal""""";0,01;0,02;0,02;0,02;0,01;0,01;0;0,01;0,01;0;0,01;0,02;0,01;0;0,01;0;0,01;0,01;0,01;0;0,01;0;0,01;0;0;0;0,01;0;0;0;0;0,01;0,01;0;0;0,01;0;0,01;0,01;0;0;0;0,01;0,02;0;0;0;0;0,01;0,01;0,01;0,03;0,01;0,01;0;0;0;0;0;0,01;0;0,01;0;;0,43;
"Neph""""";0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,03;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,04;0,01;0,01;0,03;0,05;0,01;0,01;0,05;;0,85;
"SessEpiBenth""""";0;0;0;0,01;0,02;0,01;0;0,01;0,01;0,01;0;0,01;0,01;0,02;0;0;0;0,01;0,01;0;0,01;0,01;0,01;0,01;0,03;0,02;0,01;0,03;0,01;0,05;0,06;0,01;0;0;0,01;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0;0,03;0,03;0;0;0,03;0,05;0,01;0,01;0,01;;0,71;
"BlueWhit""""";0,01;0,01;0,02;0,03;0,03;0,01;0,04;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,06;0,03;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,05;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0;0,01;0,01;0,02;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,02;0,01;0,01;0,01;0,01;0,01;0;;0,8;
"LdemFish""""";0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0,02;0;0,01;0;0,01;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0,01;0;0;;0,29;
"PlMicroFlo""""";0,01;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0,02;0,04;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,04;0,01;0,01;0,02;0,02;0,02;0,01;0,05;;0,86;
"Phyto""""";0,01;0;0;0,02;0,01;0,01;0,01;0,01;0,01;0,05;0;0;0;0,01;0,01;0;0;0;0;0;0,01;0;0;0;0,01;0;0;0,01;0;0,01;0,01;0;0;0;0;0,01;0;0,02;0,01;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,03;0,04;0,01;0;0,01;0,02;0,07;0;0,01;;0,54;
"FishLarv""""";0,01;0;0;0;0;0;0,01;0,01;0,02;0,04;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0,02;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0,01;0,01;0,05;0,02;0;0;;0,35;
"CatFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;;0,15;
"BenthMicroFlo""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0;0;0;0;0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,04;0,01;0,01;0,01;0,01;0;0;0,03;0,01;0;0,01;0,03;0,01;0;0,01;0,02;;0,47;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"BalWhale""""";"Jwhit""""";"NorPout""""";"Sprat""""";"Mack""""";"Sande""""";"FiltFeedPelaFish""""";"SquidCuttFish""""";"CarnZoopl""""";"GelZoopl""""";"ToothWhale""""";"Jcod""""";"Awhit""""";"Ahadd""""";"Jsaithe""""";"Ashaite""""";"Hake""""";"Lgado""""";"Sgado""""";"Aherr""""";"HorMack""""";"Seal""""";"Acod""""";"MonkFish""""";"Plai""""";"Dab""""";"LRDab""""";"Flou""""";"Sole""""";"LemSole""""";"Witch""""";"TurBrill""""";"Meg""""";"Dragon""""";"SdemFish""""";"Bird""""";"Jherr""""";"HerbOmnZoopl""""";"Spur""""";"Ssha""""";"EpiFauMacroBenth""""";"InFauMacroBenth""""";"Jray""""";"Lcrab""""";"Shri""""";"SMobEpiFai""""";"SInFau""""";"MeioFau""""";"StarRay""""";"ThornRay""""";"SkateRay""""";"Jhadd""""";"Gurna""""";"Hal""""";"Neph""""";"SessEpiBenth""""";"BlueWhit""""";"LdemFish""""";"PlMicroFlo""""";"Phyto""""";"FishLarv""""";"CatFish""""";"BenthMicroFlo""""";;SUM;
"BalWhale""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Jwhit""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"NorPout""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Sprat""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Mack""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Sande""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"FiltFeedPelaFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"SquidCuttFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"CarnZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"GelZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"ToothWhale""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Jcod""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Awhit""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Ahadd""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Jsaithe""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Ashaite""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Hake""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Lgado""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Sgado""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Aherr""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"HorMack""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Seal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Acod""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"MonkFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Plai""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Dab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"LRDab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Flou""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Sole""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"LemSole""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Witch""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"TurBrill""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Meg""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Dragon""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"SdemFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Jherr""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"HerbOmnZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Spur""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Ssha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"EpiFauMacroBenth""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"InFauMacroBenth""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Jray""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Lcrab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Shri""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"SMobEpiFai""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"SInFau""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"MeioFau""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"StarRay""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"ThornRay""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"SkateRay""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Jhadd""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
