TI3;"BalWhale""""";"Jwhit""""";"NorPout""""";"Sprat""""";"Mack""""";"Sande""""";"FiltFeedPelaFish""""";"SquidCuttFish""""";"CarnZoopl""""";"GelZoopl""""";"ToothWhale""""";"Jcod""""";"Awhit""""";"Ahadd""""";"Jsaithe""""";"Ashaite""""";"Hake""""";"Lgado""""";"Sgado""""";"Aherr""""";"HorMack""""";"Seal""""";"Acod""""";"MonkFish""""";"Plai""""";"Dab""""";"LRDab""""";"Flou""""";"Sole""""";"LemSole""""";"Witch""""";"TurBrill""""";"Meg""""";"Dragon""""";"SdemFish""""";"Bird""""";"Jherr""""";"HerbOmnZoopl""""";"Spur""""";"Ssha""""";"EpiFauMacroBenth""""";"InFauMacroBenth""""";"Jray""""";"Lcrab""""";"Shri""""";"SMobEpiFai""""";"SInFau""""";"MeioFau""""";"StarRay""""";"ThornRay""""";"SkateRay""""";"Jhadd""""";"Gurna""""";"Hal""""";"Neph""""";"SessEpiBenth""""";"BlueWhit""""";"LdemFish""""";"PlMicroFlo""""";"Phyto""""";"FishLarv""""";"CatFish""""";"BenthMicroFlo""""";;SUM;
"ToothWhale""""";0,01;0,02;0,02;0,03;0,03;0,02;0,01;0,02;0,01;0;0,02;0,02;0,02;0,03;0,03;0,03;0,06;0,03;0,02;0,04;0,03;0,01;0,01;0,01;0;0,01;0,01;0;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0;0;;0,82;
"Jcod""""";0,02;0,04;0,03;0,03;0,02;0,03;0,01;0,03;0,03;0,01;0,04;0,03;0,03;0,02;0,02;0,02;0,02;0,04;0,03;0,05;0,03;0,04;0,03;0,02;0,02;0,04;0,03;0,02;0,05;0,02;0,02;0,05;0,02;0,04;0,03;0,06;0,05;0,03;0,02;0,02;0,03;0,03;0,02;0,03;0,03;0,03;0,03;0,02;0,05;0,02;0,02;0,04;0,04;0,06;0,04;0,04;0,02;0,02;0,02;0,02;0,02;0,02;0,02;;1,81;
"Awhit""""";0,02;0,03;0,03;0,03;0,02;0,02;0,04;0,03;0,03;0,01;0,04;0,03;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,03;0,03;0,03;0,05;0,02;0,01;0,03;0,02;0,04;0,01;0,02;0,02;0,02;0,01;0,03;0,02;0,04;0,02;0,05;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,03;0,01;0,02;0,02;0,02;0,04;0,02;0,02;0,04;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,02;;1,43;
"Ahadd""""";0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,02;0,02;0,01;0,03;0,01;0,01;0,02;0,01;0,03;0,01;0,03;0,02;0,02;0,01;0,03;0,02;0,04;0,01;0,01;0,03;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,04;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;1;
"Jsaithe""""";0,01;0,01;0,02;0,02;0,01;0,02;0,03;0,02;0,02;0,01;0,03;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,69;
"Ashaite""""";0,02;0,01;0,02;0,02;0,03;0,02;0,04;0,02;0,03;0,01;0,04;0,01;0,02;0,03;0,02;0,02;0,02;0,03;0,02;0,04;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,04;0,03;0,02;0;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0;0,01;;0,96;
"Hake""""";0,01;0;0,02;0,02;0,02;0;0;0;0;0;0,03;0;0;0;0,01;0,01;0,02;0,01;0,01;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0,01;0,01;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0,03;0;0;0;0;0;0;;0,36;
"Lgado""""";0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,02;0,02;0,01;0,03;0,02;0,01;0,03;0,01;0,03;0,01;0,02;0,02;0,04;0,01;0,03;0,01;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,04;0,02;0,01;0;0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;;0,99;
"Sgado""""";0,02;0,04;0,03;0,04;0,04;0,03;0,02;0,03;0,03;0,02;0,05;0,03;0,03;0,04;0,05;0,04;0,07;0,04;0,03;0,03;0,04;0,04;0,03;0,02;0,02;0,04;0,04;0,02;0,02;0,02;0,02;0,05;0,06;0,04;0,03;0,06;0,03;0,03;0,06;0,02;0,03;0,03;0,05;0,04;0,03;0,03;0,03;0,02;0,05;0,06;0,05;0,02;0,04;0,06;0,04;0,02;0,03;0,08;0,02;0,02;0,02;0,02;0,02;;2,17;
"Aherr""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,03;0,02;0,01;0,01;0,01;0,03;0,01;0,03;0,01;0,02;0,01;0,02;0,02;0,04;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0,04;0,01;0,02;0,04;0;0;0;0;0,01;0,01;0,02;0;0;0,03;0;0;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0,01;0;0;;0,7;
