TI3;"Mamm""""";"Lcod""""";"Scod""""";"LOFish""""";"SOFish""""";"Herr""""";"Cormo""""";"Krill""""";"Shri""""";"OLZoopl""""";"Lcrus""""";"PredBenth""""";"DetPolych""""";"SbenthC""""";"Smollu""""";"DetEchino""""";"OBenthI""""";"Szoopl""""";"Chaet""""";"MicroZoopl""""";"Schyp""""";"Phyto""""";"HeteroN""""";"Baci""""";"Lbivalv""""";"MacroAlga""""";;SUM;;
WI3;"Mamm""""";"Lcod""""";"Scod""""";"LOFish""""";"SOFish""""";"Herr""""";"Cormo""""";"Krill""""";"Shri""""";"OLZoopl""""";"Lcrus""""";"PredBenth""""";"DetPolych""""";"SbenthC""""";"Smollu""""";"DetEchino""""";"OBenthI""""";"Szoopl""""";"Chaet""""";"MicroZoopl""""";"Schyp""""";"Phyto""""";"HeteroN""""";"Baci""""";"Lbivalv""""";"MacroAlga""""";;SUM;;
"Baci""""";2502,96;1084496,58;185350,54;1214275,7;2539791,25;7086685,63;192,04;3739405584;22150731,9;67372684,31;13476,96;52316,61;3385298798;4418704,34;688662,67;1655444451;194823282;6176868078;2418947658;13121000671;31654475,47;13790524244;89130945374;1915027041;3971721353;723778,77;;139639194658,62;thresold;21258747,43
"Chaet""""";8675;2003514,51;348146,94;2223750,1;4660441,19;2703157,66;928,24;4951355555;20030969,42;46337001,72;2337,19;7915,69;117064901,6;7544344,53;41748,04;7845619,29;923994,22;7643823397;428458797;12867690072;6162105,52;2701054694;1772690162;2015789715;572461629;0;;33171233572,28;;21258747,43
"Cormo""""";1;40,38;7,04;41,07;85,92;19,22;0,16;31,92;3,49;2;1,54;5,14;8,78;1,59;7,13;5,37;0,66;280,27;371,3;1026,29;5,4;4865,16;0;64,01;4,79;54,12;;6933,74;;
"DetEchino""""";193,03;77912,35;6691,83;188682,46;278315,94;1760,35;29,53;14249035,96;264447,67;13807,75;285918,71;1261487,19;1541248,95;108275,31;6865,94;1013252,42;89498,71;213787575,5;17260362,44;610390862,9;461,35;267798472,3;77000356,66;3034981494;1262340,38;9540271,53;;4251409620,95;;
"DetPolych""""";331,92;1390718,85;231573,73;1667005,65;3419557,29;1366111,36;48,29;97233349,95;1752567,15;4736532,98;503928,03;2329750,97;1040510,03;183085,3;95988,44;1541248,95;61400,53;583283769;257542783,6;1386614623;3521006,38;1745156013;400148979,5;6206381129;614803,01;9055104,27;;10709871920,28;;
"Herr""""";570,22;9718,55;1723,57;9619,34;20652,06;16534,15;67,27;42755792,29;169046,53;385067,85;197,26;667,76;869343,59;64713,34;2421,6;1120,22;112,99;65353272;3784420,73;107366372,7;41947,83;25754462,84;13216656,84;8267799,91;4758919,81;1273,19;;272852494,47;;
"HeteroN""""";302,65;6867903,12;1119085,17;8659404,58;17495286,11;7552375,34;0;5353230114;30334381,94;67687146,82;4480262,98;20546570,66;145508719,8;9175182,83;4986,36;28000129,69;2483684,87;11725904476;1418152130;25149164180;20959349,24;10141841458;3687618029;59420630249;607074257;83476537,16;;117957966201,82;;
"Krill""""";878,78;56954790,72;9730351,47;64176059,13;134095023;61079703,26;159,58;6109070845;68130200,27;239278506,8;996219,66;5713731,85;88393954,5;5029484,78;29672,46;12953669,06;1393824,08;11274593655;9902711110;15578151364;159432361,3;52909344552;13383075286;6232342640;379718615,8;135115,18;;116676531772,58;;
"Lbivalv""""";47,17;2621009,23;445333,72;2993543,01;6229324,12;2719382,75;9,57;151887446,3;2693007,67;9435197,18;238445,5;1144807,79;223564,73;78519,74;1431,7;459032,86;12932,9;482432239,3;457969303,2;819077466,2;7014974,17;2620368402;607074257;2647814235;36017,72;3619917,57;;7826589848,50;;
