TI3;"ProdPrim""""";"Szoopl""""";"Lzoopl""""";"Crab""""";"Shri""""";"DetFeed""""";"Sdem""""";"Mdem""""";"MdemCom""""";"LdemCom""""";"SbathyPela""""";"MpelaCom""""";"Sard""""";"MesoPelaPrey""""";"Mpela""""";"Lpela""""";"Tuna""""";"PelaSha""""";"Cepha""""";"BalWhale""""";"Lobs""""";"SDeepWatBott""""";"Ldem""""";"VIgDemCom""""";"MbathyPela""""";"SDemShaRay""""";"Turtle""""";"Bird""""";"ToothWhaleDolph""""";"Worm""""";"LbathyPela""""";"Obenth""""";"PredEchino""""";"LDeepWatCom""""";"VIgDem""""";"LDemShaRay""""";;SUM;
"VIgDemCom""""";0,02;0,02;0,03;0,04;0,04;0,02;0,04;0,04;0,03;0,02;0,02;0,04;0,04;0,02;0,02;0,06;0,04;0,06;0,03;0,02;0,02;0,02;0,05;0,03;0,02;0,04;0,02;0,02;0,02;0,02;0,02;0,04;0,02;0,07;0,02;0,05;;1,15;
"MbathyPela""""";0,01;0,01;0,03;0,01;0,03;0,02;0,01;0,01;0,02;0,01;0,04;0,02;0,03;0,02;0,01;0,01;0,03;0,01;0,03;0,01;0,01;0,01;0,02;0,01;0,03;0,03;0,02;0,01;0,05;0,03;0,02;0,03;0,01;0,01;0,01;0,04;;0,72;
"SDemShaRay""""";0,02;0,02;0,04;0,04;0,04;0,02;0,04;0,04;0,04;0,04;0,05;0,02;0,04;0,04;0,02;0,02;0,04;0,05;0,04;0,02;0,02;0,03;0,05;0,05;0,06;0,03;0,02;0,03;0,03;0,04;0,02;0,04;0,03;0,03;0,03;0,05;;1,26;
"Turtle""""";0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;;0,08;
"Bird""""";0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;;0,46;
"ToothWhaleDolph""""";0,01;0,01;0,03;0,01;0,03;0,01;0,01;0,01;0,03;0,01;0,04;0,03;0,03;0,04;0,01;0,01;0,01;0,01;0,03;0,02;0,01;0,01;0,04;0,01;0,05;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;;0,67;
"Worm""""";0,03;0,02;0,02;0,04;0,04;0,1;0,04;0,03;0,03;0,04;0,05;0,04;0,02;0,04;0,02;0,02;0,04;0,02;0,04;0,02;0,02;0,04;0,04;0,02;0,05;0,04;0,01;0,02;0,03;0,03;0,07;0,03;0,02;0,02;0,02;0,02;;1,2;
"LbathyPela""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,05;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,03;0,02;0,02;0,01;0,01;0,01;0,01;;0,47;
"Obenth""""";0,03;0,03;0,03;0,05;0,03;0,11;0,05;0,05;0,05;0,05;0,05;0,03;0,05;0,05;0,02;0,03;0,04;0,06;0,05;0,02;0,08;0,05;0,05;0,05;0,06;0,05;0,02;0,08;0,03;0,04;0,07;0,04;0,1;0,08;0,1;0,05;;1,82;
"PredEchino""""";0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,02;0,02;0,03;0;0;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0;0,01;0;0,01;0;0,02;0,02;0,01;0,01;0,01;;0,32;
