TI3;"PFLpisc""""";"PFLplank""""";"PFSpela""""";"DFSha""""";"DFPisc""""";"DFLcarn""""";"DFScarn""""";"DFSplank""""";"DFLherb""""";"Chepha""""";"Zoopl""""";"DFSherb""""";"DFOmn""""";"InvCarn""""";"InvFiltFeed""""";"InvDesp""""";"InvSurfDesp""""";"InvHerb""""";"MeioFau""""";"BenthMacroph""""";"Coral""""";"Phyto""""";"BenthMicroph""""";;SUM
"BenthMacroph""""";0,01;0,01;0,01;0,02;0,02;0,01;0,02;0,01;0,11;0,01;0,02;0,11;0,07;0,01;0,01;0,01;0,01;0,16;0,01;0,09;0,02;0,01;0;;0,76
"Coral""""";0,01;0,01;0,02;0;0,01;0,01;0,02;0,01;0;0,01;0,06;0,02;0,07;0,06;0,03;0,01;0,02;0,02;0,02;0,02;0,07;0,15;0,01;;0,65
"Phyto""""";0,01;0,01;0,02;0;0,01;0,01;0,01;0,01;0;0,01;0,06;0,01;0,02;0,02;0,05;0,01;0,01;0,01;0,01;0,01;0,11;0,06;0,01;;0,48
"BenthMicroph""""";0,01;0;0;0,01;0,02;0,02;0,03;0,02;0;0,01;0,01;0,01;0,02;0,03;0,06;0,1;0,06;0,01;0,07;0;0,01;0,02;0,06;;0,56
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"PFLpisc""""";"PFLplank""""";"PFSpela""""";"DFSha""""";"DFPisc""""";"DFLcarn""""";"DFScarn""""";"DFSplank""""";"DFLherb""""";"Chepha""""";"Zoopl""""";"DFSherb""""";"DFOmn""""";"InvCarn""""";"InvFiltFeed""""";"InvDesp""""";"InvSurfDesp""""";"InvHerb""""";"MeioFau""""";"BenthMacroph""""";"Coral""""";"Phyto""""";"BenthMicroph""""";;SUM
"PFLpisc""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"PFLplank""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"PFSpela""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DFSha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DFPisc""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DFLcarn""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DFScarn""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DFSplank""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DFLherb""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Chepha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Zoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DFSherb""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DFOmn""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"InvCarn""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"InvFiltFeed""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"InvDesp""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"InvSurfDesp""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"InvHerb""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MeioFau""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BenthMacroph""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Coral""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BenthMicroph""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"PFLpisc""""";"PFLplank""""";"PFSpela""""";"DFSha""""";"DFPisc""""";"DFLcarn""""";"DFScarn""""";"DFSplank""""";"DFLherb""""";"Chepha""""";"Zoopl""""";"DFSherb""""";"DFOmn""""";"InvCarn""""";"InvFiltFeed""""";"InvDesp""""";"InvSurfDesp""""";"InvHerb""""";"MeioFau""""";"BenthMacroph""""";"Coral""""";"Phyto""""";"BenthMicroph""""";;SUM
"PFLpisc""""";101350,79;25428564,09;67082908,76;40205,15;53348,44;184994,56;663780,65;36878452,89;17205392,76;1599426,51;1202331,58;3187632,49;751165,81;298488,37;449652,64;18550,04;220807,94;1035348,4;170995,84;129036,17;35502106,59;726710231,1;40050261,4;;958965032,9
"PFLplank""""";11301584,04;82590,02;1609880,55;926091,58;2535500,35;6825740,64;2098848,88;226416,67;2042,78;21870661,61;15132213025;3265,07;8050090,52;7929202,87;253509316;7241,08;53328,42;55385,39;23061638,65;1176272,66;603731831,9;41874894,51;92328,37;;16119237178
"PFSpela""""";22360969,59;1207410,41;5806394,62;1805909,51;4942497,69;13332820,45;4123962,21;1955379,06;20132,26;43773918,68;29535166746;35962,99;15721397,66;15517243,59;494733802,6;17608,47;130832,96;105622,84;45015024,7;1508307,39;1179556024;111147917,5;230849,6;;31498216735
"DFSha""""";26803,43;1389137,37;3611819,01;4722,39;7922,18;31623,69;41346,1;1977074,11;11324825,38;133542,99;493456,23;1760788,88;324415,88;10399,25;24497,89;741,4;7877,48;679901,83;57178,19;116322,56;1940823,95;39496890,7;41868,23;;63503979,12
"DFPisc""""";82986,47;8874251,22;23064989,24;18485,08;34991,69;147439,46;316359,36;13383621,97;77431032,56;680067,47;3807780,39;12034116,63;2274897,47;423727,03;281369,16;46976,11;419081,99;4655207,06;5527028,37;95448,82;12528034,6;253327627,1;45289478,56;;464744997,8
"DFLcarn""""";205549,51;17064351,61;44442734,85;52706,15;105313,9;197650,94;672724,77;27111254,92;2004645,61;1361790,81;32846550,83;731579,6;603211,63;1747836,51;1509542,58;507654,99;3791349,12;167745,49;94198683,12;559735,77;25156286,02;489516088,3;155907869,3;;900462856,4
"DFScarn""""";737534,05;5247122,2;13746540,71;68910,17;225970,97;672724,77;402826,75;8418083,45;1506929,8;1584486,16;843764927,8;362413,89;713210,11;1096449,91;19737928,76;5761667,94;39119726,01;119628,09;1297147286;493460,45;41032107,72;153020721,2;51781105,46;;2486761763
"DFSplank""""";28683241,14;396229,18;4562551,14;2306586,46;6691810,98;18977878,45;5892658,42;918625,93;21621,83;54768929,96;37777205717;14388,17;20181289,52;20058233,92;669931507;39179470,4;265326333,7;177524,76;8913490572;2533868,77;1508008781;109882326,1;6926556,13;;49456136702
"DFLherb""""";7646841,22;2042,78;26843,01;7549883,59;22123152,16;801858,24;602771,92;12355,33;1461219,9;20914,84;2101505,42;224038,9;610113,33;207034,22;5569,18;969,35;397167,71;779068,69;182739,15;3140966491;5846380,02;4901;9562,78;;3191583424
"Chepha""""";1599426,51;49208988,63;131321756;200314,48;437186,23;1225611,73;1426037,55;70417195,66;47058,39;5680358,19;1942357920;1076494,06;1561042,44;1142245,07;33324166,34;29361,52;278762,01;10421,71;7958895,74;491412,28;146142447,2;1412423279;13800596,6;;3822160977
"Zoopl""""";1335923,97;37830532563;98450555820;822427,05;2719843,13;32846550,83;843764927,8;53967436739;5253763,55;2158175467;1761261808;827352944;545809722,9;161873720,6;571415140,5;541190,6;7099987,65;872599,52;15201159,67;3010345,46;52981715338;1,08667E+12;1269088124;;1,33811E+12
"DFSherb""""";1416725,55;3265,07;47950,65;1173859,25;3438319,04;292631,84;144965,55;8221,81;224038,9;478441,8;330941177,6;34450,99;270420,24;208496,11;5540651,1;359,36;65652,38;120377,79;566422,72;479916233,1;14098341,66;931401,21;45294,49;;839967698,3
"DFOmn""""";667702,95;16100181,03;41923727,1;432554,51;1299941,41;482569,31;570568,09;23064330,88;1220226,65;1387593,28;436647778,3;540840,47;446217,15;279517,04;8289965,7;680662,95;4790311,54;179107,16;153793220,3;171550657,5;41397563,73;463016946,6;5061352,21;;1373823536
"InvCarn""""";265322,99;15858405,74;41379316,25;13865,67;242129,73;1398269,21;877159,93;22923695,91;414068,43;1015328,95;129498976,5;416992,21;279517,04;352955,55;17044592,59;15343974,05;104155823,9;105270,36;3468261402;765436,54;28901295,51;454682970,4;17973167,72;;4322169937
"InvFiltFeed""""";449652,64;570395960,9;1484201408;36746,84;180880,17;1358588,33;17764135,88;861340509;12530,65;33324166,34;514273626,4;12466464,97;9326211,41;19175166,66;21333802,4;3316267,33;27773930,01;9093,79;547224973,2;135743,43;818330224,4;16387255155;3294305729;;24623990966
"InvDesp""""";10305,58;9051,35;29347,45;617,84;16777,18;253827,5;2880833,97;27985336;1211,68;16311,96;270595,3;449,2;425414,34;9589983,78;1842370,74;1051287,73;10206142,91;688,99;119159493,3;41788,04;40531,71;401097,59;1923537899;;2097771363
"InvSurfDesp""""";196273,72;106656,85;348887,9;10503,31;239475,42;3033079,3;31295780,81;303230095,7;794335,42;247788,45;5679990,12;131304,75;4790311,54;104155823,9;24687937,78;16329828,66;144032058,9;66930,86;2406936809;144915,76;593795,08;5255441,58;20836675954;;23888983979
"InvHerb""""";345116,13;41539,04;105622,84;339950,91;997544,37;50323,65;35888,43;76082,04;584301,51;3473,9;261779,86;90283,34;67165,19;39476,39;3031,26;413,4;25099,07;66116,29;29496,2;141422338,9;334517,27;1273853,14;1217901;;147411314,1
"MeioFau""""";151996,3;46123277,29;120040065,9;76237,58;3158301,92;75358946,5;1037717829;10186846368;365478,3;7074573,99;12160927,73;1132845,44;153793220,3;3468261402;486422198,4;190655189,3;2406936809;78656,54;192850409,6;54060,46;64857952,33;1382122382;6,95922E+11;;7,15758E+11
"BenthMacroph""""";57349,41;1176272,66;2011076,53;77548,37;27271,09;223894,31;197384,18;1447925,01;3140966491;218405,46;1204138,19;479916233,1;85775328,77;382718,27;60330,41;33430,43;72457,88;188563118,5;27030,23;1562489,72;954697,82;19429673,07;1083141,31;;3925468406
"Coral""""";15778714,04;603731831,9;1572741365;1293882,63;3579438,46;10062514,41;16412843,09;861719303,4;5846380,02;64952198,74;21192686135;14098341,66;20698781,86;14450647,76;363702322;32425,36;296897,54;446023,03;32428976,17;954697,82;1689644015;17401191885;33219245,9;;43919968866
"Phyto""""";242236743,7;31406170,88;111147917,5;19748445,35;54284491,53;146854826,5;45906216,37;47092425,46;3675,75;470807759,5;3,26002E+11;698550,91;173631355;170506113,9;5462418385;240658,55;1970790,59;1273853,14;518295893,4;14572254,8;13050893913;1754241718;9511224;;3,48329E+11
"BenthMicroph""""";17800116,18;92328,37;307799,46;27912,15;12939851,02;62363147,73;20712442,18;3958032,07;9562,78;6133598,49;507635249,7;45294,49;2530676,11;8986583,86;1464135880;1538830319;10418337977;1623867,99;3,47961E+11;1083141,31;33219245,9;12681632;192616190,4;;3,62267E+11
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
WO3;"PFLpisc""""";"PFLplank""""";"PFSpela""""";"DFSha""""";"DFPisc""""";"DFLcarn""""";"DFScarn""""";"DFSplank""""";"DFLherb""""";"Chepha""""";"Zoopl""""";"DFSherb""""";"DFOmn""""";"InvCarn""""";"InvFiltFeed""""";"InvDesp""""";"InvSurfDesp""""";"InvHerb""""";"MeioFau""""";"BenthMacroph""""";"Coral""""";"Phyto""""";"BenthMicroph""""";;SUM
"BenthMacroph""""";0;0;0;0;0,02;0;0;0;0;0;0,04;0;0;0;0;0;0;0;0,02;0;0;0,02;0;;0,11
"BenthMicroph""""";0,02;0,04;0,07;0;0,02;0,04;0,09;0,11;0;0,02;0,07;0,02;0,04;0,07;0,07;0,04;0,07;0;0,13;0;0,04;0,09;0;;1,04
"Chepha""""";0,09;0,07;0,07;0,02;0,02;0,04;0,07;0,07;0;0;0,13;0,02;0,09;0,07;0,13;0;0,02;0;0,11;0;0,13;0,11;0,02;;1,26
"Coral""""";0,09;0,09;0,11;0,02;0,02;0,04;0,07;0,11;0;0,13;0,17;0,02;0,09;0,07;0,13;0;0,02;0;0,13;0;0;0,15;0,04;;1,5
"DFLcarn""""";0,07;0,02;0,04;0,02;0,04;0;0,07;0,04;0;0,04;0,07;0;0,07;0,07;0,09;0,04;0,04;0;0,09;0;0,04;0,07;0,04;;0,96
"DFLherb""""";0;0;0;0;0;0;0;0;0;0;0;0,02;0,02;0;0;0;0;0,02;0;0;0;0;0;;0,07
"DFOmn""""";0,07;0,07;0,09;0,02;0,02;0,07;0,09;0,09;0,02;0,09;0,09;0,04;0;0,09;0,11;0,02;0,02;0,02;0,09;0;0,09;0,11;0,04;;1,33
"DFPisc""""";0,04;0,02;0,02;0,02;0;0,04;0,04;0,02;0;0,02;0,04;0;0,02;0,02;0,04;0,02;0,02;0;0,04;0,02;0,02;0,02;0,02;;0,54
"DFScarn""""";0,07;0,07;0,09;0,02;0,04;0,07;0;0,11;0;0,07;0,09;0,02;0,09;0,09;0,11;0,04;0,07;0;0,11;0;0,07;0,09;0,09;;1,37
"DFSha""""";0,02;0,02;0,02;0;0,02;0,02;0,02;0,02;0;0,02;0,02;0;0,02;0,02;0,02;0;0;0;0,02;0;0,02;0,02;0;;0,33
"DFSherb""""";0;0,02;0,02;0;0;0;0,02;0,02;0,02;0,02;0,02;0;0,04;0,02;0,02;0;0;0,02;0;0;0,02;0,02;0,02;;0,33
"DFSplank""""";0,04;0,09;0,13;0,02;0,02;0,04;0,11;0;0;0,07;0,11;0,02;0,09;0,09;0,09;0,02;0,04;0;0,13;0;0,11;0,13;0,11;;1,46
"InvCarn""""";0,04;0,04;0,07;0,02;0,02;0,07;0,09;0,09;0;0,07;0,07;0,02;0,09;0;0,09;0,02;0,04;0;0,09;0;0,07;0,09;0,07;;1,13
"InvDesp""""";0,02;0;0,02;0;0,02;0,04;0,04;0,02;0;0;0,02;0;0,02;0,02;0,04;0;0,04;0;0,04;0;0;0,02;0,04;;0,43
"InvFiltFeed""""";0,11;0,07;0,09;0,02;0,04;0,09;0,11;0,09;0;0,13;0,15;0,02;0,11;0,09;0;0,04;0,07;0;0,15;0;0,13;0,13;0,07;;1,7
"InvHerb""""";0;0;0;0;0;0;0;0;0,02;0;0;0,02;0,02;0;0;0;0;0;0;0;0;0;0;;0,07
"InvSurfDesp""""";0,04;0;0,02;0;0,02;0,04;0,07;0,04;0;0,02;0,07;0;0,02;0,04;0,07;0,04;0;0;0,11;0;0,02;0,07;0,07;;0,76
"MeioFau""""";0,11;0,07;0,09;0,02;0,04;0,09;0,11;0,13;0;0,11;0,22;0;0,09;0,09;0,15;0,04;0,11;0;0;0,02;0,13;0,22;0,13;;1,96
"PFLpisc""""";0;0,04;0,04;0,02;0,04;0,07;0,07;0,04;0;0,09;0,11;0;0,07;0,04;0,11;0,02;0,04;0;0,11;0;0,09;0,09;0,02;;1,11
"PFLplank""""";0,04;0;0,09;0,02;0,02;0,02;0,07;0,09;0;0,07;0,09;0,02;0,07;0,04;0,07;0;0;0;0,07;0;0,09;0,09;0,04;;0,98
"PFSpela""""";0,04;0,09;0;0,02;0,02;0,04;0,09;0,13;0;0,07;0,11;0,02;0,09;0,07;0,09;0,02;0,02;0;0,09;0;0,11;0,13;0,07;;1,3
"Phyto""""";0,09;0,09;0,13;0,02;0,02;0,07;0,09;0,13;0;0,11;0,22;0,02;0,11;0,09;0,13;0,02;0,07;0;0,22;0,02;0,15;0;0,09;;1,87
"Zoopl""""";0,11;0,09;0,11;0,02;0,04;0,07;0,09;0,11;0;0,13;0;0,02;0,09;0,07;0,15;0,02;0,07;0;0,22;0,04;0,17;0,22;0,07;;1,89
