TI3;"Mojar""""";"Snoo""""";"Jack""""";"Mollu""""";"Zoopl""""";"MeioFau""""";"Crus""""";"BenthProd""""";"WhMull""""";"PortCrab""""";"CatFish""""";"Croak""""";"Goby""""";"Anch""""";"Snap""""";"Oyst""""";"Shri""""";"Phyto""""";"BayWhi""""";"SpaFish""""";"Shhep""""";"ToFish""""";;SUM
"Jack""""";0,02;0,05;0;0,02;0,02;0,02;0,02;0,02;0;0;0;0;0,02;0,02;0;0;0;0;0,02;0;0;0;;0,25
"MeioFau""""";0;0,02;0,02;0,07;0,05;0;0,16;0,07;0;0,09;0,11;0,07;0,14;0,07;0;0;0,11;0;0;0;0;0;;0,98
"Mojar""""";0;0,02;0,02;0;0,02;0;0,02;0;0;0;0;0,02;0,05;0,05;0;0;0,02;0;0,02;0;0;0;;0,25
"Mollu""""";0;0,02;0,02;0;0,05;0,07;0,07;0,07;0;0,02;0,05;0;0,02;0,02;0;0,02;0,02;0;0;0;0;0;;0,45
"Oyst""""";0;0;0;0,02;0,02;0;0,02;0;0;0,02;0,02;0;0;0,02;0;0;0;0;0;0;0;0;;0,14
"Phyto""""";0;0;0;0;0;0;0;0;0;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0,02;;0,07
"PortCrab""""";0;0;0;0,02;0;0,09;0,11;0,07;0;0;0,2;0,07;0,2;0,02;0;0,02;0,11;0,02;0;0;0;0,02;;0,98
"Shhep""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Shri""""";0,02;0;0;0,02;0,05;0,11;0,11;0,05;0;0,11;0,14;0,09;0,18;0,09;0;0;0;0;0;0;0;0;;0,98
"Snap""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Snoo""""";0,02;0;0,05;0,02;0,05;0,02;0,02;0,02;0;0;0,02;0,02;0,05;0,02;0;0;0;0;0,02;0;0;0;;0,34
"SpaFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ToFish""""";0;0;0;0;0;0;0;0;0;0,02;0,02;0;0;0;0;0;0;0,02;0;0;0;0;;0,07
"WhMull""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Zoopl""""";0,02;0,05;0,02;0,05;0;0,05;0,07;0,02;0;0;0,05;0,07;0,07;0,07;0;0,02;0,05;0;0;0;0;0;;0,59
