TI3;"UlvRig""""";"MacroBenthHerbDet""""";"MacroBenthOmnMixFeed""""";"ADicLab""""";"Grass""""";"MacroAlga""""";"AMugi""""";"Epiph""""";"MicroMeioBenth""""";"Phyto""""";"Zoopl""""";"MacroBenthOmnFiltFeed""""";"JTPhil""""";"TPhilCom""""";"Bacipl""""";"JMugi""""";"AtherBoy""""";"NektCarnBenth""""";"JSparAur""""";"JDicLab""""";"MacroBenthDet""""";"MacroBenthOmn""""";"ZosOph""""";"ASparAur""""";"Bird""""";;SUM;
TO3;"UlvRig""""";"MacroBenthHerbDet""""";"MacroBenthOmnMixFeed""""";"ADicLab""""";"Grass""""";"MacroAlga""""";"AMugi""""";"Epiph""""";"MicroMeioBenth""""";"Phyto""""";"Zoopl""""";"MacroBenthOmnFiltFeed""""";"JTPhil""""";"TPhilCom""""";"Bacipl""""";"JMugi""""";"AtherBoy""""";"NektCarnBenth""""";"JSparAur""""";"JDicLab""""";"MacroBenthDet""""";"MacroBenthOmn""""";"ZosOph""""";"ASparAur""""";"Bird""""";;SUM;
"ADicLab""""";0;0,02;0,14;0;0;0,02;0;0;0,1;0,02;0,1;0,04;0,02;0;0,02;0;0,08;0,06;0,02;0;0,1;0,06;0,08;0,08;0;;0,96;0,050955414
"AMugi""""";0;0,02;0,02;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,06;0,003184713
"ASparAur""""";0;0;0,1;0,08;0;0;0;0;0,08;0,06;0,1;0,08;0,02;0,02;0,06;0;0,06;0,06;0,04;0;0,08;0,12;0,08;0;0;;1,04;0,055201699
"AtherBoy""""";0;0;0,18;0,08;0;0;0;0;0,14;0;0,14;0,08;0,08;0,06;0;0,02;0;0,14;0,1;0;0,2;0,06;0,12;0,06;0,06;;1,52;0,080679406
"Bacipl""""";0;0;0,02;0,02;0;0;0;0;0;0,06;0,06;0,04;0,02;0,02;0;0;0;0,02;0;0;0;0,06;0,02;0,06;0;;0,4;0,021231423
"Bird""""";0;0;0;0;0;0;0;0;0,02;0;0,06;0;0;0;0;0,02;0,06;0;0,04;0;0,06;0;0;0;0;;0,26;0,013800425
"Epiph""""";0,04;0,04;0,04;0;0,04;0,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,2;0,010615711
"Grass""""";0,04;0,04;0,04;0;0;0,04;0;0,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,2;0,010615711
"JDicLab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
