Species                            Kbu       Ktd      Kdir    Kindir         K
UlvRig                         0.71849   0.00000   0.51786   0.20063   0.71849
MacroBenthHerbDet              0.00000   2.00000   2.00000   0.00000   2.00000
MacroBenthOmnMixFeed           1.40440   1.77630   2.48611   0.69458   3.18069
ADicLab                        0.00000   7.24800   2.96667   4.28133   7.24800
Grass                          0.25000   0.00000   0.25000   0.00000   0.25000
MacroAlga                      0.96849   0.00000   0.72619   0.24229   0.96849
AMugi                          0.12500   0.62963   0.69444   0.06019   0.75463
Epiph                          7.79759   0.00000   1.39286   6.40473   7.79759
MicroMeioBenth                 6.20410   0.33333   2.75952   3.77791   6.53743
Phyto                          4.63272   0.00000   1.50000   3.13272   4.63272
Zoopl                          4.84618   0.50000   3.88452   1.46165   5.34618
MacroBenthOmnFiltFeed          1.19788   0.65000   1.36786   0.48003   1.84788
JTPhil                         0.52801   0.65000   1.01667   0.16134   1.17801
TPhilCom                       0.40301   0.65000   0.89167   0.16134   1.05301
Bacipl                         4.63272   0.00000   1.50000   3.13272   4.63272
JMugi                          0.33333   0.27963   0.54444   0.06852   0.61296
AtherBoy                       1.12500   2.64102   2.00278   1.76324   3.76602
NektCarnBenth                  0.45833   2.97102   1.61944   1.80991   3.42935
JSparAur                       0.33333   1.17450   0.86944   0.63839   1.50783
JDicLab                        0.00000   0.15000   0.10000   0.05000   0.15000
MacroBenthDet                  2.99788   0.16667   2.17619   0.98836   3.16455
MacroBenthOmn                  0.66806   2.46401   1.80278   1.32929   3.13207
ZosOph                         0.25000   3.14089   1.38611   2.00478   3.39089
ASparAur                       0.00000   6.41967   2.34444   4.07522   6.41967
Bird                           0.00000   4.18233   2.20000   1.98233   4.18233
