"TI3";""UlvRig"";""MacroBenthHerbDet"";""MacroBenthOmnMixFeed"";""Grass"";""MacroAlga"";""Epiph"";""MicroMeioBenth"";""AMugi"";""ADicLab"";""Phyto"";""Zoopl"";""MacroBenthOmnFiltFeed"";""JTPhil"";""TPhilCom"";""Bacipl"";""JMugi"";""AtherBoy"";""NektCarnBenth"";""JSparAur"";""MacroBenthDet"";""MacroBenthOmn"";""ZosOph"";""ASparAur"";""Bird"";;SUM
""UlvRig"";"223,38";"10012758122,35";"2669395856,25";"63120,19";"278,81";"614604033,83";"2946183996,97";"1873875113,83";"113522403,57";"756594298,23";"265520606,81";"210506350,46";"2221710,18";"12994253,00";"658237551,06";"103433,62";"179780272,36";"135351912,91";"64699,62";"491964481,27";"299804902,64";"81985249,88";"42938703,95";"2070851,34";;"21370542426,52"
""MacroBenthHerbDet"";"35044653428,23";"322174530413,91";"1896312728353,84";"15276584139798,40";"39154798888,01";"53419678604276,50";"3268795525976,06";"5287462869591,96";"1065037107784,22";"623962392391,34";"243176662603,45";"628882650769,66";"1150519738,93";"1841347114,15";"1096827601514,10";"172461293,50";"4341389338246,31";"1100972458632,25";"318860622,29";"3296594951171,02";"1999597162242,72";"2369128869370,31";"218809367782,54";"70804321,50";;"96533140406325,20"
""MacroBenthOmnMixFeed"";"17351073065,63";"3521723638371,42";"2077123339875,23";"6469241309431,31";"20320186957,25";"24708609845894,90";"4639070030059,10";"3145545952291,89";"825044256523,76";"4704344930719,15";"8268686345293,53";"8919381670022,05";"37679385488,67";"230460176123,90";"5149645519644,78";"1115264982,21";"2602951764477,31";"742082379270,97";"240854612,21";"2018876180436,34";"1618986742285,25";"1374235229784,09";"368119139314,43";"2134323272,31";;"81462969538197,70"
""Grass"";"31560,10";"2182369162828,34";"497633946879,33";"18094145,19";"31560,10";"10884153250,71";"608549710466,94";"301671631816,91";"22577083847,36";"0,00";"20078790126,68";"3410812930,81";"0,00";"0,00";"0,00";"0,00";"2198875348,54";"1097203212,96";"2389588,64";"14572239672,66";"8217197950,09";"4263977776,49";"162189724,36";"267833060,53";;"3677975355746,76"
""MacroAlga"";"278,81";"11187085396,57";"3126182608,81";"63120,19";"361,38";"896787318,65";"3349075422,09";"2275892709,35";"130534469,84";"1126842571,84";"361179621,98";"307697480,97";"3308930,05";"19353142,76";"980353799,46";"154050,08";"264004141,57";"199714914,42";"92281,85";"707836715,51";"432490321,25";"114826633,97";"63674386,34";"2627027,54";;"25549777705,28"
""Epiph"";"1536510084,57";"38156913288768,90";"9503311479190,34";"54420766253,57";"2241968296,63";"2486191831870,87";"12568464172447,60";"6277104533739,33";"597240756525,84";"960753152026,58";"668794046505,37";"600799340219,44";"5328832281,86";"24931346605,09";"837498547761,90";"684633057,05";"667539386306,54";"349590907079,87";"161542008,28";"1224188977757,00";"830928170257,45";"369575772160,22";"92928681676,38";"6533558276,65";;"76287662201157,40"
""MicroMeioBenth"";"13257827986,37";"4202737104826,37";"3211663866964,00";"5476947394202,48";"15070839399,42";"22623235510405,70";"3003591841330,36";"5086342063946,77";"536513397841,20";"3609937939880,98";"840101326248,57";"779672603429,43";"4543465980,60";"20682491970,92";"2925972380836,95";"414390619,70";"2389935989048,87";"1074766428721,26";"375935589,10";"3382962431308,71";"2080549909803,62";"1150851687265,41";"304042933204,26";"2729927571,84";;"62736899688382,90"
""AMugi"";"4684687784,58";"3776759192565,69";"1209825366266,11";"1508358159084,57";"5689731773,36";"6277104533739,33";"2825745591081,54";"1156694374406,64";"305983862695,30";"49290921,07";"147580322388,37";"302076512302,22";"2252729003,94";"7410012464,14";"103159101,24";"451762989,92";"723972931162,11";"205828161987,13";"62199349,56";"573094841628,32";"440530907705,98";"408806005227,33";"52100376860,11";"1243399568,62";;"19936408112057,20"
""ADicLab"";"454089614,30";"1217185266039,11";"507719542476,16";"180616670778,88";"522137879,34";"955585210441,34";"476900798081,07";"489574180312,47";"35755595636,73";"631706759277,71";"620907780177,28";"488772231175,42";"3181448202,98";"18689668397,43";"549418208204,62";"75681450,20";"153917059250,99";"86706763177,34";"35079712,21";"274865794121,66";"187015219644,88";"70034989207,64";"38626172127,94";"621532452,00";;"6988887877839,66"
""Phyto"";"1513188596,47";"356549938509,34";"1447490747913,58";"0,00";"2253685143,67";"768602521621,27";"1604416862169,33";"39432736,85";"315853379638,85";"47115233088324,20";"168395754347119,00";"178435220503883,00";"742081951857,49";"4835148502483,69";"59633207669643,20";"5349566567,74";"2818714110496,80";"549453446479,28";"523015940,12";"609723121218,56";"2394898628127,29";"572726262283,90";"1794690712912,15";"5040620383,83";;"472404485304049,00"
""Zoopl"";"1460363337,48";"382134755519,71";"6996580753709,91";"220866691393,52";"1986487920,88";"1471346902311,81";"1026790509859,36";"324676709254,41";"853748197743,76";"463088324454578,00";"90358626240335,60";"149241962363980,00";"320082538450,28";"1763810441963,16";"579941569245234,00";"51815228763,76";"22632247034342,80";"3974031326146,38";"4646981211,59";"445812092695,44";"21241705898100,80";"3806628716006,40";"17707574396547,10";"160808154,84";;"1365858589137560,00"
""MacroBenthOmnFiltFeed"";"842025401,83";"718723029451,04";"5488850258475,11";"27286503446,49";"1230789923,89";"961278944351,10";"693042314159,49";"483322419683,56";"488772231175,42";"356870441007765,00";"108539608991985,00";"90380265275400,80";"303501087234,13";"1645713050380,20";"345487352638323,00";"26035773730,29";"11344722328356,50";"3628815749103,33";"2398477515,77";"533921686765,55";"22061553314223,30";"3956036002734,64";"18195331677083,20";"4815028112,00";;"971843860604781,00"
""JTPhil"";"6665130,53";"986159776,22";"17390485610,16";"0,00";"9926790,15";"6394598738,23";"3028977320,40";"2703274804,73";"2386086152,23";"1113122927786,24";"174590475518,34";"227625815425,60";"425529692,24";"1786047713,84";"1280027132496,22";"109275828,41";"48093805291,15";"10626784916,32";"10027621,07";"2624984652,98";"58572705372,72";"10725623727,65";"47858142160,60";"9142995,12";;"3009114595521,15"
""TPhilCom"";"32485632,50";"1315247938,68";"88638529278,42";"0,00";"48382856,91";"24931346605,09";"11490273317,18";"7410012464,14";"11681042748,39";"6043935628104,61";"801732019074,17";"1028570656487,63";"1488373094,87";"5045590374,18";"6638455821101,22";"548689467,48";"240348395448,72";"57695770801,82";"49739534,32";"7870542462,75";"331497350620,53";"59905729642,68";"279378166808,11";"22377512,04";;"15642092171376,40"
""Bacipl"";"1316475102,13";"626758629436,63";"1584506313736,86";"0,00";"1960707598,92";"669998838209,52";"1300432169260,87";"82527280,99";"274709104102,31";"59633207669643,30";"210887843361903,00";"172743676319161,00";"853351421664,15";"5310764656880,98";"43185806964867,20";"2342251024,28";"1308670643935,32";"761227229159,27";"303456736,21";"609993806447,61";"4843405090065,94";"1041475195940,44";"3708488082835,15";"10553145344,91";;"509360874060338,00"
""JMugi"";"155150,43";"73911982,93";"257368842,05";"0,00";"231075,11";"410779834,23";"138130206,57";"271057793,95";"28380543,83";"4012174925,80";"14131426026,48";"9763415148,86";"54637914,20";"329213680,49";"1756688268,21";"37,92";"84475888,34";"119368789,20";"33027,56";"268195469,68";"504834054,35";"106034567,76";"303031756,49";"1168174,11";;"32614713158,55"
""AtherBoy"";"988791497,97";"6822183245815,63";"2202497646865,42";"24187628833,92";"1452022778,66";"1468586649874,38";"2921032875504,18";"1592740448556,65";"211635956470,10";"7751463803866,19";"22632247034342,80";"15598993201490,20";"88171976367,11";"528766469987,19";"3598844270822,14";"309744923,93";"377852296883,73";"305529725309,41";"96010755,07";"735769890429,34";"1146661023255,94";"322551446402,41";"594127761849,73";"3526933643,12";;"68930216856525,30"
""NektCarnBenth"";"609083608,08";"1415536018241,46";"513749339495,28";"9874828916,67";"898717114,88";"629263632743,76";"1074766428721,26";"370490691576,83";"97545108574,50";"1236270254578,38";"3251480175937,95";"4082417717741,25";"15940177374,48";"103852387443,28";"1712761265608,36";"358106367,59";"249978866162,25";"86201451936,60";"40434954,05";"224301498821,17";"210377318565,33";"101212480806,37";"54925086045,11";"745083743,32";;"15443596155078,20"
""JSparAur"";"161749,04";"227757587,35";"92636389,31";"11947943,22";"230704,63";"161542008,28";"208853105,06";"62199349,56";"21924820,13";"653769925,15";"2112264187,08";"1499048447,36";"8356350,89";"49739534,32";"379320920,27";"55045,93";"43641252,31";"22463863,36";"6816,97";"43800424,70";"89013148,32";"31717511,18";"48121067,20";"232960,31";;"5768805111,93"
""MacroBenthDet"";"2213840165,71";"4238479222934,16";"1397683509532,85";"131150157053,92";"3185265219,81";"2203540159962,61";"3382962431308,71";"1031570714930,98";"309224018386,86";"1371877022741,77";"364755348569,00";"600661897611,25";"3937476979,48";"14166976432,95";"1372486064507,11";"804586409,03";"601993546714,92";"224301498821,17";"78840764,46";"564149034983,97";"553487850814,24";"318146203926,84";"118822137339,77";"1823197644,34";;"18811501003755,90"
""MacroBenthOmn"";"1199219610,58";"2285253899705,96";"996299533714,00";"65737583600,73";"1729961285,01";"1329485072411,91";"1849377697603,22";"704849452329,57";"187015219644,88";"4789797256254,58";"15448513380437,00";"22061553314223,20";"78096940496,96";"530395760992,85";"9686810180131,88";"1346224144,93";"833935289640,68";"187002060946,96";"142421037,31";"491989200723,77";"324931196570,65";"171384401511,08";"43461041409,49";"1096267669,70";;"62071402576096,90"
""ZosOph"";"368933624,44";"3046022832047,54";"951393620619,75";"38375799988,45";"516719852,84";"665236389888,39";"1150851687265,41";"735850809409,19";"78789362858,59";"1288634090138,77";"3114514404005,24";"4450540503076,47";"16088435591,48";"107830313356,82";"2343319190865,98";"318103703,28";"263905728874,70";"101212480806,37";"57091520,12";"318146203926,84";"192807451699,96";"70683134633,18";"24173308313,88";"829379214,74";;"18960465975282,40"
""ASparAur"";"150285463,84";"218809367782,54";"198217998092,39";"1135328070,54";"222860352,17";"130100154346,94";"236477836936,64";"72940527604,16";"33797900611,95";"3140708747596,27";"11268456434166,30";"15920915217447,80";"55834499187,37";"391129433531,35";"6489854144961,50";"707074098,47";"378081302995,28";"42719511368,42";"67369494,08";"92417217930,93";"38028411233,30";"18801462021,91";"7813349742,48";"100032496,42";;"38737486467533,10"
""Bird"";"3106277,01";"30344709,21";"492536139,76";"803499181,60";"3940541,32";"3920134965,99";"909975857,28";"746039741,17";"233074669,50";"3780465287,87";"43856769,50";"1805635542,00";"4571497,56";"13426507,22";"7914859008,68";"1168174,11";"961890993,58";"248361247,77";"139776,19";"607732548,11";"411100376,14";"276459738,25";"42871069,89";"754,55";;"23255191374,27"

