TI3;"UlvRig""""";"MacroBenthHerbDet""""";"MacroBenthOmnMixFeed""""";"Grass""""";"MacroAlga""""";"Epiph""""";"MicroMeioBenth""""";"AMugi""""";"ADicLab""""";"Phyto""""";"Zoopl""""";"MacroBenthOmnFiltFeed""""";"JTPhil""""";"TPhilCom""""";"Bacipl""""";"JMugi""""";"AtherBoy""""";"NektCarnBenth""""";"JSparAur""""";"MacroBenthDet""""";"MacroBenthOmn""""";"ZosOph""""";"ASparAur""""";"Bird""""";;SUM;;;
WI3;"UlvRig""""";"MacroBenthHerbDet""""";"MacroBenthOmnMixFeed""""";"Grass""""";"MacroAlga""""";"Epiph""""";"MicroMeioBenth""""";"AMugi""""";"ADicLab""""";"Phyto""""";"Zoopl""""";"MacroBenthOmnFiltFeed""""";"JTPhil""""";"TPhilCom""""";"Bacipl""""";"JMugi""""";"AtherBoy""""";"NektCarnBenth""""";"JSparAur""""";"MacroBenthDet""""";"MacroBenthOmn""""";"ZosOph""""";"ASparAur""""";"Bird""""";;SUM;;;
"ADicLab""""";454089614,3;1,21719E+12;5,08059E+11;1,80617E+11;522137879,3;9,55585E+11;4,77282E+11;4,89574E+11;35755595637;6,31707E+11;6,20908E+11;4,89429E+11;3189508753;18716822968;5,49418E+11;75681450,2;1,54059E+11;86749981950;35079712,21;2,74996E+11;1,87188E+11;70034989208;38626172128;621532452;;6990789469791,91;0,00;;973609553993,45
"AMugi""""";4684687785;3,77676E+12;1,21052E+12;1,50836E+12;5689731773;6,2771E+12;2,82575E+12;1,15669E+12;3,05984E+11;49290921,07;1,4758E+11;3,02077E+11;2252729004;7410012464;103159101,2;451762989,9;7,23973E+11;2,05828E+11;62199349,56;5,73095E+11;4,43087E+11;4,08806E+11;52100376860;1243399569;;19939663106325,50;0,01;;973609553993,45
"ASparAur""""";150285463,8;2,18809E+11;1,99029E+11;1135328071;222860352,2;1,301E+11;2,36544E+11;72940527604;33797900612;3,14071E+12;1,12685E+13;1,5921E+13;55835893017;3,91134E+11;6,48985E+12;707074098,5;3,78106E+11;42726984757;67369494,08;92439788411;38213003884;18801462022;7813349742;100032496,4;;38738722412132,90;0,01;;
"AtherBoy""""";990343062;6,82218E+12;2,2033E+12;24187628834;1454333619;1,46937E+12;2,92189E+12;1,59274E+12;2,11832E+11;7,75146E+12;2,26323E+13;1,55999E+13;88181810357;5,288E+11;3,59884E+12;309744923,9;3,782E+11;3,05633E+11;96010755,07;7,36E+11;1,14796E+12;3,2266E+11;5,94166E+11;3526933643;;68935952677415,40;0,02;;
"Bacipl""""";1316475102;6,26759E+11;1,58701E+12;0;1960707599;6,69999E+11;1,30043E+12;82527280,99;2,74709E+11;5,96332E+13;2,10888E+14;1,72744E+14;8,53351E+11;5,31076E+12;4,31858E+13;2342251024;1,30867E+12;7,61227E+11;303456736,2;6,09994E+11;4,84504E+12;1,04148E+12;3,70849E+12;10553145345;;509365020926218,00;0,13;;
"Bird""""";3106277,01;30344709,21;493343433,2;803499181,6;3940541,32;3920134966;909975857,3;746039741,2;233074669,5;3780465288;43856769,5;1805635542;4571497,56;13426507,22;7914859009;1168174,11;961890993,6;248361247,8;139776,19;607732548,1;413222309,3;276459738,3;42871069,89;754,55;;23258120600,86;0,00;;
"Epiph""""";1536510085;3,81569E+13;9,50492E+12;54420766254;2241968297;2,48619E+12;1,25694E+13;6,2771E+12;5,97241E+11;9,60753E+11;6,68794E+11;6,0245E+11;5349095942;24999611300;8,37499E+11;684633057,1;6,67897E+11;3,497E+11;161542008,3;1,22452E+12;8,32722E+11;3,69576E+11;92928681676;6533558277;;76294560435614,30;0,02;;
"Grass""""";31560,1;2,18237E+12;4,97634E+11;18094145,19;31560,1;10884153251;6,0855E+11;3,01672E+11;22577083847;0;20078790127;3410812931;0;0;0;0;2198875349;1097203213;2389588,64;14572239673;8217197950;4263977776;162189724,4;267833060,5;;3677975355746,76;0,00;;
"JMugi""""";155150,43;73911982,93;257462438,4;0;231075,11;410779834,2;138130206,6;271057794;28380543,83;4012174926;14131426026;9763415149;54637914,2;329213680,5;1756688268;37,92;84475888,34;119368789,2;33027,56;268195469,7;505027167,1;106034567,8;303031756,5;1168174,11;;32614999867,65;0,00;;
"JSparAur""""";161749,04;227757587,4;92710238,84;11947943,22;230704,63;161542008,3;208853105,1;62199349,56;21924820,13;653769925,2;2112264187;1499048447;8356350,89;49739534,32;379320920,3;55045,93;43641252,31;22463863,36;6816,97;43800424,7;89188535,37;31717511,18;48121067,2;232960,31;;5769054348,50;0,00;;
"JTPhil""""";6713070,53;986159776,2;17390486630;0;9998190,15;6418915130;3041113280;2703274805;2392131565;1,11312E+12;1,74592E+11;2,27628E+11;425529692,2;1786047714;1,28003E+12;109275828,4;48099169286;10628347670;10027621,07;2627172213;58584804786;10728987688;47859336872;9142995,12;;3009186487929,62;0,00;;
"MacroAlga""""";278,81;11187085397;3127138820;63120,19;361,38;896787318,7;3350202212;2275892709;130534469,8;1126842572;361179622;309635912,2;3332730,05;19433320,76;980353799,5;154050,08;264424294,3;199842524,4;92281,85;708222112,2;432490531,3;114826634;63674386,34;2627027,54;;25554836484,69;0,00;;
"MacroBenthDet""""";2215004614;4,23848E+12;1,39884E+12;1,3115E+11;3186999505;2,20413E+12;3,38341E+12;1,03157E+12;3,09371E+11;1,37188E+12;3,64785E+11;6,00985E+11;3940758319;14178030688;1,37249E+12;804586409;6,02182E+11;2,24357E+11;78840764,46;5,64255E+11;5,56051E+11;3,18228E+11;1,18851E+11;1823197644;;18817239133902,50;0,00;;
"MacroBenthHerbDet""""";35044653428;3,22175E+11;1,89642E+12;1,52766E+13;39154798888;5,34197E+13;3,2688E+12;5,28746E+12;1,06504E+12;6,23962E+11;2,43177E+11;6,28883E+11;1150519739;1841347114;1,09683E+12;172461293,5;4,34139E+12;1,10097E+12;318860622,3;3,29659E+12;2,01005E+12;2,36913E+12;2,18809E+11;70804321,5;;96543700701566,00;0,02;;
"MacroBenthOmn""""";1199220175;2,2972E+12;1,00268E+12;65737583601;1729962125;1,33236E+12;1,85372E+12;7,0894E+11;1,87188E+11;4,79356E+12;1,54495E+13;2,2063E+13;78113073047;5,30478E+11;9,69009E+12;1346739112;8,34882E+11;1,87684E+11;142701656,6;4,94268E+11;3,27631E+11;1,71719E+11;43672004439;1101926158;;62117878389571,20;0,02;;
"MacroBenthOmnFiltFeed""""";847231474,3;7,18723E+11;5,48898E+12;27286503446;1238543649;9,6392E+11;6,94505E+11;4,83322E+11;4,89429E+11;3,5687E+14;1,0854E+14;9,03808E+13;3,03504E+11;1,64572E+12;3,45487E+14;26035773730;1,13454E+13;3,629E+12;2398477516;5,34209E+11;2,2063E+13;3,9564E+12;1,81955E+13;4815028112;;971852415636129,00;0,25;;
"MacroBenthOmnMixFeed""""";17355246243;3,52192E+12;2,07982E+12;6,46924E+12;20326402327;2,47128E+13;4,64081E+12;3,14736E+12;8,25595E+11;4,72295E+12;8,27263E+12;8,9196E+12;37679387699;2,3046E+11;5,1578E+12;1115670566;2,6039E+12;7,42874E+11;241046621;2,02055E+12;1,62935E+12;1,37502E+12;3,69625E+11;2137821544;;81521156303374,90;0,02;;
"MicroMeioBenth""""";13261232502;4,20274E+12;3,21287E+12;5,47695E+12;15075909954;2,2625E+13;3,00532E+12;5,08634E+12;5,36943E+11;3,60994E+12;8,40187E+11;7,81318E+11;4561669921;20743817832;2,92597E+12;414390619,7;2,39064E+12;1,07498E+12;375935589,1;3,38341E+12;2,08543E+12;1,15109E+12;3,04128E+11;2729927572;;62750366584769,00;0,02;;
"NektCarnBenth""""";609469172,6;1,41554E+12;5,14298E+11;9874828917;899291359,9;6,29459E+11;1,07498E+12;3,70491E+11;97593729694;1,23627E+12;3,25149E+12;4,08263E+12;15942521504;1,0386E+11;1,71276E+12;358106367,6;2,50063E+11;86226589284;40434954,05;2,24357E+11;2,11145E+11;1,0124E+11;54934694687;745083743,3;;15445796723837,20;0,00;;
"Phyto""""";1513188596;3,5655E+11;1,45321E+12;0;2253685144;7,68603E+11;1,60442E+12;39432736,85;3,15853E+11;4,71152E+13;1,68396E+14;1,78435E+14;7,42082E+11;4,83515E+12;5,96332E+13;5349566568;2,81871E+12;5,49453E+11;523015940,1;6,09723E+11;2,39678E+12;5,72726E+11;1,79469E+12;5040620384;;472412092482268,00;0,12;;
"TPhilCom""""";32620217;1315247939;88638532142;0;48583301,91;24999611300;11524343240;7410012464;11698014355;6,04394E+12;8,01735E+11;1,02858E+12;1488373095;5045590374;6,63846E+12;548689467,5;2,40363E+11;57700158002;49739534,32;7876683716;3,31548E+11;59915173466;2,79382E+11;22377512,04;;15642311143296,80;0,00;;
"UlvRig""""";223,38;10012758122;2670037883;63120,19;278,81;614604033,8;2946940556;1873875114;113522403,6;756594298,2;265520606,8;211807868,6;2237690,18;13048086,8;658237551,1;103433,62;180062374,9;135437593,9;64699,62;492223247,6;299805043,6;81985249,88;42938703,95;2070851,34;;21373939035,55;0,00;;
"Zoopl""""";1460363337;3,82135E+11;6,99991E+12;2,20867E+11;1986487921;1,47135E+12;1,0269E+12;3,24677E+11;8,53748E+11;4,63088E+14;9,03586E+13;1,49242E+14;3,20085E+11;1,76382E+12;5,79942E+14;51815228764;2,26323E+13;3,97404E+12;4646981212;4,45848E+11;2,1243E+13;3,80663E+12;1,77076E+13;160808154,8;;1365863644000730,00;0,35;;
"ZosOph""""";368933624,4;3,04602E+12;9,51937E+11;38375799988;516719852,8;6,65236E+11;1,15109E+12;7,35851E+11;78789362859;1,28863E+12;3,11451E+12;4,45095E+12;16093481531;1,07847E+11;2,34332E+12;318103703,3;2,63995E+11;1,0124E+11;57091520,12;3,18228E+11;1,93183E+11;70683134633;24173308314;829379214,7;;18962254674414,80;0,00;;
;;;;;;;;;;;;;;;;;;;;;;;;;;3908989297595370,00;1,00;;
