TI3;"UlvRig""""";"MacroBenthHerbDet""""";"MacroBenthOmnMixFeed""""";"Grass""""";"MacroAlga""""";"Epiph""""";"MicroMeioBenth""""";"AMugi""""";"ADicLab""""";"Phyto""""";"Zoopl""""";"MacroBenthOmnFiltFeed""""";"JTPhil""""";"TPhilCom""""";"Bacipl""""";"JMugi""""";"AtherBoy""""";"NektCarnBenth""""";"JSparAur""""";"MacroBenthDet""""";"MacroBenthOmn""""";"ZosOph""""";"ASparAur""""";"Bird""""";;SUM;
"ADicLab""""";0;0,06;0,08;0;0;0,02;0,08;0,02;0;0,02;0,04;0,06;0,02;0;0,02;0;0,02;0,02;0;0,06;0,04;0,02;0,06;0;;0,67;0,032956222
"AMugi""""";0,02;0,04;0,08;0,02;0,02;0,06;0,04;0;0,02;0;0,02;0;0,02;0;0;0;0,06;0,04;0,02;0,02;0,02;0,06;0;0;;0,58;0,028529267
"ASparAur""""";0;0,02;0,06;0;0;0;0,04;0;0,06;0,06;0,08;0,1;0,04;0,02;0,06;0;0,02;0,04;0;0,04;0,08;0,04;0;0;;0,79;0,038858829
"AtherBoy""""";0,02;0,04;0,21;0,02;0,02;0,06;0,15;0,06;0,02;0;0,15;0,08;0,08;0,06;0;0,02;0;0,17;0,1;0,19;0,04;0,15;0,02;0,06;;1,73;0,085095917
"Bacipl""""";0;0;0,02;0;0;0;0;0;0,02;0,06;0,06;0,06;0,04;0,02;0;0;0;0,02;0;0;0,06;0,02;0,06;0;;0,46;0,02262666
"Bird""""";0;0;0;0;0;0;0,02;0;0;0;0,06;0;0;0;0;0,02;0,06;0;0,04;0,06;0;0;0;0;;0,27;0,013280866
"Epiph""""";0,02;0,04;0,08;0,02;0,02;0;0,04;0,06;0,02;0;0,02;0;0,02;0;0;0;0,06;0,04;0,02;0,04;0,02;0,06;0;0;;0,6;0,029513035
"Grass""""";0,02;0,02;0,02;0;0,02;0,02;0;0,02;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0,02;0;0;;0,17;0,008362027
"JMugi""""";0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0,02;0;0,02;0,02;0;0;0;0,02;;0,1;0,004918839
"JSparAur""""";0;0;0,06;0;0;0,02;0,06;0,02;0;0;0,06;0;0;0;0;0,02;0,1;0,04;0;0,1;0,04;0,06;0;0,04;;0,65;0,031972455
"JTPhil""""";0;0;0,08;0;0;0,02;0,02;0,02;0,02;0,04;0,13;0,15;0;0,13;0,04;0;0,08;0,08;0;0,02;0,04;0,04;0,04;0;;0,96;0,047220856
