dl
n=20
format=fullmatrix
labels:	RaySha	MorEel	SnaGru	LizFish	CarangO	Lscian	Squid	CatFish	Bird	FlatFish	PreCrab	SdemFish	Shrimp	Spela	EndBenth	Zoopl	EpBenth	Phyto	MicroPhyto	Mangr
data:
0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.01	0.029	0	0.067	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.005	0.023	0.034	0	0	0.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.005	0	0.172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.013	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.029	0.086	0	0.73	0.06	0	0.2	0.163	0	0	0.468	0	0	0	0	0	0	0	0
0.025	0.029	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.02	0.046	0.086	0.067	0	0.12	0	0	0	0	0	0.78	0	0	0	0	0	0	0	0
0.038	0.058	0.086	0.133	0.183	0.06	0	0	0.13	0.1	0	0	0	0	0	0	0	0	0	0
0.04	0.081	0.258	0.266	0.073	0.12	0	0.4	0	0	0.55	0	0	0	0	0	0	0	0	0
0.013	0.029	0.172	0.266	0.219	0.06	2.56	0.2	0.195	1	0.825	1.872	0	0	0	0	0	0	0	0
0.025	0.029	0.31	0.266	1.825	0.12	8.32	0.4	1.463	0.25	0	0	0	0	0	0	0	0	0	0
0	0	0.086	0	0	0	0	0	0.325	0.25	0.55	0.78	6.3	0	0	0	0	0	0	0
0	0	0.086	0	0.438	0.084	0.64	0	0	0	0	1.56	10.5	29.12	2.625	0	3	0	0	0
0.05	0.173	0.344	0.266	0.183	0.42	0	0.8	0.975	4	2.75	7.8	4.2	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	43.68	7.35	480	180	0	0	0
0	0	0	0	0	0	0	0	0	0	0	1.56	4.2	0	5.25	0	45	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	4.2	0	2.625	0	3	0	0	0
