"TI3";""MarMamm"";""Tuna"";""PelaSha"";""PelaPred"";""Spela"";""Squid"";""Zoopl"";""Bird"";""BenthFish"";""FlatFish"";""PhytoEater"";""Mull"";""Crab"";""Scrus"";""Turtle"";""Cepha"";""GastroBivalv"";""Anne"";""Echino"";""BenthAlga"";""BillFish"";""BenthPred"";""DemSha"";""GroupSnap"";""Ray"";""Spar"";""BenthFeed"";""Shri"";""MeioBenth"";""Phyto"";;SUM
""Echino"";"0,01";"0,01";"0,02";"0,01";"0,01";"0,01";"0,02";"0,02";"0,04";"0,05";"0,02";"0,03";"0,05";"0,05";"0,07";"0,06";"0,05";"0,06";"0,04";"0,06";"0,01";"0,03";"0,06";"0,04";"0,06";"0,05";"0,05";"0,03";"0,07";"0,02";;"1,10"
""BenthAlga"";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,04";"0,02";"0,02";"0,02";"0,04";"0,06";"0,04";"0,05";"0,07";"0,03";"0,05";"0,05";"0,05";"0,04";"0,01";"0,02";"0,02";"0,02";"0,03";"0,04";"0,04";"0,05";"0,07";"0,03";;"0,97"
""BillFish"";"0,04";"0,07";"0,04";"0,05";"0,05";"0,05";"0,01";"0,02";"0,01";"0,00";"0,02";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,04";"0,01";"0,00";"0,01";"0,00";"0,01";"0,00";"0,00";"0,00";"0,01";;"0,47"
""BenthPred"";"0,01";"0,01";"0,04";"0,02";"0,01";"0,01";"0,02";"0,02";"0,04";"0,04";"0,05";"0,05";"0,04";"0,02";"0,02";"0,04";"0,02";"0,02";"0,02";"0,02";"0,01";"0,03";"0,06";"0,04";"0,02";"0,04";"0,04";"0,02";"0,01";"0,02";;"0,81"
""DemSha"";"0,01";"0,01";"0,04";"0,02";"0,01";"0,01";"0,02";"0,02";"0,04";"0,04";"0,02";"0,02";"0,04";"0,02";"0,02";"0,05";"0,02";"0,02";"0,04";"0,02";"0,01";"0,06";"0,03";"0,04";"0,05";"0,04";"0,04";"0,02";"0,02";"0,01";;"0,79"
""GroupSnap"";"0,03";"0,03";"0,05";"0,06";"0,05";"0,03";"0,04";"0,03";"0,05";"0,05";"0,06";"0,06";"0,04";"0,05";"0,02";"0,03";"0,02";"0,03";"0,05";"0,03";"0,03";"0,06";"0,06";"0,04";"0,03";"0,05";"0,05";"0,05";"0,03";"0,03";;"1,21"
""Ray"";"0,01";"0,01";"0,04";"0,01";"0,01";"0,01";"0,01";"0,01";"0,04";"0,04";"0,01";"0,02";"0,04";"0,02";"0,02";"0,02";"0,04";"0,05";"0,05";"0,02";"0,01";"0,02";"0,05";"0,02";"0,03";"0,02";"0,04";"0,04";"0,06";"0,01";;"0,80"
""Spar"";"0,03";"0,02";"0,05";"0,06";"0,05";"0,02";"0,04";"0,03";"0,05";"0,05";"0,03";"0,03";"0,05";"0,05";"0,04";"0,06";"0,05";"0,05";"0,06";"0,05";"0,03";"0,06";"0,07";"0,05";"0,04";"0,04";"0,06";"0,05";"0,03";"0,03";;"1,33"
""BenthFeed"";"0,01";"0,01";"0,04";"0,02";"0,02";"0,01";"0,04";"0,02";"0,05";"0,03";"0,02";"0,03";"0,05";"0,05";"0,04";"0,06";"0,05";"0,05";"0,06";"0,05";"0,01";"0,06";"0,06";"0,05";"0,06";"0,05";"0,04";"0,05";"0,03";"0,02";;"1,16"
""Shri"";"0,01";"0,01";"0,02";"0,01";"0,02";"0,01";"0,04";"0,02";"0,04";"0,05";"0,02";"0,03";"0,05";"0,05";"0,03";"0,05";"0,06";"0,05";"0,03";"0,06";"0,01";"0,03";"0,03";"0,04";"0,06";"0,04";"0,05";"0,04";"0,07";"0,06";;"1,10"
""MeioBenth"";"0,00";"0,00";"0,01";"0,00";"0,01";"0,00";"0,01";"0,01";"0,02";"0,04";"0,01";"0,05";"0,02";"0,04";"0,02";"0,02";"0,04";"0,05";"0,04";"0,05";"0,00";"0,01";"0,01";"0,01";"0,05";"0,02";"0,02";"0,04";"0,03";"0,02";;"0,66"
""Phyto"";"0,02";"0,02";"0,01";"0,02";"0,04";"0,05";"0,03";"0,02";"0,01";"0,01";"0,05";"0,05";"0,01";"0,04";"0,01";"0,01";"0,03";"0,01";"0,01";"0,02";"0,02";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,03";"0,02";"0,03";;"0,64"


"WI3";""MarMamm"";""Tuna"";""PelaSha"";""PelaPred"";""Spela"";""Squid"";""Zoopl"";""Bird"";""BenthFish"";""FlatFish"";""PhytoEater"";""Mull"";""Crab"";""Scrus"";""Turtle"";""Cepha"";""GastroBivalv"";""Anne"";""Echino"";""BenthAlga"";""BillFish"";""BenthPred"";""DemSha"";""GroupSnap"";""Ray"";""Spar"";""BenthFeed"";""Shri"";""MeioBenth"";""Phyto"";;SUM
""MarMamm"";"14354241,68";"41135060,66";"129469,10";"6065686,74";"1953799679,83";"309409847,99";"3956905792,17";"522508,71";"1505643,93";"1438449,59";"2449190964,00";"24033300,03";"12906300,57";"101030198,34";"331044,67";"25275167,58";"309100014,05";"13454828,36";"1534300,72";"198778349,24";"843654,23";"74728,74";"70068,00";"206557,54";"25568,98";"2822800,10";"11499539,48";"41459568,98";"13750547,09";"4862464691,44";;"14354118572,53"
""Tuna"";"47990904,10";"108080188,47";"502212,61";"14001533,13";"11195153387,24";"1420384634,84";"25663949198,14";"2107460,44";"6390390,30";"6326395,65";"15968569804,10";"150481562,06";"52821165,87";"657487857,76";"1525616,99";"110234844,55";"1941929207,34";"86574685,89";"23804661,06";"856100901,81";"3406844,84";"314289,13";"328095,33";"829464,58";"128226,76";"12922541,86";"50828068,40";"258339417,12";"88788430,24";"20429402204,93";;"79159704195,53"
""PelaSha"";"345250,94";"1147914,54";"2781,33";"183794,35";"29064618,96";"5157174,66";"56306380,18";"9866,47";"41272,63";"26672,17";"34051752,32";"344303,87";"276676,18";"1592400,85";"5756,93";"449666,21";"4426464,01";"227429,98";"29532,00";"3444243,38";"16944,17";"5403,94";"2837,64";"4115,30";"1345,00";"51865,32";"224932,66";"603860,61";"314917,46";"85068958,74";;"223429132,80"
