TI3;"Cet""""";"SCod""""";"RedFish""""";"Cape""""";"LPelaFeed""""";"PiscSPelaFeed""""";"PlankSPelaFeed""""";"Shri""""";"Lzoopl""""";"HarpSeal""""";"LCod""""";"SPlai""""";"LPlai""""";"Flou""""";"LDemFeed""""";"SDemFeed""""";"LCrus""""";"BenthInv""""";"HoodSeal""""";"GreenHal""""";"GreySeal""""";"Skate""""";"HarbSeal""""";"Bird""""";"Echino""""";"Mollu""""";"Polych""""";"Szoopl""""";"Phyto""""";;SUM
"Bird""""";0,02;0,02;0,02;0,04;0,02;0,04;0,04;0,03;0,02;0,02;0,02;0,04;0,01;0,03;0,02;0,04;0,02;0,04;0,02;0,06;0,02;0,07;0,02;0,03;0,02;0,01;0,02;0,02;0,01;;0,78
"Echino""""";0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,04;0,05;0,03;0,01;0,03;0,04;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,03;0,02;0,02;0,01;0,01;;0,53
"Mollu""""";0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,03;0,04;0,05;0,03;0,01;0,03;0,04;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,03;0,03;0,02;0,02;0,08;;0,65
"Polych""""";0,02;0,04;0,01;0,01;0,06;0,02;0,02;0,04;0,02;0,02;0,04;0,04;0,06;0,04;0,05;0,04;0,05;0,02;0,01;0,02;0,03;0,07;0,02;0,02;0,03;0,03;0,04;0,02;0,09;;0,99
"Szoopl""""";0,03;0,03;0,07;0,04;0,02;0,04;0,03;0,04;0,04;0,02;0,04;0,04;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,02;0,01;0,01;0,02;0,02;0,01;0,02;0,02;0,04;0,09;;0,82
"Phyto""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,05;0,04;0,04;0,03;;0,41
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Cet""""";"SCod""""";"RedFish""""";"Cape""""";"LPelaFeed""""";"PiscSPelaFeed""""";"PlankSPelaFeed""""";"Shri""""";"Lzoopl""""";"HarpSeal""""";"LCod""""";"SPlai""""";"LPlai""""";"Flou""""";"LDemFeed""""";"SDemFeed""""";"LCrus""""";"BenthInv""""";"HoodSeal""""";"GreenHal""""";"GreySeal""""";"Skate""""";"HarbSeal""""";"Bird""""";"Echino""""";"Mollu""""";"Polych""""";"Szoopl""""";"Phyto""""";;SUM
"BenthInv""""";0;0,03;0;0,02;0;0,02;0,05;0,07;0,03;0,03;0,02;0,05;0;0,05;0;0,05;0,05;0;0;0,02;0,03;0;0;0;0,02;0,02;0,02;0;0;;0,59
"Bird""""";0;0;0;0,02;0;0;0,03;0,03;0,02;0;0;0;0;0;0,02;0,03;0,02;0;0,02;0;0,03;0;0;0;0;0;0,02;0;0;;0,24
"Cape""""";0,02;0,07;0,05;0;0,03;0,09;0,14;0,12;0,09;0;0,07;0,03;0;0,03;0,02;0,03;0;0,02;0,03;0,03;0,02;0;0;0,02;0;0;0;0,02;0;;0,93
"Cet""""";0;0;0;0,02;0;0;0,03;0,02;0,03;0;0;0;0;0,02;0;0,02;0;0;0,02;0;0,02;0;0,02;0;0;0;0,02;0,02;0;;0,22
"Echino""""";0;0;0;0;0;0;0;0,02;0,02;0,02;0;0;0;0;0;0;0,02;0,02;0;0;0,02;0;0;0;0;0,02;0,02;0;0;;0,14
