"TI3";""Seal"";""Aherr"";""Jherr"";""Asprat"";""Acod"";""Jcod"";""Jsprat"";""Bmacrof"";""Pmacrof"";""Mesozoopl"";""Microzoopl"";""Baci"";""Sprphyto"";""Suphyto"";""Bmeiof"";;SUM
""Sprphyto"";"0,01";"0,02";"0,02";"0,01";"0,02";"0,02";"0,02";"0,07";"0,10";"0,03";"0,14";"0,08";"0,07";"0,06";"0,05";;"0,72"
""Suphyto"";"0,01";"0,02";"0,02";"0,02";"0,01";"0,01";"0,02";"0,01";"0,11";"0,09";"0,15";"0,10";"0,06";"0,08";"0,00";;"0,71"
""Bmeiof"";"0,00";"0,01";"0,01";"0,00";"0,01";"0,01";"0,01";"0,06";"0,01";"0,00";"0,00";"0,00";"0,02";"0,00";"0,05";;"0,21"


"WI3";""Seal"";""Aherr"";""Jherr"";""Asprat"";""Acod"";""Jcod"";""Jsprat"";""Bmacrof"";""Pmacrof"";""Mesozoopl"";""Microzoopl"";""Baci"";""Sprphyto"";""Suphyto"";""Bmeiof"";;SUM
""Seal"";"0,24";"13143114,70";"19332342,62";"29783113,95";"11734,27";"15117,92";"24545328,51";"56554,40";"16338950,53";"2559715,51";"181542091,84";"0,00";"3582543,73";"727263667,35";"1180280,16";;"1019354555,72"
""Aherr"";"30667267,63";"36696944605,01";"56203528961,23";"42614943712,44";"2803929923,29";"14431599557,51";"62708541268,50";"169797753020,14";"2208640563664,06";"74452685934715,50";"13454425444938,10";"79396863860714,30";"2741616360740,98";"5475101958652,38";"3313923896,76";;"178117935955638,00"
""Jherr"";"45108799,44";"56203528961,23";"85985086881,05";"67502924694,92";"4134360038,43";"20956685398,79";"96192506414,45";"227359870203,12";"3265820160800,31";"110097900345089,00";"19909554312868,50";"117537464435714,00";"4050859718514,82";"8212996040969,05";"1690088313,52";;"263634665173661,00"
""Asprat"";"39710818,60";"24351396407,11";"38573099825,67";"28878370,16";"3645712409,88";"18233421075,88";"35080798069,91";"9187177690,68";"2871814678988,39";"98558405429080,60";"17354924164285,70";"105462931246429,00";"3631781255913,39";"5892328329166,67";"301729047,90";;"233901627027579,00"
""Acod"";"23468,55";"2403368505,68";"3543737175,80";"5468568614,82";"3839212,62";"21389530,16";"4546011684,77";"32491832145,66";"5895406831,69";"659634575,78";"49471880727,89";"0,00";"736169042,89";"133511706468,71";"261922445,33";;"239015490430,36"
""Jcod"";"30235,83";"12369942477,87";"17962873198,96";"27350131613,83";"21389530,16";"45192672,19";"22567632574,71";"203941073203,32";"33009150516,86";"4099478597,23";"267762646082,65";"0,00";"5579131562,60";"667956640790,14";"1788753625,90";;"1264454066682,26"
""Jsprat"";"49090657,02";"53750178230,14";"82450719783,81";"52621197104,87";"4546011684,77";"22567632574,71";"86704199427,80";"73408667376,42";"3586110320841,58";"121904630180406,00";"21815607559691,20";"130435407453571,00";"4502944125389,36";"8572996635300,34";"4033939918,75";;"291197827911959,00"
""Bmacrof"";"131960,26";"169797753020,14";"227359870203,12";"16077560958,69";"37907137503,27";"237931252070,54";"85643445272,49";"764031844,49";"9032679853,87";"14962429414267,60";"98335577546,26";"205462549716533,00";"53741920310445,20";"12073290551157,30";"19254787233319,90";;"306377826665956,00"
""Pmacrof"";"27231584,22";"1577600402617,19";"2332728686285,93";"3589768348735,49";"4912839026,41";"27507625430,71";"2988425267367,98";"6451914181,34";"3941313447587,67";"71060015758503,60";"33805298525562,50";"119426927315973,00";"7079524718734,24";"94299966897758,90";"1215994268520,57";;"341356463247870,00"
""Mesozoopl"";"5972669,52";"74452685934715,50";"110097900345089,00";"172477209500891,00";"769573671,75";"4782725030,10";"142222068543808,00";"14962429414267,60";"99484022061905,00";"215758386085520,00";"3333644279974210,00";"1483025430150000,00";"51987205970140,50";"4292311446944090,00";"36516249327,09";;"9990465139445340,00"
""Microzoopl"";"242056122,45";"7688243111393,20";"11376888178782,00";"17354924164285,70";"32981253818,59";"178508430721,77";"14543738373127,40";"56191758597,86";"27044238820450,00";"1904939588556690,00";"211747914154579,00";"18904038580200100,00";"652031357690710,00";"1461446964029960,00";"5465155274971,43";;"23217945516054300,00"
""Baci"";"0,00";"11342409122959,20";"16791066347959,20";"26365732811607,10";"0,00";"0,00";"21739234575595,20";"29351792816647,60";"23885385463194,60";"211860775735714,00";"4726009645050010,00";"30040313534,08";"1014013955,56";"643290576360784,00";"0,00";;"5710667672611960,00"
""Sprphyto"";"3582543,73";"1174978440317,56";"1736082736506,35";"2723835941935,04";"368084521,44";"2789565781,30";"2251472062694,68";"23032251561619,40";"4247714831240,54";"22280231130060,20";"489023518268033,00";"3042041866,67";"758418256,02";"66444815796054,00";"269662266,86";;"612922132123696,00"
""Suphyto"";"727263667,35";"2346472267993,88";"3519855446129,59";"4419246246875,00";"66755853234,35";"333978320395,07";"4286498317650,17";"5174267379067,40";"56579980138655,30";"1839562048690320,00";"1096085223022470,00";"1929871729082350,00";"66444815796054,00";"215634923126243,00";"0,00";;"5224326520951110,00"
""Bmeiof"";"393426,72";"473417699,54";"241441187,65";"75432261,98";"43653740,89";"298125604,32";"672323319,79";"2750683890474,27";"243198853704,11";"5216607046,73";"1366288818742,86";"0,00";"89887422,29";"0,00";"37194795,43";;"4367320039426,56"

