TI3;"ShaRay""""";"ScomJack""""";"SchoolFishOne""""";"ReefCarnBG""""";"SchoolFishTwo""""";"ReefOmnSM""""";"BigGroup""""";"ReefHerbSM""""";"ReefHerbBG""""";"Bird""""";"Cepha""""";"Echino""""";"Crus""""";"WormMollu""""";"Sess""""";"Zoopl""""";"BenthProd""""";"Decomp""""";"Phyto""""";"Turtle""""";;SUM;;
"WormMollu""""";0,06;0,07;0,07;0,06;0,05;0,07;0,04;0,08;0,04;0,04;0,08;0,08;0,07;0,06;0,08;0,07;0,08;0,1;0,1;0,12;;1,41;;
"Zoopl""""";0,04;0,07;0,07;0,06;0,08;0,07;0,03;0,07;0,04;0,08;0,08;0,07;0,06;0,07;0,07;0,05;0,04;0,1;0,1;0,04;;1,29;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"ShaRay""""";"ScomJack""""";"SchoolFishOne""""";"ReefCarnBG""""";"SchoolFishTwo""""";"ReefOmnSM""""";"BigGroup""""";"ReefHerbSM""""";"ReefHerbBG""""";"Bird""""";"Cepha""""";"Echino""""";"Crus""""";"WormMollu""""";"Sess""""";"Zoopl""""";"BenthProd""""";"Decomp""""";"Phyto""""";"Turtle""""";;SUM;;
"BenthProd""""";1,59011E+11;5,23179E+11;1,78526E+13;8,93028E+13;2,12378E+13;5,41501E+13;1,44261E+12;8,66159E+14;5,37866E+15;16167575629;5,59858E+12;2,6862E+15;3,50405E+14;9,79604E+14;1,44814E+15;6,47923E+14;3,18605E+14;3,72409E+14;1,20145E+14;4,8897E+11;;13359029351140100,00;thresold:;85265555647771,20
"BigGroup""""";377719889,7;1147954421;31750745876;75047497653;42810997215;28068213679;795359002,6;3,27936E+11;2,0346E+12;23075445,18;15863195857;1,04356E+12;2,11255E+11;3,7502E+11;6,35541E+11;2,24414E+11;5,77045E+11;8,52264E+11;2,79155E+11;191687793,8;;6756863479974,09;;85265555647771,20
"Bird""""";13968946,94;148258984,5;10861515762;4361755719;30556100136;1586677659;51919751,66;6603803997;40517796838;10002709,51;1776167563;26791287681;10699479857;44913554379;36953900147;2,89146E+11;14550818066;4,1808E+11;1,06474E+11;4406093,86;;1044101820609,23;;
"Cepha""""";3873675100;31129618370;3,07028E+11;5,31686E+11;7,35653E+11;2,02086E+11;35692190677;2,01278E+12;1,26166E+13;1776167563;1,37952E+11;9,01189E+12;2,52125E+12;1,76964E+13;9,86189E+12;1,14507E+14;5,03872E+12;1,0265E+13;2,92585E+12;1639229047;;188446352875933,00;;
"Crus""""";1,68507E+11;1,6804E+12;2,07024E+13;2,73172E+13;5,10543E+13;7,18782E+12;9,50646E+11;5,57657E+13;3,47585E+14;21398959714;5,04249E+12;2,21133E+14;5,9364E+13;1,74031E+14;1,87104E+14;6,90889E+14;6,30728E+14;7,50357E+14;2,03737E+14;50805614960;;3434870244105030,00;;
"Decomp""""";2,30494E+11;4,04171E+12;7,50117E+12;1,93136E+13;1,61484E+13;5,21499E+12;1,2784E+12;4,35354E+13;2,77087E+14;2,7872E+11;6,84334E+12;5,05435E+14;2,50119E+14;2,53242E+15;1,04693E+15;1,9309E+16;2,23446E+14;1,43864E+14;5,68407E+13;64221373498;;24449591482792700,00;;
"Echino""""";7,21325E+11;7,93681E+12;3,22681E+13;9,26339E+13;5,47964E+13;1,30424E+13;3,13069E+12;4,33019E+13;2,72342E+14;35721716907;1,20158E+13;2,69198E+14;1,47422E+14;1,75487E+14;3,35942E+14;2,88426E+14;3,22344E+15;1,01087E+15;3,11716E+14;94159925450;;6294826039208500,00;;
"Phyto""""";65144675952;1,04322E+12;2,47165E+12;6,37273E+12;5,52828E+12;1,99632E+12;4,18732E+11;1,9516E+13;1,2315E+14;70982885098;1,95057E+12;1,55858E+14;6,79122E+13;6,56641E+14;2,83946E+14;4,9162E+15;7,20872E+13;5,68407E+13;1,97687E+13;21733698075;;6391857581704770,00;;
"ReefCarnBG""""";43767032317;4,06274E+11;1,90673E+12;7,58209E+12;2,889E+12;2,72864E+12;3,0019E+11;3,47033E+13;2,16197E+14;7754232389;9,4522E+11;1,23512E+14;2,4282E+13;1,00288E+14;8,98071E+13;4,44642E+14;1,42884E+14;5,15029E+13;1,69939E+13;24451824933;;1261646652620880,00;;
"ReefHerbBG""""";1,0476E+12;1,20604E+13;1,94656E+13;1,21611E+14;3,32145E+12;1,21747E+13;4,57784E+12;2,28849E+12;2,07706E+13;40517796838;1,26166E+13;2,04257E+14;1,73793E+14;1,44892E+14;3,3345E+14;8,39198E+13;4,8408E+15;4,15631E+14;1,84726E+14;1,06006E+11;;6591543719235350,00;;
