TI3;"ShaRay""""";"ScomJack""""";"SchoolFishOne""""";"ReefCarnBG""""";"SchoolFishTwo""""";"ReefOmnSM""""";"BigGroup""""";"ReefHerbSM""""";"ReefHerbBG""""";"Bird""""";"Cepha""""";"Echino""""";"Crus""""";"WormMollu""""";"Sess""""";"Zoopl""""";"BenthProd""""";"Decomp""""";"Phyto""""";"Turtle""""";;SUM;;
"ReefHerbSM""""";1,87181E+11;2,1606E+12;3,42756E+12;2,16896E+13;4,89629E+11;2,15485E+12;8,19839E+11;2,19138E+11;2,54277E+12;7337559996;2,23642E+12;3,60849E+13;3,09809E+13;2,65723E+13;5,95078E+13;2,16246E+13;8,66159E+14;7,2559E+13;3,25267E+13;18881765109;;1181969389943360,00;;
"ReefOmnSM""""";17777954843;1,91804E+11;4,62661E+11;2,21702E+12;4,24771E+11;3,98567E+11;91221694456;2,8013E+12;1,75857E+13;2291867729;2,91902E+11;1,41293E+13;5,19121E+12;2,06849E+13;1,56617E+13;1,19064E+14;7,03951E+13;1,12992E+13;4,32537E+12;3490437061;;285239490890567,00;;
"SchoolFishOne""""";13480717319;2,15538E+11;5,49574E+11;1,31088E+12;1,25342E+12;3,91482E+11;87314551159;3,77032E+12;2,37913E+13;13275185932;3,75256E+11;2,95791E+13;1,26515E+13;1,21267E+14;5,2564E+13;9,0577E+14;1,96378E+13;1,37521E+13;4,53137E+12;4254445615;;1191529041218000,00;;
"SchoolFishTwo""""";30607317356;5,83384E+11;1,36737E+12;2,16675E+12;3,18352E+12;3,92096E+11;1,28433E+11;5,87555E+11;4,42859E+12;40741466848;9,80871E+11;5,47964E+13;3,40362E+13;3,60108E+14;1,41813E+14;2,80473E+15;2,54853E+13;3,22969E+13;1,10566E+13;5598068580;;3478217264284910,00;;
"ScomJack""""";522944772,3;3505222005;2,35133E+11;3,04705E+11;5,83384E+11;1,77049E+11;3443863262;2,59272E+12;1,60805E+13;197678646;41506157827;7,93681E+12;1,12026E+12;3,16305E+12;4,58015E+12;4,32616E+12;6,27815E+11;8,08342E+12;2,08643E+12;1387875311;;51948164312560,50;;
"Sess""""";4,69107E+11;4,96183E+12;6,21211E+13;7,29683E+13;1,53631E+14;1,56617E+13;2,06551E+12;7,73601E+13;4,81649E+14;53377855768;1,42449E+13;3,63937E+14;1,35131E+14;3,04199E+14;3,67969E+14;1,26282E+15;1,88258E+15;2,26835E+15;6,15217E+14;96866072368;;8085491638282370,00;;
"ShaRay""""";150448699,2;610102234,3;17157276588;38296153277;35708536915;19145489831;1322019614;2,62054E+11;1,62961E+12;21729473,02;6025716823;8,41546E+11;1,31061E+11;4,10993E+11;5,05192E+11;8,79172E+11;2,22616E+11;5,37819E+11;1,52004E+11;155647402,9;;5690657460612,82;;
"Turtle""""";55588358,16;578281379,4;1933838916;7641195292;2332528575;1342475793;239609742,3;9440882555;58892476766;2447829,92;910682804,1;39233302271;14112670822;21775172396;37256181680;36434405601;2,44485E+11;53517811249;18111415063;10459231,43;;548306605186,14;;
"WormMollu""""";4,4035E+11;3,95381E+12;1,65365E+14;9,40202E+13;4,50134E+14;2,38672E+13;1,40633E+12;3,98585E+13;2,41487E+14;74855923965;2,94941E+13;2,19358E+14;1,45026E+14;1,22332E+14;3,50999E+14;1,95346E+14;1,46941E+15;6,33105E+15;1,6416E+15;65325517187;;11525288808203500,00;;
"Zoopl""""";8,79172E+11;5,04719E+12;1,1528E+15;3,89062E+14;3,27218E+15;1,28223E+14;7,85448E+11;3,02744E+13;1,30542E+14;4,49783E+11;1,78123E+14;3,36497E+14;5,37358E+14;1,82323E+14;1,35997E+15;1,42558E+14;9,07092E+14;4,50543E+16;1,14711E+16;1,02016E+11;;65279722915582200,00;;
